Matchday,Date,Team 1,FT,HT,Team 2
1,Sat Aug 8 1981,Bayern München,6-2,5-1,Bayer 04 Leverkusen
1,Sat Aug 8 1981,Arminia Bielefeld,1-1,1-0,SV Darmstadt 98
1,Sat Aug 8 1981,Bor. Mönchengladbach,2-4,2-3,Werder Bremen
1,Sat Aug 8 1981,VfB Stuttgart,3-2,2-1,Fortuna Düsseldorf
1,Sat Aug 8 1981,MSV Duisburg,1-1,1-1,Karlsruher SC
1,Sat Aug 8 1981,Hamburger SV,4-2,3-2,Eintracht Braunschweig
1,Sat Aug 8 1981,Eintracht Frankfurt,2-2,1-0,1. FC Kaiserslautern
1,Sat Aug 8 1981,1. FC Köln,1-0,0-0,Borussia Dortmund
1,Sat Aug 8 1981,VfL Bochum,2-0,1-0,1. FC Nürnberg
2,Fri Aug 14 1981,1. FC Nürnberg,1-3,0-0,1. FC Köln
2,Fri Aug 14 1981,Werder Bremen,1-0,0-0,Arminia Bielefeld
2,Fri Aug 14 1981,Bayer 04 Leverkusen,0-3,0-1,VfL Bochum
2,Sat Aug 15 1981,Borussia Dortmund,0-2,0-1,Eintracht Frankfurt
2,Sat Aug 15 1981,1. FC Kaiserslautern,1-1,0-1,Hamburger SV
2,Sat Aug 15 1981,Karlsruher SC,0-2,0-0,VfB Stuttgart
2,Sat Aug 15 1981,Fortuna Düsseldorf,0-2,0-0,Bor. Mönchengladbach
2,Sat Aug 15 1981,SV Darmstadt 98,1-2,0-1,Bayern München
2,Sat Aug 15 1981,Eintracht Braunschweig,2-1,2-0,MSV Duisburg
3,Fri Aug 21 1981,Bor. Mönchengladbach,2-2,1-0,Karlsruher SC
3,Fri Aug 21 1981,MSV Duisburg,3-1,1-0,1. FC Kaiserslautern
3,Fri Aug 21 1981,Bayer 04 Leverkusen,3-2,2-0,SV Darmstadt 98
3,Sat Aug 22 1981,Arminia Bielefeld,1-1,1-0,Fortuna Düsseldorf
