Date,Team 1,Team 2,FT,HT
2012-08-17,Olhanense,Estoril,2-1,1-1
2012-08-18,Benfica,Sp Braga,2-2,0-0
2012-08-18,Rio Ave,Maritimo,0-1,0-0
2012-08-19,Gil Vicente,Porto,0-0,0-0
2012-08-19,Guimaraes,Sp Lisbon,0-0,0-0
2012-08-19,Nacional,Setubal,2-2,0-0
2012-08-19,Pacos Ferreira,Moreirense,1-1,1-0
2012-08-20,Beira Mar,Academica,3-3,2-0
2012-08-24,Academica,Olhanense,1-1,0-0
2012-08-25,Porto,Guimaraes,4-0,1-0
2012-08-25,Sp Braga,Beira Mar,3-1,2-0
2012-08-26,Estoril,Pacos Ferreira,1-1,0-1
2012-08-26,Maritimo,Gil Vicente,0-0,0-0
2012-08-26,Moreirense,Nacional,3-1,1-0
2012-08-26,Setubal,Benfica,0-5,0-3
2012-08-27,Sp Lisbon,Rio Ave,0-1,0-1
2012-09-01,Guimaraes,Estoril,2-2,0-1
2012-09-01,Olhanense,Porto,2-3,1-1
2012-09-02,Beira Mar,Moreirense,1-1,0-1
2012-09-02,Benfica,Nacional,3-0,0-0
2012-09-02,Gil Vicente,Setubal,0-0,0-0
2012-09-02,Pacos Ferreira,Sp Braga,2-0,1-0
2012-09-02,Rio Ave,Academica,0-0,0-0
2012-09-16,Maritimo,Sp Lisbon,1-1,0-0
2012-09-21,Moreirense,Guimaraes,0-1,0-0
2012-09-22,Porto,Beira Mar,4-0,2-0
2012-09-23,Academica,Benfica,2-2,1-0
2012-09-23,Nacional,Pacos Ferreira,3-3,1-1
2012-09-23,Setubal,Olhanense,1-0,0-0
2012-09-23,Sp Braga,Rio Ave,4-1,1-0
2012-09-24,Estoril,Maritimo,3-1,2-0
2012-09-24,Sp Lisbon,Gil Vicente,2-1,0-1
2012-09-28,Guimaraes,Sp Braga,0-2,0-0
2012-09-28,Pacos Ferreira,Benfica,1-2,1-1
2012-09-29,Rio Ave,Porto,2-2,0-1
2012-09-29,Sp Lisbon,Estoril,2-2,0-1
2012-09-30,Beira Mar,Setubal,1-1,1-0
2012-09-30,Gil Vicente,Moreirense,4-3,3-3
2012-09-30,Maritimo,Academica,0-2,0-2
2012-09-30,Olhanense,Nacional,1-2,0-1
2012-10-06,Benfica,Beira Mar,2-1,0-1
2012-10-07,Academica,Guimaraes,1-2,1-0
2012-10-07,Estoril,Rio Ave,1-3,0-2
2012-10-07,Nacional,Gil Vicente,0-1,0-0
2012-10-07,Porto,Sp Lisbon,2-0,1-0
2012-10-07,Setubal,Pacos Ferreira,0-0,0-0
2012-10-07,Sp Braga,Olhanense,4-4,1-3
2012-10-08,Moreirense,Maritimo,0-1,0-0
2012-10-26,Guimaraes,Setubal,2-1,0-0
2012-10-27,Beira Mar,Pacos Ferreira,0-2,0-0
2012-10-27,Gil Vicente,Benfica,0-3,0-3
2012-10-27,Olhanense,Moreirense,2-2,1-1
2012-10-28,Estoril,Porto,1-2,1-0
2012-10-28,Maritimo,Sp Braga,0-2,0-0
2012-10-28,Rio Ave,Nacional,2-1,0-1
2012-10-29,Sp Lisbon,Academica,0-0,0-0
2012-11-02,Porto,Maritimo,5-0,2-0
2012-11-03,Benfica,Guimaraes,3-0,1-0
2012-11-03,Sp Braga,Gil Vicente,3-1,1-0
2012-11-04,Academica,Estoril,0-2,0-0
2012-11-04,Moreirense,Rio Ave,0-1,0-0
2012-11-04,Nacional,Beira Mar,2-4,0-2
2012-11-04,Pacos Ferreira,Olhanense,0-0,0-0
2012-11-04,Setubal,Sp Lisbon,2-1,1-1
2012-11-09,Gil Vicente,Pacos Ferreira,0-1,0-0
2012-11-10,Guimaraes,Nacional,1-3,1-0
2012-11-11,Estoril,Moreirense,2-0,1-0
2012-11-11,Olhanense,Beira Mar,1-0,1-0
2012-11-11,Porto,Academica,2-1,0-0
2012-11-11,Rio Ave,Benfica,0-1,0-1
2012-11-11,Sp Lisbon,Sp Braga,1-0,1-0
2012-11-12,Maritimo,Setubal,1-1,0-1
2012-11-23,Beira Mar,Guimaraes,2-2,1-1
2012-11-24,Benfica,Olhanense,2-0,1-0
2012-11-25,Academica,Gil Vicente,2-2,0-0
2012-11-25,Nacional,Estoril,1-0,0-0
2012-11-25,Setubal,Rio Ave,3-5,1-4
2012-11-25,Sp Braga,Porto,0-2,0-0
2012-11-26,Moreirense,Sp Lisbon,2-2,2-0
2012-11-27,Pacos Ferreira,Maritimo,2-2,1-1
2012-12-07,Estoril,Setubal,3-0,1-0
2012-12-08,Porto,Moreirense,1-0,0-0
2012-12-09,Gil Vicente,Beira Mar,1-2,0-1
2012-12-09,Guimaraes,Olhanense,2-0,1-0
2012-12-09,Maritimo,Nacional,2-0,0-0
2012-12-09,Rio Ave,Pacos Ferreira,0-0,0-0
2012-12-10,Academica,Sp Braga,1-4,0-2
2012-12-10,Sp Lisbon,Benfica,1-3,1-0
2012-12-15,Beira Mar,Rio Ave,3-1,2-0
2012-12-15,Benfica,Maritimo,4-1,1-1
2012-12-15,Nacional,Sp Lisbon,1-1,1-0
2012-12-15,Olhanense,Gil Vicente,2-2,0-1
2012-12-16,Moreirense,Academica,2-2,2-1
2012-12-16,Pacos Ferreira,Guimaraes,2-1,1-0
2012-12-16,Sp Braga,Estoril,3-0,1-0
2013-01-05,Academica,Setubal,4-2,3-0
2013-01-05,Gil Vicente,Guimaraes,0-0,0-0
2013-01-05,Porto,Nacional,1-0,1-0
2013-01-05,Rio Ave,Olhanense,0-1,0-0
2013-01-05,Sp Lisbon,Pacos Ferreira,0-1,0-1
2013-01-06,Estoril,Benfica,1-3,0-1
2013-01-06,Maritimo,Beira Mar,1-1,0-0
2013-01-06,Sp Braga,Moreirense,1-0,0-0
2013-01-12,Guimaraes,Maritimo,1-1,0-1
2013-01-12,Nacional,Sp Braga,3-2,0-1
2013-01-13,Benfica,Porto,2-2,2-2
2013-01-13,Gil Vicente,Rio Ave,0-1,0-1
2013-01-13,Olhanense,Sp Lisbon,0-2,0-1
2013-01-13,Pacos Ferreira,Academica,1-0,0-0
2013-01-13,Setubal,Moreirense,5-0,2-0
2013-01-14,Beira Mar,Estoril,0-1,0-1
2013-01-18,Sp Lisbon,Beira Mar,1-0,0-0
2013-01-19,Porto,Pacos Ferreira,2-0,0-0
2013-01-20,Estoril,Gil Vicente,1-2,1-1
2013-01-20,Maritimo,Olhanense,1-0,1-0
2013-01-20,Rio Ave,Guimaraes,1-3,0-0
2013-01-20,Sp Braga,Setubal,4-1,2-0
2013-01-21,Academica,Nacional,2-1,0-1
2013-01-21,Moreirense,Benfica,0-2,0-0
2013-01-23,Setubal,Porto,0-3,0-1
2013-01-25,Academica,Beira Mar,3-1,3-0
2013-01-26,Sp Braga,Benfica,1-2,0-2
2013-01-27,Estoril,Olhanense,3-3,2-1
2013-01-27,Maritimo,Rio Ave,1-1,1-1
2013-01-27,Moreirense,Pacos Ferreira,0-5,0-2
2013-01-27,Setubal,Nacional,0-2,0-0
2013-01-27,Sp Lisbon,Guimaraes,1-1,0-0
2013-01-28,Porto,Gil Vicente,5-0,2-0
2013-02-02,Guimaraes,Porto,0-4,0-2
2013-02-02,Rio Ave,Sp Lisbon,2-1,1-1
2013-02-03,Beira Mar,Sp Braga,3-3,2-2
2013-02-03,Benfica,Setubal,3-0,1-0
2013-02-03,Gil Vicente,Maritimo,4-2,2-0
2013-02-03,Nacional,Moreirense,1-2,0-1
2013-02-03,Olhanense,Academica,0-0,0-0
2013-02-05,Pacos Ferreira,Estoril,1-0,0-0
2013-02-09,Estoril,Guimaraes,2-0,1-0
2013-02-10,Academica,Rio Ave,1-2,0-1
2013-02-10,Moreirense,Beira Mar,3-0,1-0
2013-02-10,Nacional,Benfica,2-2,1-2
2013-02-10,Porto,Olhanense,1-1,0-1
2013-02-10,Setubal,Gil Vicente,1-0,1-0
2013-02-10,Sp Lisbon,Maritimo,0-1,0-1
2013-02-11,Sp Braga,Pacos Ferreira,2-3,0-2
2013-02-15,Beira Mar,Porto,0-2,0-1
2013-02-16,Gil Vicente,Sp Lisbon,2-3,1-2
2013-02-17,Benfica,Academica,1-0,0-0
2013-02-17,Guimaraes,Moreirense,1-0,1-0
2013-02-17,Maritimo,Estoril,2-1,2-0
2013-02-17,Olhanense,Setubal,0-1,0-0
2013-02-17,Pacos Ferreira,Nacional,1-1,1-0
2013-02-18,Rio Ave,Sp Braga,1-1,1-1
2013-02-22,Estoril,Sp Lisbon,3-1,2-1
2013-02-23,Porto,Rio Ave,2-1,1-1
2013-02-23,Setubal,Beira Mar,1-0,1-0
2013-02-23,Sp Braga,Guimaraes,3-2,1-0
2013-02-24,Benfica,Pacos Ferreira,3-0,1-0
2013-02-24,Moreirense,Gil Vicente,0-0,0-0
2013-02-24,Nacional,Olhanense,3-1,1-0
2013-02-25,Academica,Maritimo,2-3,1-2
2013-03-02,Pacos Ferreira,Setubal,2-0,1-0
2013-03-02,Sp Lisbon,Porto,0-0,0-0
2013-03-03,Beira Mar,Benfica,0-1,0-1
2013-03-03,Gil Vicente,Nacional,1-2,1-0
2013-03-03,Maritimo,Moreirense,1-1,0-0
