Matchday,Date,Team 1,FT,HT,Team 2
9,Sat Oct 27 2012,SC Freiburg,0-2,0-0,Borussia Dortmund
9,Sat Oct 27 2012,Greuther Fürth,1-1,1-1,Werder Bremen
9,Sat Oct 27 2012,1. FSV Mainz 05,3-0,1-0,TSG 1899 Hoffenheim
9,Sat Oct 27 2012,FC Schalke 04,1-0,0-0,1. FC Nürnberg
9,Sun Oct 28 2012,Bayern München,1-2,0-1,Bayer 04 Leverkusen
9,Sun Oct 28 2012,Hannover 96,2-3,0-0,Bor. Mönchengladbach
9,Sun Oct 28 2012,VfB Stuttgart,2-1,1-0,Eintracht Frankfurt
10,Fri Nov 2 2012,Eintracht Frankfurt,1-1,1-0,Greuther Fürth
10,Sat Nov 3 2012,Borussia Dortmund,0-0,0-0,VfB Stuttgart
10,Sat Nov 3 2012,Hamburger SV,0-3,0-1,Bayern München
10,Sat Nov 3 2012,Hannover 96,2-0,1-0,FC Augsburg
10,Sat Nov 3 2012,TSG 1899 Hoffenheim,3-2,1-1,FC Schalke 04
10,Sat Nov 3 2012,Bor. Mönchengladbach,1-1,0-0,SC Freiburg
10,Sat Nov 3 2012,1. FC Nürnberg,1-0,0-0,VfL Wolfsburg
10,Sun Nov 4 2012,Bayer 04 Leverkusen,3-2,2-1,Fortuna Düsseldorf
10,Sun Nov 4 2012,Werder Bremen,2-1,1-0,1. FSV Mainz 05
11,Fri Nov 9 2012,1. FSV Mainz 05,2-1,2-1,1. FC Nürnberg
11,Sat Nov 10 2012,FC Augsburg,1-3,0-1,Borussia Dortmund
11,Sat Nov 10 2012,Bayern München,2-0,1-0,Eintracht Frankfurt
11,Sat Nov 10 2012,Fortuna Düsseldorf,1-1,1-1,TSG 1899 Hoffenheim
11,Sat Nov 10 2012,SC Freiburg,0-0,0-0,Hamburger SV
11,Sat Nov 10 2012,FC Schalke 04,2-1,0-1,Werder Bremen
11,Sun Nov 11 2012,Greuther Fürth,2-4,2-1,Bor. Mönchengladbach
11,Sun Nov 11 2012,VfB Stuttgart,2-4,2-0,Hannover 96
11,Sun Nov 11 2012,VfL Wolfsburg,3-1,3-0,Bayer 04 Leverkusen
12,Sat Nov 17 2012,Borussia Dortmund,3-1,3-1,Greuther Fürth
12,Sat Nov 17 2012,Eintracht Frankfurt,4-2,2-1,FC Augsburg
12,Sat Nov 17 2012,Hamburger SV,1-0,0-0,1. FSV Mainz 05
12,Sat Nov 17 2012,Hannover 96,1-2,1-1,SC Freiburg
12,Sat Nov 17 2012,Bayer 04 Leverkusen,2-0,1-0,FC Schalke 04
12,Sat Nov 17 2012,Bor. Mönchengladbach,1-2,1-1,VfB Stuttgart
12,Sat Nov 17 2012,1. FC Nürnberg,1-1,0-1,Bayern München
12,Sun Nov 18 2012,TSG 1899 Hoffenheim,1-3,0-2,VfL Wolfsburg
12,Sun Nov 18 2012,Werder Bremen,2-1,0-1,Fortuna Düsseldorf
13,Fri Nov 23 2012,Fortuna Düsseldorf,2-0,1-0,Hamburger SV
13,Sat Nov 24 2012,Bayern München,5-0,3-0,Hannover 96
13,Sat Nov 24 2012,Greuther Fürth,0-0,0-0,1. FC Nürnberg
13,Sat Nov 24 2012,1. FSV Mainz 05,1-2,1-2,Borussia Dortmund
13,Sat Nov 24 2012,FC Schalke 04,1-1,1-1,Eintracht Frankfurt
13,Sat Nov 24 2012,VfL Wolfsburg,1-1,0-1,Werder Bremen
13,Sun Nov 25 2012,FC Augsburg,1-1,1-0,Bor. Mönchengladbach
13,Sun Nov 25 2012,SC Freiburg,3-0,1-0,VfB Stuttgart
13,Sun Nov 25 2012,TSG 1899 Hoffenheim,1-2,0-2,Bayer 04 Leverkusen
14,Tue Nov 27 2012,Borussia Dortmund,1-1,1-0,Fortuna Düsseldorf
14,Tue Nov 27 2012,Eintracht Frankfurt,1-3,0-2,1. FSV Mainz 05
14,Tue Nov 27 2012,Hamburger SV,3-1,0-0,FC Schalke 04
14,Tue Nov 27 2012,Hannover 96,2-0,1-0,Greuther Fürth
14,Wed Nov 28 2012,SC Freiburg,0-2,0-1,Bayern München
14,Wed Nov 28 2012,Bor. Mönchengladbach,2-0,2-0,VfL Wolfsburg
14,Wed Nov 28 2012,1. FC Nürnberg,4-2,2-1,TSG 1899 Hoffenheim
14,Wed Nov 28 2012,VfB Stuttgart,2-1,1-1,FC Augsburg
14,Wed Nov 28 2012,Werder Bremen,1-4,0-1,Bayer 04 Leverkusen
15,Fri Nov 30 2012,Fortuna Düsseldorf,4-0,2-0,Eintracht Frankfurt
15,Sat Dec 1 2012,FC Augsburg,1-1,1-1,SC Freiburg
15,Sat Dec 1 2012,Bayern München,1-1,0-0,Borussia Dortmund
15,Sat Dec 1 2012,Greuther Fürth,0-1,0-1,VfB Stuttgart
15,Sat Dec 1 2012,Bayer 04 Leverkusen,1-0,1-0,1. FC Nürnberg
15,Sat Dec 1 2012,1. FSV Mainz 05,2-1,1-1,Hannover 96
15,Sat Dec 1 2012,FC Schalke 04,1-1,0-0,Bor. Mönchengladbach
15,Sun Dec 2 2012,TSG 1899 Hoffenheim,1-4,0-2,Werder Bremen
15,Sun Dec 2 2012,VfL Wolfsburg,1-1,0-1,Hamburger SV
16,Fri Dec 7 2012,Hamburger SV,2-0,1-0,TSG 1899 Hoffenheim
16,Sat Dec 8 2012,FC Augsburg,0-2,0-1,Bayern München
16,Sat Dec 8 2012,Borussia Dortmund,2-3,1-2,VfL Wolfsburg
16,Sat Dec 8 2012,Eintracht Frankfurt,4-1,0-0,Werder Bremen
16,Sat Dec 8 2012,SC Freiburg,1-0,1-0,Greuther Fürth
16,Sat Dec 8 2012,1. FC Nürnberg,2-0,1-0,Fortuna Düsseldorf
16,Sat Dec 8 2012,VfB Stuttgart,3-1,2-1,FC Schalke 04
16,Sun Dec 9 2012,Hannover 96,3-2,1-1,Bayer 04 Leverkusen
16,Sun Dec 9 2012,Bor. Mönchengladbach,2-0,0-0,1. FSV Mainz 05
17,Fri Dec 14 2012,Bayern München,1-1,0-1,Bor. Mönchengladbach
17,Sat Dec 15 2012,Fortuna Düsseldorf,2-1,1-0,Hannover 96
17,Sat Dec 15 2012,Greuther Fürth,1-1,0-1,FC Augsburg
17,Sat Dec 15 2012,Bayer 04 Leverkusen,3-0,2-0,Hamburger SV
17,Sat Dec 15 2012,1. FSV Mainz 05,3-1,0-0,VfB Stuttgart
17,Sat Dec 15 2012,FC Schalke 04,1-3,1-2,SC Freiburg
17,Sat Dec 15 2012,VfL Wolfsburg,0-2,0-2,Eintracht Frankfurt
17,Sun Dec 16 2012,TSG 1899 Hoffenheim,1-3,1-1,Borussia Dortmund
17,Sun Dec 16 2012,Werder Bremen,1-1,0-0,1. FC Nürnberg
18,Fri Jan 18 2013,FC Schalke 04,5-4,1-0,Hannover 96
18,Sat Jan 19 2013,Bayern München,2-0,1-0,Greuther Fürth
18,Sat Jan 19 2013,TSG 1899 Hoffenheim,0-0,0-0,Bor. Mönchengladbach
18,Sat Jan 19 2013,Bayer 04 Leverkusen,3-1,2-0,Eintracht Frankfurt
18,Sat Jan 19 2013,1. FSV Mainz 05,0-0,0-0,SC Freiburg
18,Sat Jan 19 2013,Werder Bremen,0-5,0-2,Borussia Dortmund
18,Sat Jan 19 2013,VfL Wolfsburg,2-0,0-0,VfB Stuttgart
18,Sun Jan 20 2013,Fortuna Düsseldorf,2-3,0-2,FC Augsburg
18,Sun Jan 20 2013,1. FC Nürnberg,1-1,0-0,Hamburger SV
19,Fri Jan 25 2013,Borussia Dortmund,3-0,2-0,1. FC Nürnberg
19,Sat Jan 26 2013,FC Augsburg,0-0,0-0,FC Schalke 04
19,Sat Jan 26 2013,Eintracht Frankfurt,2-1,1-0,TSG 1899 Hoffenheim
19,Sat Jan 26 2013,SC Freiburg,0-0,0-0,Bayer 04 Leverkusen
19,Sat Jan 26 2013,Greuther Fürth,0-3,0-0,1. FSV Mainz 05
19,Sat Jan 26 2013,Hannover 96,2-1,2-0,VfL Wolfsburg
19,Sat Jan 26 2013,Bor. Mönchengladbach,2-1,2-0,Fortuna Düsseldorf
19,Sun Jan 27 2013,Hamburger SV,3-2,1-1,Werder Bremen
19,Sun Jan 27 2013,VfB Stuttgart,0-2,0-0,Bayern München
20,Fri Feb 1 2013,Werder Bremen,2-0,0-0,Hannover 96
20,Sat Feb 2 2013,Fortuna Düsseldorf,3-1,2-0,VfB Stuttgart
20,Sat Feb 2 2013,Hamburger SV,0-2,0-2,Eintracht Frankfurt
20,Sat Feb 2 2013,TSG 1899 Hoffenheim,2-1,2-1,SC Freiburg
20,Sat Feb 2 2013,1. FSV Mainz 05,0-3,0-1,Bayern München
20,Sat Feb 2 2013,FC Schalke 04,1-2,0-0,Greuther Fürth
20,Sat Feb 2 2013,VfL Wolfsburg,1-1,1-1,FC Augsburg
20,Sun Feb 3 2013,Bayer 04 Leverkusen,2-3,0-2,Borussia Dortmund
20,Sun Feb 3 2013,1. FC Nürnberg,2-1,2-0,Bor. Mönchengladbach
21,Sat Feb 9 2013,Bayern München,4-0,2-0,FC Schalke 04
21,Sat Feb 9 2013,Borussia Dortmund,1-4,1-2,Hamburger SV
21,Sat Feb 9 2013,Eintracht Frankfurt,0-0,0-0,1. FC Nürnberg
21,Sat Feb 9 2013,Greuther Fürth,0-1,0-1,VfL Wolfsburg
21,Sat Feb 9 2013,Hannover 96,1-0,1-0,TSG 1899 Hoffenheim
21,Sat Feb 9 2013,Bor. Mönchengladbach,3-3,1-0,Bayer 04 Leverkusen
21,Sat Feb 9 2013,VfB Stuttgart,1-4,0-1,Werder Bremen
21,Sun Feb 10 2013,FC Augsburg,1-1,0-1,1. FSV Mainz 05
21,Sun Feb 10 2013,SC Freiburg,1-0,0-0,Fortuna Düsseldorf
22,Fri Feb 15 2013,VfL Wolfsburg,0-2,0-1,Bayern München
22,Sat Feb 16 2013,Borussia Dortmund,3-0,2-0,Eintracht Frankfurt
22,Sat Feb 16 2013,Fortuna Düsseldorf,1-0,1-0,Greuther Fürth
22,Sat Feb 16 2013,Hamburger SV,1-0,1-0,Bor. Mönchengladbach
22,Sat Feb 16 2013,Bayer 04 Leverkusen,2-1,1-0,FC Augsburg
22,Sat Feb 16 2013,1. FSV Mainz 05,2-2,1-1,FC Schalke 04
22,Sat Feb 16 2013,Werder Bremen,2-3,1-1,SC Freiburg
22,Sun Feb 17 2013,TSG 1899 Hoffenheim,0-1,0-1,VfB Stuttgart
22,Sun Feb 17 2013,1. FC Nürnberg,2-2,0-1,Hannover 96
23,Fri Feb 22 2013,SC Freiburg,0-0,0-0,Eintracht Frankfurt
23,Sat Feb 23 2013,FC Augsburg,2-1,1-0,TSG 1899 Hoffenheim
23,Sat Feb 23 2013,Bayern München,6-1,2-0,Werder Bremen
23,Sat Feb 23 2013,Hannover 96,5-1,3-1,Hamburger SV
23,Sat Feb 23 2013,1. FSV Mainz 05,1-1,1-1,VfL Wolfsburg
23,Sat Feb 23 2013,FC Schalke 04,2-1,1-0,Fortuna Düsseldorf
23,Sat Feb 23 2013,VfB Stuttgart,1-1,0-0,1. FC Nürnberg
23,Sun Feb 24 2013,Greuther Fürth,0-0,0-0,Bayer 04 Leverkusen
23,Sun Feb 24 2013,Bor. Mönchengladbach,1-1,0-1,Borussia Dortmund
24,Fri Mar 1 2013,Eintracht Frankfurt,0-1,0-1,Bor. Mönchengladbach
24,Sat Mar 2 2013,Borussia Dortmund,3-1,2-1,Hannover 96
24,Sat Mar 2 2013,Hamburger SV,1-1,1-1,Greuther Fürth
24,Sat Mar 2 2013,Bayer 04 Leverkusen,2-1,0-1,VfB Stuttgart
24,Sat Mar 2 2013,1. FC Nürnberg,1-1,1-0,SC Freiburg
24,Sat Mar 2 2013,Werder Bremen,0-1,0-1,FC Augsburg
24,Sat Mar 2 2013,VfL Wolfsburg,1-4,0-1,FC Schalke 04
24,Sun Mar 3 2013,Fortuna Düsseldorf,1-1,1-1,1. FSV Mainz 05
24,Sun Mar 3 2013,TSG 1899 Hoffenheim,0-1,0-1,Bayern München
25,Fri Mar 8 2013,FC Augsburg,1-2,1-1,1. FC Nürnberg
25,Sat Mar 9 2013,Bayern München,3-2,1-1,Fortuna Düsseldorf
25,Sat Mar 9 2013,SC Freiburg,2-5,1-3,VfL Wolfsburg
25,Sat Mar 9 2013,Greuther Fürth,0-3,0-2,TSG 1899 Hoffenheim
25,Sat Mar 9 2013,1. FSV Mainz 05,1-0,0-0,Bayer 04 Leverkusen
25,Sat Mar 9 2013,Bor. Mönchengladbach,1-1,0-0,Werder Bremen
25,Sat Mar 9 2013,FC Schalke 04,2-1,2-0,Borussia Dortmund
25,Sun Mar 10 2013,Hannover 96,0-0,0-0,Eintracht Frankfurt
25,Sun Mar 10 2013,VfB Stuttgart,0-1,0-0,Hamburger SV
26,Fri Mar 15 2013,VfL Wolfsburg,1-1,0-1,Fortuna Düsseldorf
26,Sat Mar 16 2013,Borussia Dortmund,5-1,3-1,SC Freiburg
26,Sat Mar 16 2013,Hamburger SV,0-1,0-1,FC Augsburg
26,Sat Mar 16 2013,TSG 1899 Hoffenheim,0-0,0-0,1. FSV Mainz 05
26,Sat Mar 16 2013,Bayer 04 Leverkusen,1-2,0-1,Bayern München
26,Sat Mar 16 2013,1. FC Nürnberg,3-0,1-0,FC Schalke 04
26,Sat Mar 16 2013,Werder Bremen,2-2,0-0,Greuther Fürth
26,Sun Mar 17 2013,Eintracht Frankfurt,1-2,1-0,VfB Stuttgart
26,Sun Mar 17 2013,Bor. Mönchengladbach,1-0,1-0,Hannover 96
27,Sat Mar 30 2013,FC Augsburg,0-2,0-0,Hannover 96
27,Sat Mar 30 2013,Bayern München,9-2,5-0,Hamburger SV
27,Sat Mar 30 2013,Fortuna Düsseldorf,1-4,1-1,Bayer 04 Leverkusen
27,Sat Mar 30 2013,SC Freiburg,2-0,0-0,Bor. Mönchengladbach
27,Sat Mar 30 2013,1. FSV Mainz 05,1-1,1-0,Werder Bremen
27,Sat Mar 30 2013,FC Schalke 04,3-0,0-0,TSG 1899 Hoffenheim
27,Sat Mar 30 2013,VfB Stuttgart,1-2,0-1,Borussia Dortmund
27,Sun Mar 31 2013,Greuther Fürth,2-3,1-1,Eintracht Frankfurt
27,Sun Mar 31 2013,VfL Wolfsburg,2-2,2-0,1. FC Nürnberg
28,Fri Apr 5 2013,TSG 1899 Hoffenheim,3-0,1-0,Fortuna Düsseldorf
28,Sat Apr 6 2013,Borussia Dortmund,4-2,1-2,FC Augsburg
28,Sat Apr 6 2013,Eintracht Frankfurt,0-1,0-0,Bayern München
