Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Sat Aug 17 1996,?,Derby County,3-3,?,Leeds United
1,Sat Aug 17 1996,?,Wimbledon,0-3,?,Manchester Utd
1,Sat Aug 17 1996,?,Sheffield Weds,2-1,?,Aston Villa
1,Sat Aug 17 1996,?,Blackburn,0-2,?,Tottenham
1,Sat Aug 17 1996,?,Sunderland,0-0,?,Leicester City
1,Sat Aug 17 1996,?,Coventry City,0-3,?,Nott'ham Forest
1,Sat Aug 17 1996,?,Arsenal,2-0,?,West Ham
1,Sat Aug 17 1996,?,Middlesbrough,3-3,?,Liverpool
1,Sat Aug 17 1996,?,Everton,2-0,?,Newcastle Utd
1,Sun Aug 18 1996,?,Southampton,0-0,?,Chelsea
2,Mon Aug 19 1996,?,Liverpool,2-0,?,Arsenal
2,Tue Aug 20 1996,?,Leeds United,0-2,?,Sheffield Weds
2,Wed Aug 21 1996,?,Aston Villa,1-0,?,Blackburn
2,Wed Aug 21 1996,?,Newcastle Utd,2-0,?,Wimbledon
2,Wed Aug 21 1996,?,Nott'ham Forest,1-4,?,Sunderland
2,Wed Aug 21 1996,?,Chelsea,1-0,?,Middlesbrough
2,Wed Aug 21 1996,?,Manchester Utd,2-2,?,Everton
2,Wed Aug 21 1996,?,Tottenham,1-1,?,Derby County
2,Wed Aug 21 1996,?,West Ham,1-1,?,Coventry City
2,Wed Aug 21 1996,?,Leicester City,2-1,?,Southampton
3,Sat Aug 24 1996,?,Liverpool,0-0,?,Sunderland
3,Sat Aug 24 1996,?,Tottenham,0-0,?,Everton
3,Sat Aug 24 1996,?,Chelsea,2-0,?,Coventry City
3,Sat Aug 24 1996,?,Leicester City,0-2,?,Arsenal
3,Sat Aug 24 1996,?,Newcastle Utd,1-2,?,Sheffield Weds
3,Sat Aug 24 1996,?,Nott'ham Forest,1-1,?,Middlesbrough
3,Sat Aug 24 1996,?,West Ham,2-1,?,Southampton
3,Sat Aug 24 1996,?,Aston Villa,2-0,?,Derby County
3,Sun Aug 25 1996,?,Manchester Utd,2-2,?,Blackburn
3,Mon Aug 26 1996,?,Leeds United,1-0,?,Wimbledon
4,Mon Sep 2 1996,?,Sheffield Weds,2-1,?,Leicester City
4,Wed Sep 4 1996,?,Arsenal,3-3,?,Chelsea
4,Wed Sep 4 1996,?,Sunderland,1-2,?,Newcastle Utd
4,Wed Sep 4 1996,?,Everton,0-1,?,Aston Villa
4,Wed Sep 4 1996,?,Middlesbrough,4-1,?,West Ham
4,Wed Sep 4 1996,?,Blackburn,0-1,?,Leeds United
4,Wed Sep 4 1996,?,Derby County,1-1,?,Manchester Utd
4,Wed Sep 4 1996,?,Southampton,2-2,?,Nott'ham Forest
