Date,Team 1,Team 2,FT,HT
1996-08-23,Espinho,Sp Lisbon,1-3,
1996-08-24,Belenenses,Boavista,2-4,
1996-08-25,Benfica,Sp Braga,1-1,
1996-08-25,Guimaraes,Gil Vicente,4-2,
1996-08-25,Porto,Setubal,2-2,
1996-09-01,Farense,Est Amadora,1-0,
1996-09-01,Leca,Leiria,3-0,
1996-09-01,Maritimo,Desp. Chaves,3-3,
1996-09-01,Rio Ave,Salgueiros,1-1,
1996-09-06,Sp Lisbon,Farense,0-0,
1996-09-07,Boavista,Espinho,0-2,
1996-09-07,Gil Vicente,Benfica,0-3,
1996-09-07,Leiria,Porto,0-3,
1996-09-07,Setubal,Guimaraes,4-0,
1996-09-08,Desp. Chaves,Leca,1-0,
1996-09-08,Est Amadora,Rio Ave,0-0,
1996-09-08,Salgueiros,Maritimo,0-0,
1996-09-08,Sp Braga,Belenenses,3-1,
1996-09-14,Rio Ave,Sp Lisbon,3-4,
1996-09-15,Belenenses,Espinho,0-0,
1996-09-15,Benfica,Setubal,5-1,
1996-09-15,Farense,Boavista,2-0,
1996-09-15,Guimaraes,Leiria,3-0,
1996-09-15,Leca,Salgueiros,3-1,
1996-09-15,Maritimo,Est Amadora,2-0,
1996-09-15,Porto,Desp. Chaves,2-0,
1996-09-15,Sp Braga,Gil Vicente,4-1,
1996-09-20,Sp Lisbon,Maritimo,3-0,
1996-09-21,Boavista,Rio Ave,2-0,
1996-09-21,Desp. Chaves,Guimaraes,0-0,
1996-09-21,Salgueiros,Porto,0-1,
1996-09-22,Espinho,Farense,1-0,
1996-09-22,Est Amadora,Leca,1-0,
1996-09-22,Gil Vicente,Belenenses,1-2,
1996-09-22,Leiria,Benfica,0-2,
1996-09-22,Setubal,Sp Braga,1-1,
1996-09-28,Leca,Sp Lisbon,0-1,
1996-09-29,Belenenses,Farense,1-2,
1996-09-29,Gil Vicente,Setubal,0-0,
1996-09-29,Guimaraes,Salgueiros,1-2,
1996-09-29,Maritimo,Boavista,2-2,
1996-09-29,Porto,Est Amadora,0-0,
1996-09-29,Rio Ave,Espinho,0-3,
1996-09-29,Sp Braga,Leiria,1-0,
1996-09-30,Benfica,Desp. Chaves,3-0,
1996-10-11,Espinho,Maritimo,1-0,
1996-10-12,Boavista,Leca,0-0,
1996-10-12,Est Amadora,Guimaraes,2-0,
1996-10-12,Sp Lisbon,Porto,0-1,
1996-10-13,Desp. Chaves,Sp Braga,5-2,
1996-10-13,Farense,Rio Ave,2-1,
1996-10-13,Leiria,Gil Vicente,2-0,
1996-10-13,Salgueiros,Benfica,0-1,
1996-10-13,Setubal,Belenenses,2-0,
1996-10-20,Belenenses,Rio Ave,2-1,
1996-10-20,Benfica,Est Amadora,2-0,
1996-10-20,Gil Vicente,Desp. Chaves,3-0,
1996-10-20,Guimaraes,Sp Lisbon,0-1,
1996-10-20,Leca,Espinho,1-1,
1996-10-20,Maritimo,Farense,1-0,
1996-10-20,Porto,Boavista,1-0,
1996-10-20,Setubal,Leiria,4-1,
1996-10-20,Sp Braga,Salgueiros,0-0,
1996-10-27,Boavista,Guimaraes,2-2,
1996-10-27,Desp. Chaves,Setubal,0-1,
1996-10-27,Espinho,Porto,0-5,
1996-10-27,Est Amadora,Sp Braga,3-1,
1996-10-27,Farense,Leca,0-0,
1996-10-27,Leiria,Belenenses,3-1,
1996-10-27,Rio Ave,Maritimo,2-3,
1996-10-27,Salgueiros,Gil Vicente,3-2,
1996-10-27,Sp Lisbon,Benfica,1-0,
1996-11-03,Belenenses,Maritimo,2-0,
1996-11-03,Benfica,Boavista,1-1,
1996-11-03,Gil Vicente,Est Amadora,0-1,
1996-11-03,Guimaraes,Espinho,2-4,
1996-11-03,Leca,Rio Ave,3-2,
1996-11-03,Leiria,Desp. Chaves,0-1,
1996-11-03,Porto,Farense,2-0,
1996-11-03,Setubal,Salgueiros,1-1,
1996-11-03,Sp Braga,Sp Lisbon,1-0,
1996-11-16,Boavista,Sp Braga,3-0,
1996-11-16,Desp. Chaves,Belenenses,2-2,
1996-11-16,Espinho,Benfica,0-3,
1996-11-16,Est Amadora,Setubal,2-0,
1996-11-16,Farense,Guimaraes,1-0,
1996-11-16,Maritimo,Leca,0-1,
1996-11-16,Rio Ave,Porto,0-1,
1996-11-16,Salgueiros,Leiria,3-0,
1996-11-16,Sp Lisbon,Gil Vicente,2-0,
1996-11-23,Belenenses,Leca,0-4,
1996-11-23,Benfica,Farense,2-1,
1996-11-23,Desp. Chaves,Salgueiros,1-1,
1996-11-23,Gil Vicente,Boavista,2-4,
1996-11-23,Guimaraes,Rio Ave,2-0,
1996-11-23,Leiria,Est Amadora,2-0,
1996-11-23,Porto,Maritimo,4-1,
1996-11-23,Setubal,Sp Lisbon,1-0,
1996-11-23,Sp Braga,Espinho,2-1,
1996-11-29,Boavista,Setubal,0-0,
1996-11-29,Leca,Porto,2-4,
1996-11-30,Rio Ave,Benfica,0-1,
1996-12-01,Espinho,Gil Vicente,1-0,
1996-12-01,Est Amadora,Desp. Chaves,3-0,
1996-12-01,Farense,Sp Braga,2-2,
1996-12-01,Maritimo,Guimaraes,1-2,
1996-12-01,Salgueiros,Belenenses,1-2,
1996-12-01,Sp Lisbon,Leiria,0-0,
1996-12-20,Desp. Chaves,Sp Lisbon,0-0,
1996-12-21,Belenenses,Porto,0-2,
1996-12-22,Benfica,Maritimo,0-0,
1996-12-22,Gil Vicente,Farense,1-1,
1996-12-22,Guimaraes,Leca,3-0,
1996-12-22,Leiria,Boavista,1-1,
1996-12-22,Salgueiros,Est Amadora,3-3,
1996-12-22,Setubal,Espinho,0-2,
1996-12-22,Sp Braga,Rio Ave,1-0,
1997-01-03,Leca,Benfica,1-5,
1997-01-04,Porto,Guimaraes,3-1,
1997-01-05,Boavista,Desp. Chaves,0-1,
1997-01-05,Espinho,Leiria,1-0,
1997-01-05,Est Amadora,Belenenses,2-2,
1997-01-05,Farense,Setubal,1-1,
1997-01-05,Maritimo,Sp Braga,1-1,
1997-01-05,Rio Ave,Gil Vicente,0-2,
1997-01-05,Sp Lisbon,Salgueiros,4-0,
1997-01-10,Est Amadora,Sp Lisbon,0-1,
1997-01-11,Benfica,Porto,1-2,
1997-01-12,Belenenses,Guimaraes,1-1,
1997-01-12,Desp. Chaves,Espinho,1-0,
1997-01-12,Gil Vicente,Maritimo,1-2,
1997-01-12,Leiria,Farense,0-0,
1997-01-12,Salgueiros,Boavista,3-2,
1997-01-12,Setubal,Rio Ave,1-1,
1997-01-12,Sp Braga,Leca,1-0,
1997-01-17,Belenenses,Sp Lisbon,2-2,
1997-01-18,Boavista,Est Amadora,2-2,
1997-01-19,Espinho,Salgueiros,1-1,
1997-01-19,Farense,Desp. Chaves,0-2,
1997-01-19,Guimaraes,Benfica,1-0,
1997-01-19,Leca,Gil Vicente,1-1,
1997-01-19,Maritimo,Setubal,3-2,
1997-01-19,Porto,Sp Braga,5-0,
1997-01-19,Rio Ave,Leiria,3-1,
1997-01-25,Benfica,Belenenses,1-2,
1997-01-25,Sp Lisbon,Boavista,3-1,
1997-01-26,Desp. Chaves,Rio Ave,1-1,
1997-01-26,Est Amadora,Espinho,2-0,
1997-01-26,Leiria,Maritimo,2-0,
1997-01-26,Salgueiros,Farense,2-1,
1997-01-26,Setubal,Leca,1-0,
1997-01-26,Sp Braga,Guimaraes,0-2,
1997-01-27,Gil Vicente,Porto,0-3,
1997-01-31,Setubal,Porto,1-3,
1997-02-01,Sp Braga,Benfica,1-1,
1997-02-01,Sp Lisbon,Espinho,4-0,
1997-02-02,Boavista,Belenenses,1-1,
1997-02-02,Desp. Chaves,Maritimo,2-1,
1997-02-02,Est Amadora,Farense,2-1,
1997-02-02,Gil Vicente,Guimaraes,1-1,
1997-02-02,Leiria,Leca,1-1,
1997-02-02,Salgueiros,Rio Ave,1-3,
1997-02-08,Belenenses,Sp Braga,1-2,
1997-02-08,Benfica,Gil Vicente,1-0,
1997-02-08,Espinho,Boavista,0-0,
1997-02-08,Farense,Sp Lisbon,0-0,
1997-02-08,Guimaraes,Setubal,3-0,
1997-02-08,Leca,Desp. Chaves,3-2,
1997-02-08,Maritimo,Salgueiros,3-1,
1997-02-08,Porto,Leiria,2-0,
1997-02-08,Rio Ave,Est Amadora,2-0,
1997-02-15,Desp. Chaves,Porto,2-4,
1997-02-15,Setubal,Benfica,0-2,
1997-02-15,Sp Lisbon,Rio Ave,2-0,
1997-02-16,Boavista,Farense,1-1,
1997-02-16,Espinho,Belenenses,0-1,
1997-02-16,Est Amadora,Maritimo,0-0,
1997-02-16,Gil Vicente,Sp Braga,1-1,
1997-02-16,Leiria,Guimaraes,2-3,
1997-02-16,Salgueiros,Leca,1-0,
1997-02-22,Guimaraes,Desp. Chaves,4-1,
1997-02-23,Belenenses,Gil Vicente,1-1,
1997-02-23,Benfica,Leiria,1-0,
1997-02-23,Farense,Espinho,3-1,
1997-02-23,Leca,Est Amadora,1-1,
1997-02-23,Porto,Salgueiros,1-2,
1997-02-23,Rio Ave,Boavista,0-0,
1997-02-23,Sp Braga,Setubal,2-1,
1997-02-24,Maritimo,Sp Lisbon,1-2,
1997-02-28,Est Amadora,Porto,2-2,
1997-03-01,Desp. Chaves,Benfica,3-1,
1997-03-01,Sp Lisbon,Leca,1-0,
1997-03-02,Boavista,Maritimo,3-1,
1997-03-02,Espinho,Rio Ave,1-2,
1997-03-02,Farense,Belenenses,0-2,
1997-03-02,Leiria,Sp Braga,1-2,
1997-03-02,Salgueiros,Guimaraes,0-0,
1997-03-02,Setubal,Gil Vicente,1-0,
1997-03-15,Porto,Sp Lisbon,1-2,
1997-03-16,Belenenses,Setubal,2-1,
1997-03-16,Benfica,Salgueiros,3-4,
1997-03-16,Gil Vicente,Leiria,3-4,
1997-03-16,Guimaraes,Est Amadora,3-1,
1997-03-16,Leca,Boavista,1-3,
1997-03-16,Maritimo,Espinho,1-0,
1997-03-16,Rio Ave,Farense,0-0,
1997-03-16,Sp Braga,Desp. Chaves,3-0,
1997-03-22,Sp Lisbon,Guimaraes,4-1,
1997-03-23,Boavista,Porto,0-2,
1997-03-23,Desp. Chaves,Gil Vicente,4-1,
1997-03-23,Espinho,Leca,0-2,
1997-03-23,Farense,Maritimo,1-0,
1997-03-23,Leiria,Setubal,0-0,
1997-03-23,Rio Ave,Belenenses,4-1,
1997-03-23,Salgueiros,Sp Braga,3-0,
1997-03-24,Est Amadora,Benfica,1-1,
1997-04-05,Benfica,Sp Lisbon,1-0,
1997-04-06,Belenenses,Leiria,1-0,
1997-04-06,Gil Vicente,Salgueiros,1-3,
1997-04-06,Leca,Farense,0-0,
1997-04-06,Maritimo,Rio Ave,1-0,
1997-04-06,Porto,Espinho,3-0,
1997-04-06,Setubal,Desp. Chaves,1-0,
1997-04-06,Sp Braga,Est Amadora,1-2,
1997-04-07,Guimaraes,Boavista,0-4,
1997-04-11,Farense,Porto,1-2,
1997-04-12,Boavista,Benfica,1-1,
1997-04-12,Maritimo,Belenenses,1-0,
1997-04-12,Sp Lisbon,Sp Braga,1-0,
1997-04-13,Desp. Chaves,Leiria,2-0,
1997-04-13,Espinho,Guimaraes,1-4,
1997-04-13,Est Amadora,Gil Vicente,2-0,
1997-04-13,Rio Ave,Leca,2-0,
1997-04-13,Salgueiros,Setubal,3-2,
1997-04-19,Gil Vicente,Sp Lisbon,0-3,
1997-04-20,Belenenses,Desp. Chaves,0-0,
1997-04-20,Benfica,Espinho,2-0,
1997-04-20,Guimaraes,Farense,3-2,
1997-04-20,Leca,Maritimo,1-0,
