Matchday,Date,Team 1,FT,HT,Team 2
9,Sat Sep 28 1985,1. FC Köln,4-2,2-1,FC Schalke 04
10,Fri Oct 4 1985,Bayer 04 Leverkusen,3-2,1-2,1. FC Kaiserslautern
10,Sat Oct 5 1985,Werder Bremen,4-0,1-0,Eintracht Frankfurt
10,Sat Oct 5 1985,VfB Stuttgart,5-0,2-0,Fortuna Düsseldorf
10,Sat Oct 5 1985,Bayern München,3-1,0-1,SV Waldhof Mannheim
10,Sat Oct 5 1985,Bor. Mönchengladbach,2-0,0-0,VfL Bochum
10,Sat Oct 5 1985,Borussia Dortmund,5-2,1-1,KFC Uerdingen
10,Sat Oct 5 1985,1. FC Saarbrücken,2-2,2-1,Hamburger SV
10,Sat Oct 5 1985,Hannover 96,3-1,3-1,1. FC Köln
10,Sat Oct 5 1985,FC Schalke 04,2-0,1-0,1. FC Nürnberg
4,Tue Oct 8 1985,Bayern München,6-0,1-0,Hannover 96
3,Tue Oct 8 1985,Hamburger SV,1-3,0-2,Bayer 04 Leverkusen
11,Wed Oct 9 1985,SV Waldhof Mannheim,5-3,1-2,VfB Stuttgart
11,Thu Oct 10 1985,Fortuna Düsseldorf,1-1,0-0,FC Schalke 04
11,Fri Oct 11 1985,1. FC Köln,3-1,2-0,1. FC Saarbrücken
11,Fri Oct 11 1985,1. FC Nürnberg,3-3,1-1,Hannover 96
11,Fri Oct 11 1985,1. FC Kaiserslautern,3-0,1-0,Werder Bremen
11,Fri Oct 11 1985,Eintracht Frankfurt,1-1,1-1,Bor. Mönchengladbach
11,Fri Oct 11 1985,VfL Bochum,3-0,1-0,Bayern München
11,Fri Oct 11 1985,KFC Uerdingen,0-3,0-1,Hamburger SV
11,Sat Oct 12 1985,Borussia Dortmund,1-1,0-0,Bayer 04 Leverkusen
12,Fri Oct 25 1985,1. FC Saarbrücken,3-0,2-0,1. FC Nürnberg
12,Sat Oct 26 1985,Werder Bremen,4-2,2-1,Borussia Dortmund
12,Sat Oct 26 1985,Bayern München,3-0,1-0,Eintracht Frankfurt
12,Sat Oct 26 1985,Bayer 04 Leverkusen,2-2,1-0,KFC Uerdingen
12,Sat Oct 26 1985,Hamburger SV,0-0,0-0,1. FC Köln
12,Sat Oct 26 1985,Hannover 96,1-0,0-0,Fortuna Düsseldorf
12,Sat Oct 26 1985,FC Schalke 04,3-1,1-0,SV Waldhof Mannheim
12,Sat Oct 26 1985,VfB Stuttgart,0-4,0-0,VfL Bochum
12,Sat Oct 26 1985,Bor. Mönchengladbach,3-0,1-0,1. FC Kaiserslautern
13,Fri Nov 1 1985,Bayer 04 Leverkusen,5-1,3-0,Werder Bremen
13,Fri Nov 1 1985,Borussia Dortmund,2-3,1-1,Bor. Mönchengladbach
13,Fri Nov 1 1985,1. FC Kaiserslautern,0-2,0-0,Bayern München
13,Sat Nov 2 1985,1. FC Nürnberg,0-1,0-0,Hamburger SV
13,Sat Nov 2 1985,Fortuna Düsseldorf,2-2,0-2,1. FC Saarbrücken
13,Sat Nov 2 1985,Eintracht Frankfurt,1-1,0-0,VfB Stuttgart
13,Sat Nov 2 1985,VfL Bochum,1-1,1-1,FC Schalke 04
13,Sat Nov 2 1985,KFC Uerdingen,3-2,1-2,1. FC Köln
13,Sat Nov 2 1985,SV Waldhof Mannheim,5-1,2-1,Hannover 96
14,Sat Nov 9 1985,Bayern München,0-1,0-1,Borussia Dortmund
14,Sat Nov 9 1985,Werder Bremen,6-1,3-0,KFC Uerdingen
14,Sat Nov 9 1985,1. FC Köln,3-1,1-1,1. FC Nürnberg
14,Sat Nov 9 1985,Hamburger SV,4-0,3-0,Fortuna Düsseldorf
14,Sat Nov 9 1985,1. FC Saarbrücken,2-1,1-1,SV Waldhof Mannheim
14,Sat Nov 9 1985,Hannover 96,1-2,0-1,VfL Bochum
14,Sat Nov 9 1985,FC Schalke 04,3-1,3-1,Eintracht Frankfurt
14,Sat Nov 9 1985,VfB Stuttgart,2-0,2-0,1. FC Kaiserslautern
14,Sat Nov 9 1985,Bor. Mönchengladbach,2-2,0-1,Bayer 04 Leverkusen
15,Tue Nov 19 1985,Fortuna Düsseldorf,1-3,0-2,1. FC Köln
15,Tue Nov 19 1985,1. FC Nürnberg,1-2,1-0,KFC Uerdingen
15,Tue Nov 19 1985,Eintracht Frankfurt,1-3,1-0,Hannover 96
15,Tue Nov 19 1985,VfL Bochum,3-1,0-1,1. FC Saarbrücken
15,Tue Nov 19 1985,SV Waldhof Mannheim,0-1,0-0,Hamburger SV
15,Wed Nov 20 1985,Bayer 04 Leverkusen,1-2,0-1,Bayern München
15,Wed Nov 20 1985,Borussia Dortmund,2-0,0-0,VfB Stuttgart
15,Wed Nov 20 1985,1. FC Kaiserslautern,0-0,0-0,FC Schalke 04
15,Wed Nov 20 1985,Bor. Mönchengladbach,1-2,0-0,Werder Bremen
16,Sat Nov 23 1985,Bayern München,3-1,1-1,Werder Bremen
16,Sat Nov 23 1985,1. FC Nürnberg,3-2,2-1,Fortuna Düsseldorf
16,Sat Nov 23 1985,1. FC Saarbrücken,2-2,1-1,Eintracht Frankfurt
16,Sat Nov 23 1985,Hamburger SV,1-0,0-0,VfL Bochum
17,Fri Nov 29 1985,Werder Bremen,6-0,3-0,VfB Stuttgart
17,Sat Nov 30 1985,Bayer 04 Leverkusen,2-0,1-0,FC Schalke 04
17,Sat Nov 30 1985,Fortuna Düsseldorf,1-1,0-1,KFC Uerdingen
17,Sat Nov 30 1985,Bor. Mönchengladbach,4-2,2-0,Bayern München
17,Sat Nov 30 1985,1. FC Kaiserslautern,1-1,0-0,1. FC Saarbrücken
17,Sat Nov 30 1985,Borussia Dortmund,2-0,1-0,Hannover 96
16,Tue Dec 3 1985,Hannover 96,3-2,2-1,1. FC Kaiserslautern
16,Tue Dec 3 1985,1. FC Köln,0-1,0-1,SV Waldhof Mannheim
16,Tue Dec 3 1985,VfB Stuttgart,2-2,0-1,Bayer 04 Leverkusen
17,Tue Dec 3 1985,Eintracht Frankfurt,3-0,1-0,Hamburger SV
18,Fri Dec 6 1985,Borussia Dortmund,3-1,1-0,1. FC Saarbrücken
18,Fri Dec 6 1985,SV Waldhof Mannheim,2-1,0-0,Fortuna Düsseldorf
18,Fri Dec 6 1985,Bayer 04 Leverkusen,4-1,3-1,Hannover 96
18,Sat Dec 7 1985,Werder Bremen,3-1,1-1,FC Schalke 04
18,Sat Dec 7 1985,Bayern München,5-1,4-1,KFC Uerdingen
18,Sat Dec 7 1985,Bor. Mönchengladbach,1-1,0-0,VfB Stuttgart
18,Sat Dec 7 1985,Eintracht Frankfurt,2-2,2-0,1. FC Köln
18,Sat Dec 7 1985,VfL Bochum,2-1,1-0,1. FC Nürnberg
18,Sat Dec 7 1985,1. FC Kaiserslautern,1-2,0-1,Hamburger SV
16,Tue Dec 10 1985,FC Schalke 04,6-1,0-0,Borussia Dortmund
19,Sat Dec 14 1985,KFC Uerdingen,1-0,0-0,SV Waldhof Mannheim
19,Sat Dec 14 1985,Fortuna Düsseldorf,2-1,0-1,VfL Bochum
19,Sat Dec 14 1985,FC Schalke 04,2-2,2-1,Bor. Mönchengladbach
19,Sat Dec 14 1985,VfB Stuttgart,0-0,0-0,Bayern München
19,Sat Dec 14 1985,Hannover 96,2-4,2-1,Werder Bremen
19,Sat Dec 14 1985,1. FC Saarbrücken,3-1,1-0,Bayer 04 Leverkusen
19,Sat Dec 14 1985,1. FC Nürnberg,4-1,2-1,Eintracht Frankfurt
19,Sat Dec 14 1985,1. FC Köln,1-1,1-1,1. FC Kaiserslautern
19,Sat Dec 14 1985,Hamburger SV,3-0,1-0,Borussia Dortmund
16,Wed Dec 18 1985,KFC Uerdingen,1-1,0-1,Bor. Mönchengladbach
17,Sat Jan 18 1986,SV Waldhof Mannheim,0-1,0-1,1. FC Nürnberg
20,Sat Jan 25 1986,Borussia Dortmund,5-1,2-0,1. FC Köln
20,Sat Jan 25 1986,Eintracht Frankfurt,2-0,0-0,Fortuna Düsseldorf
20,Sat Jan 25 1986,1. FC Kaiserslautern,0-3,0-1,1. FC Nürnberg
20,Sat Jan 25 1986,VfB Stuttgart,0-2,0-2,KFC Uerdingen
20,Sat Jan 25 1986,Bayer 04 Leverkusen,3-2,0-2,Hamburger SV
20,Sat Jan 25 1986,Bayern München,3-2,1-1,FC Schalke 04
20,Sat Jan 25 1986,Bor. Mönchengladbach,4-3,2-1,Hannover 96
20,Sat Jan 25 1986,Werder Bremen,1-0,0-0,1. FC Saarbrücken
21,Fri Jan 31 1986,1. FC Köln,2-3,2-0,Bayer 04 Leverkusen
21,Sat Feb 1 1986,Hamburger SV,0-1,0-0,Werder Bremen
21,Sat Feb 1 1986,1. FC Saarbrücken,1-3,0-0,Bor. Mönchengladbach
21,Sat Feb 1 1986,Hannover 96,0-5,0-1,Bayern München
21,Sat Feb 1 1986,FC Schalke 04,1-2,0-0,VfB Stuttgart
21,Sat Feb 1 1986,1. FC Nürnberg,0-0,0-0,Borussia Dortmund
21,Sat Feb 1 1986,Fortuna Düsseldorf,0-0,0-0,1. FC Kaiserslautern
21,Sat Feb 1 1986,SV Waldhof Mannheim,0-0,0-0,Eintracht Frankfurt
21,Sat Feb 1 1986,KFC Uerdingen,3-2,3-0,VfL Bochum
22,Sat Feb 8 1986,Eintracht Frankfurt,1-0,0-0,VfL Bochum
22,Sat Feb 8 1986,Bor. Mönchengladbach,2-1,0-1,Hamburger SV
22,Sat Feb 8 1986,VfB Stuttgart,7-0,2-0,Hannover 96
22,Sat Feb 8 1986,Borussia Dortmund,1-2,0-1,Fortuna Düsseldorf
22,Sat Feb 8 1986,Bayer 04 Leverkusen,0-0,0-0,1. FC Nürnberg
22,Sat Feb 8 1986,Werder Bremen,2-0,1-0,1. FC Köln
22,Sat Feb 8 1986,FC Schalke 04,2-0,1-0,KFC Uerdingen
22,Sat Feb 8 1986,Bayern München,5-1,1-1,1. FC Saarbrücken
23,Sat Feb 15 1986,Fortuna Düsseldorf,2-1,1-1,Bayer 04 Leverkusen
23,Sat Feb 15 1986,VfL Bochum,3-2,2-2,1. FC Kaiserslautern
23,Sat Feb 15 1986,Hamburger SV,0-0,0-0,Bayern München
23,Sat Feb 15 1986,1. FC Nürnberg,2-2,0-1,Werder Bremen
24,Sat Feb 22 1986,1. FC Kaiserslautern,1-1,1-0,Eintracht Frankfurt
24,Sat Feb 22 1986,Bayern München,3-1,2-0,1. FC Köln
24,Sat Feb 22 1986,Bor. Mönchengladbach,3-0,2-0,1. FC Nürnberg
24,Sat Feb 22 1986,Werder Bremen,7-3,3-0,Fortuna Düsseldorf
23,Tue Feb 25 1986,1. FC Saarbrücken,1-1,1-1,VfB Stuttgart
23,Tue Feb 25 1986,SV Waldhof Mannheim,0-0,0-0,Borussia Dortmund
25,Sat Mar 1 1986,Eintracht Frankfurt,2-1,1-1,Borussia Dortmund
25,Sat Mar 1 1986,VfL Bochum,1-1,0-0,Bayer 04 Leverkusen
25,Sat Mar 1 1986,1. FC Saarbrücken,2-1,1-1,Hannover 96
25,Sat Mar 1 1986,Fortuna Düsseldorf,2-0,0-0,Bor. Mönchengladbach
25,Sat Mar 1 1986,SV Waldhof Mannheim,1-1,1-0,Werder Bremen
25,Sat Mar 1 1986,1. FC Köln,2-1,2-0,VfB Stuttgart
25,Sat Mar 1 1986,1. FC Nürnberg,0-1,0-0,Bayern München
26,Fri Mar 7 1986,Borussia Dortmund,4-2,1-0,1. FC Kaiserslautern
26,Sat Mar 8 1986,Werder Bremen,0-0,0-0,VfL Bochum
26,Sat Mar 8 1986,Bayern München,2-3,0-2,Fortuna Düsseldorf
26,Sat Mar 8 1986,VfB Stuttgart,3-1,1-0,1. FC Nürnberg
26,Sat Mar 8 1986,FC Schalke 04,3-0,2-0,1. FC Köln
20,Tue Mar 11 1986,VfL Bochum,0-1,0-1,SV Waldhof Mannheim
27,Fri Mar 14 1986,1. FC Kaiserslautern,4-1,1-1,Bayer 04 Leverkusen
27,Sat Mar 15 1986,Eintracht Frankfurt,0-2,0-0,Werder Bremen
27,Sat Mar 15 1986,SV Waldhof Mannheim,0-4,0-4,Bayern München
27,Sat Mar 15 1986,Fortuna Düsseldorf,0-7,0-2,VfB Stuttgart
27,Sat Mar 15 1986,1. FC Köln,3-0,1-0,Hannover 96
27,Sat Mar 15 1986,KFC Uerdingen,2-0,0-0,Borussia Dortmund
27,Sat Mar 15 1986,VfL Bochum,2-2,0-1,Bor. Mönchengladbach
27,Sat Mar 15 1986,1. FC Nürnberg,3-1,2-0,FC Schalke 04
27,Sat Mar 15 1986,Hamburger SV,4-0,2-0,1. FC Saarbrücken
26,Tue Mar 18 1986,Bor. Mönchengladbach,1-1,1-0,SV Waldhof Mannheim
26,Tue Mar 18 1986,Hannover 96,0-2,0-1,Hamburger SV
24,Tue Mar 18 1986,FC Schalke 04,3-2,0-1,1. FC Saarbrücken
28,Fri Mar 21 1986,Werder Bremen,2-0,0-0,1. FC Kaiserslautern
28,Fri Mar 21 1986,Bayer 04 Leverkusen,2-1,2-1,Borussia Dortmund
28,Sat Mar 22 1986,Bayern München,6-1,2-0,VfL Bochum
28,Sat Mar 22 1986,VfB Stuttgart,3-1,2-0,SV Waldhof Mannheim
28,Sat Mar 22 1986,Bor. Mönchengladbach,1-1,0-1,Eintracht Frankfurt
28,Sat Mar 22 1986,Hamburger SV,1-4,0-2,KFC Uerdingen
28,Sat Mar 22 1986,1. FC Saarbrücken,1-2,0-0,1. FC Köln
28,Sat Mar 22 1986,Hannover 96,0-2,0-1,1. FC Nürnberg
28,Sat Mar 22 1986,FC Schalke 04,1-1,0-1,Fortuna Düsseldorf
17,Tue Mar 25 1986,VfL Bochum,2-0,0-0,1. FC Köln
26,Tue Mar 25 1986,Bayer 04 Leverkusen,2-0,1-0,Eintracht Frankfurt
25,Tue Mar 25 1986,KFC Uerdingen,3-1,2-1,1. FC Kaiserslautern
29,Thu Mar 27 1986,Fortuna Düsseldorf,2-2,1-2,Hannover 96
29,Sat Mar 29 1986,VfL Bochum,0-2,0-0,VfB Stuttgart
29,Sat Mar 29 1986,1. FC Kaiserslautern,1-1,0-0,Bor. Mönchengladbach
29,Sat Mar 29 1986,1. FC Nürnberg,2-0,1-0,1. FC Saarbrücken
29,Sat Mar 29 1986,1. FC Köln,1-1,0-0,Hamburger SV
29,Sat Mar 29 1986,KFC Uerdingen,2-1,1-0,Bayer 04 Leverkusen
29,Sat Mar 29 1986,Eintracht Frankfurt,2-2,2-0,Bayern München
29,Sat Mar 29 1986,SV Waldhof Mannheim,3-0,1-0,FC Schalke 04
29,Mon Mar 31 1986,Borussia Dortmund,1-1,1-1,Werder Bremen
23,Tue Apr 1 1986,Hannover 96,1-2,0-1,FC Schalke 04
22,Tue Apr 1 1986,1. FC Kaiserslautern,0-0,0-0,SV Waldhof Mannheim
24,Tue Apr 1 1986,VfB Stuttgart,1-0,0-0,Hamburger SV
30,Fri Apr 4 1986,Werder Bremen,5-0,2-0,Bayer 04 Leverkusen
30,Sat Apr 5 1986,FC Schalke 04,4-2,0-1,VfL Bochum
30,Sat Apr 5 1986,Hannover 96,1-1,1-0,SV Waldhof Mannheim
30,Sat Apr 5 1986,Bayern München,5-0,4-0,1. FC Kaiserslautern
30,Sat Apr 5 1986,Bor. Mönchengladbach,2-1,2-0,Borussia Dortmund
30,Sat Apr 5 1986,Hamburger SV,2-1,2-1,1. FC Nürnberg
30,Sat Apr 5 1986,1. FC Köln,1-1,1-1,KFC Uerdingen
30,Sat Apr 5 1986,VfB Stuttgart,2-1,2-0,Eintracht Frankfurt
30,Sat Apr 5 1986,1. FC Saarbrücken,1-1,1-0,Fortuna Düsseldorf
26,Tue Apr 8 1986,1. FC Saarbrücken,1-2,0-2,KFC Uerdingen
24,Tue Apr 8 1986,Bayer 04 Leverkusen,3-1,2-1,SV Waldhof Mannheim
23,Tue Apr 8 1986,1. FC Köln,0-2,0-1,Bor. Mönchengladbach
31,Fri Apr 11 1986,VfL Bochum,3-2,0-1,Hannover 96
31,Fri Apr 11 1986,1. FC Kaiserslautern,2-2,0-1,VfB Stuttgart
31,Fri Apr 11 1986,KFC Uerdingen,1-0,0-0,Werder Bremen
31,Sat Apr 12 1986,Fortuna Düsseldorf,3-1,2-0,Hamburger SV
31,Sat Apr 12 1986,SV Waldhof Mannheim,1-0,1-0,1. FC Saarbrücken
31,Sat Apr 12 1986,Eintracht Frankfurt,3-0,2-0,FC Schalke 04
31,Sat Apr 12 1986,Bayer 04 Leverkusen,3-1,2-0,Bor. Mönchengladbach
31,Sat Apr 12 1986,1. FC Nürnberg,3-0,1-0,1. FC Köln
31,Sat Apr 12 1986,Borussia Dortmund,0-3,0-1,Bayern München
25,Tue Apr 15 1986,Hamburger SV,2-0,0-0,FC Schalke 04
24,Tue Apr 15 1986,Borussia Dortmund,1-0,1-0,VfL Bochum
32,Thu Apr 17 1986,Hannover 96,0-0,0-0,Eintracht Frankfurt
32,Thu Apr 17 1986,Werder Bremen,1-1,0-0,Bor. Mönchengladbach
32,Fri Apr 18 1986,KFC Uerdingen,6-2,3-1,1. FC Nürnberg
32,Sat Apr 19 1986,FC Schalke 04,2-3,1-2,1. FC Kaiserslautern
32,Sat Apr 19 1986,1. FC Saarbrücken,0-1,0-1,VfL Bochum
32,Sat Apr 19 1986,1. FC Köln,1-3,0-1,Fortuna Düsseldorf
32,Sat Apr 19 1986,Bayern München,0-0,0-0,Bayer 04 Leverkusen
32,Sat Apr 19 1986,Hamburger SV,3-0,3-0,SV Waldhof Mannheim
32,Sat Apr 19 1986,VfB Stuttgart,4-0,2-0,Borussia Dortmund
24,Sun Apr 20 1986,Hannover 96,1-1,0-1,KFC Uerdingen
33,Tue Apr 22 1986,SV Waldhof Mannheim,1-1,1-0,1. FC Köln
33,Tue Apr 22 1986,Werder Bremen,0-0,0-0,Bayern München
33,Tue Apr 22 1986,Fortuna Düsseldorf,2-1,2-0,1. FC Nürnberg
33,Tue Apr 22 1986,Bor. Mönchengladbach,1-2,0-0,KFC Uerdingen
33,Tue Apr 22 1986,VfL Bochum,2-0,1-0,Hamburger SV
33,Tue Apr 22 1986,Eintracht Frankfurt,1-3,0-1,1. FC Saarbrücken
33,Tue Apr 22 1986,1. FC Kaiserslautern,1-0,1-0,Hannover 96
33,Tue Apr 22 1986,Borussia Dortmund,1-1,0-1,FC Schalke 04
33,Tue Apr 22 1986,Bayer 04 Leverkusen,2-1,0-1,VfB Stuttgart
23,Thu Apr 24 1986,KFC Uerdingen,1-0,1-0,Eintracht Frankfurt
34,Sat Apr 26 1986,KFC Uerdingen,5-2,2-1,Fortuna Düsseldorf
34,Sat Apr 26 1986,VfB Stuttgart,2-1,1-0,Werder Bremen
34,Sat Apr 26 1986,FC Schalke 04,2-2,1-0,Bayer 04 Leverkusen
34,Sat Apr 26 1986,Hannover 96,1-4,0-2,Borussia Dortmund
34,Sat Apr 26 1986,1. FC Saarbrücken,0-6,0-3,1. FC Kaiserslautern
34,Sat Apr 26 1986,Hamburger SV,1-0,0-0,Eintracht Frankfurt
34,Sat Apr 26 1986,1. FC Köln,3-0,1-0,VfL Bochum
34,Sat Apr 26 1986,1. FC Nürnberg,2-0,1-0,SV Waldhof Mannheim
34,Sat Apr 26 1986,Bayern München,6-0,2-0,Bor. Mönchengladbach
