Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Sat Aug 14 1993,?,Manchester City,1-1,?,Leeds United
1,Sat Aug 14 1993,?,Aston Villa,4-1,?,QPR
1,Sat Aug 14 1993,?,Liverpool,2-0,?,Sheffield Weds
1,Sat Aug 14 1993,?,Oldham Athletic,0-3,?,Ipswich Town
1,Sat Aug 14 1993,?,Newcastle Utd,0-1,?,Tottenham
1,Sat Aug 14 1993,?,Southampton,0-2,?,Everton
1,Sat Aug 14 1993,?,Sheffield Utd,3-1,?,Swindon Town
1,Sat Aug 14 1993,?,West Ham,0-2,?,Wimbledon
1,Sat Aug 14 1993,?,Chelsea,1-2,?,Blackburn
1,Sat Aug 14 1993,?,Arsenal,0-3,?,Coventry City
1,Sun Aug 15 1993,?,Norwich City,0-2,?,Manchester Utd
2,Mon Aug 16 1993,?,Tottenham,0-1,?,Arsenal
2,Tue Aug 17 1993,?,Everton,1-0,?,Manchester City
2,Tue Aug 17 1993,?,Wimbledon,1-1,?,Chelsea
2,Tue Aug 17 1993,?,Leeds United,1-0,?,West Ham
2,Tue Aug 17 1993,?,Ipswich Town,1-0,?,Southampton
2,Wed Aug 18 1993,?,Coventry City,2-1,?,Newcastle Utd
2,Wed Aug 18 1993,?,Swindon Town,0-1,?,Oldham Athletic
2,Wed Aug 18 1993,?,Blackburn,2-3,?,Norwich City
2,Wed Aug 18 1993,?,Manchester Utd,3-0,?,Sheffield Utd
2,Wed Aug 18 1993,?,QPR,1-3,?,Liverpool
2,Wed Aug 18 1993,?,Sheffield Weds,0-0,?,Aston Villa
3,Sat Aug 21 1993,?,Sheffield Weds,0-1,?,Arsenal
3,Sat Aug 21 1993,?,QPR,2-1,?,Southampton
3,Sat Aug 21 1993,?,Ipswich Town,1-0,?,Chelsea
3,Sat Aug 21 1993,?,Wimbledon,2-2,?,Aston Villa
3,Sat Aug 21 1993,?,Manchester Utd,1-1,?,Newcastle Utd
3,Sat Aug 21 1993,?,Leeds United,0-4,?,Norwich City
3,Sat Aug 21 1993,?,Tottenham,1-0,?,Manchester City
3,Sat Aug 21 1993,?,Coventry City,1-1,?,West Ham
3,Sat Aug 21 1993,?,Everton,4-2,?,Sheffield Utd
3,Sat Aug 21 1993,?,Blackburn,1-0,?,Oldham Athletic
3,Sun Aug 22 1993,?,Swindon Town,0-5,?,Liverpool
4,Mon Aug 23 1993,?,Aston Villa,1-2,?,Manchester Utd
4,Tue Aug 24 1993,?,Oldham Athletic,3-3,?,Coventry City
4,Tue Aug 24 1993,?,Manchester City,0-2,?,Blackburn
4,Tue Aug 24 1993,?,Sheffield Utd,2-1,?,Wimbledon
