Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Fri Aug 4 2017,20:45,Monaco,3-2,?,Toulouse
1,Sat Aug 5 2017,17:15,Paris S-G,2-0,?,Amiens
1,Sat Aug 5 2017,20:00,Metz,1-3,?,Guingamp
1,Sat Aug 5 2017,20:00,Montpellier,1-0,?,Caen
1,Sat Aug 5 2017,20:00,Saint-Étienne,1-0,?,Nice
1,Sat Aug 5 2017,20:00,Lyon,4-0,?,Strasbourg
1,Sat Aug 5 2017,20:00,Troyes,1-1,?,Rennes
1,Sun Aug 6 2017,15:00,Lille,3-0,?,Nantes
1,Sun Aug 6 2017,17:00,Angers,2-2,?,Bordeaux
1,Sun Aug 6 2017,21:00,Marseille,3-0,?,Dijon
2,Fri Aug 11 2017,19:00,Nice,1-2,?,Troyes
2,Fri Aug 11 2017,20:45,Rennes,1-2,?,Lyon
2,Sat Aug 12 2017,17:00,Nantes,0-1,?,Marseille
2,Sat Aug 12 2017,20:00,Toulouse,1-0,?,Montpellier
2,Sat Aug 12 2017,20:00,Caen,0-1,?,Saint-Étienne
2,Sat Aug 12 2017,20:00,Amiens,0-2,?,Angers
2,Sat Aug 12 2017,20:00,Bordeaux,2-0,?,Metz
2,Sun Aug 13 2017,15:00,Strasbourg,3-0,?,Lille
2,Sun Aug 13 2017,17:00,Dijon,1-4,?,Monaco
2,Sun Aug 13 2017,21:00,Guingamp,0-3,?,Paris S-G
3,Fri Aug 18 2017,20:45,Metz,0-1,?,Monaco
3,Sat Aug 19 2017,17:00,Lyon,3-3,?,Bordeaux
3,Sat Aug 19 2017,20:00,Saint-Étienne,3-0,?,Amiens
3,Sat Aug 19 2017,20:00,Rennes,2-2,?,Dijon
3,Sat Aug 19 2017,20:00,Nice,2-0,?,Guingamp
3,Sat Aug 19 2017,20:00,Montpellier,1-1,?,Strasbourg
3,Sat Aug 19 2017,20:00,Troyes,0-1,?,Nantes
3,Sun Aug 20 2017,15:00,Lille,0-2,?,Caen
3,Sun Aug 20 2017,17:00,Marseille,1-1,?,Angers
3,Sun Aug 20 2017,21:00,Paris S-G,6-2,?,Toulouse
4,Fri Aug 25 2017,20:45,Paris S-G,3-0,?,Saint-Étienne
4,Sat Aug 26 2017,17:15,Nantes,0-0,?,Lyon
4,Sat Aug 26 2017,20:00,Toulouse,3-2,?,Rennes
4,Sat Aug 26 2017,20:00,Amiens,3-0,?,Nice
4,Sat Aug 26 2017,20:00,Dijon,2-1,?,Montpellier
4,Sat Aug 26 2017,20:00,Bordeaux,2-1,?,Troyes
4,Sat Aug 26 2017,20:00,Caen,1-0,?,Metz
4,Sun Aug 27 2017,15:00,Guingamp,2-0,?,Strasbourg
4,Sun Aug 27 2017,17:00,Angers,1-1,?,Lille
4,Sun Aug 27 2017,21:00,Monaco,6-1,?,Marseille
5,Fri Sep 8 2017,19:00,Lille,0-0,?,Bordeaux
5,Fri Sep 8 2017,20:45,Metz,1-5,?,Paris S-G
5,Sat Sep 9 2017,17:00,Nice,4-0,?,Monaco
5,Sat Sep 9 2017,20:00,Troyes,0-0,?,Toulouse
5,Sat Sep 9 2017,20:00,Montpellier,0-1,?,Nantes
5,Sat Sep 9 2017,20:00,Caen,2-1,?,Dijon
5,Sat Sep 9 2017,20:00,Strasbourg,0-1,?,Amiens
5,Sun Sep 10 2017,15:00,Saint-Étienne,1-1,?,Angers
5,Sun Sep 10 2017,17:00,Lyon,2-1,?,Guingamp
5,Sun Sep 10 2017,21:00,Marseille,1-3,?,Rennes
6,Fri Sep 15 2017,20:45,Toulouse,0-1,?,Bordeaux
6,Sat Sep 16 2017,17:00,Monaco,3-0,?,Strasbourg
6,Sat Sep 16 2017,20:00,Nantes,1-0,?,Caen
6,Sat Sep 16 2017,20:00,Guingamp,1-0,?,Lille
6,Sat Sep 16 2017,20:00,Dijon,0-1,?,Saint-Étienne
6,Sat Sep 16 2017,20:00,Troyes,0-1,?,Montpellier
6,Sun Sep 17 2017,15:00,Amiens,0-2,?,Marseille
6,Sun Sep 17 2017,17:00,Angers,0-1,?,Metz
6,Sun Sep 17 2017,17:00,Rennes,0-1,?,Nice
6,Sun Sep 17 2017,21:00,Paris S-G,2-0,?,Lyon
7,Fri Sep 22 2017,19:00,Nice,2-2,?,Angers
7,Fri Sep 22 2017,20:45,Lille,0-4,?,Monaco
7,Sat Sep 23 2017,17:00,Montpellier,0-0,?,Paris S-G
7,Sat Sep 23 2017,20:00,Metz,0-1,?,Troyes
7,Sat Sep 23 2017,20:00,Caen,1-0,?,Amiens
7,Sat Sep 23 2017,20:00,Bordeaux,3-1,?,Guingamp
7,Sat Sep 23 2017,20:00,Lyon,3-3,?,Dijon
7,Sun Sep 24 2017,15:00,Saint-Étienne,2-2,?,Rennes
7,Sun Sep 24 2017,17:00,Strasbourg,1-2,?,Nantes
7,Sun Sep 24 2017,21:00,Marseille,2-0,?,Toulouse
8,Fri Sep 29 2017,20:45,Monaco,1-1,?,Montpellier
8,Sat Sep 30 2017,17:00,Paris S-G,6-2,?,Bordeaux
8,Sat Sep 30 2017,20:00,Guingamp,1-1,?,Toulouse
8,Sat Sep 30 2017,20:00,Dijon,1-1,?,Strasbourg
8,Sat Sep 30 2017,20:00,Nantes,1-0,?,Metz
8,Sat Sep 30 2017,20:00,Rennes,0-1,?,Caen
8,Sun Oct 1 2017,15:00,Troyes,2-1,?,Saint-Étienne
8,Sun Oct 1 2017,17:00,Angers,3-3,?,Lyon
8,Sun Oct 1 2017,21:00,Nice,2-4,?,Marseille
9,Fri Oct 13 2017,20:45,Lyon,3-2,?,Monaco
9,Sat Oct 14 2017,17:00,Dijon,1-2,?,Paris S-G
9,Sat Oct 14 2017,20:00,Guingamp,2-0,?,Rennes
9,Sat Oct 14 2017,20:00,Lille,2-2,?,Troyes
9,Sat Oct 14 2017,20:00,Saint-Étienne,3-1,?,Metz
9,Sat Oct 14 2017,20:00,Toulouse,1-0,?,Amiens
9,Sat Oct 14 2017,20:00,Caen,0-2,?,Angers
9,Sun Oct 15 2017,15:00,Bordeaux,1-1,?,Nantes
9,Sun Oct 15 2017,17:00,Montpellier,2-0,?,Nice
9,Sun Oct 15 2017,21:00,Strasbourg,3-3,?,Marseille
10,Fri Oct 20 2017,20:45,Saint-Étienne,0-1,?,Montpellier
10,Sat Oct 21 2017,17:00,Monaco,2-0,?,Caen
10,Sat Oct 21 2017,20:00,Angers,0-1,?,Toulouse
10,Sat Oct 21 2017,20:00,Nantes,2-1,?,Guingamp
10,Sat Oct 21 2017,20:00,Metz,1-2,?,Dijon
10,Sat Oct 21 2017,20:00,Rennes,1-0,?,Lille
10,Sat Oct 21 2017,20:00,Amiens,1-0,?,Bordeaux
10,Sun Oct 22 2017,15:00,Nice,1-2,?,Strasbourg
10,Sun Oct 22 2017,17:00,Troyes,0-5,?,Lyon
10,Sun Oct 22 2017,21:00,Marseille,2-2,?,Paris S-G
11,Fri Oct 27 2017,20:45,Paris S-G,3-0,?,Nice
11,Sat Oct 28 2017,17:00,Bordeaux,0-2,?,Monaco
11,Sat Oct 28 2017,20:00,Strasbourg,2-2,?,Angers
11,Sat Oct 28 2017,20:00,Montpellier,0-1,?,Rennes
11,Sat Oct 28 2017,20:00,Caen,1-0,?,Troyes
11,Sat Oct 28 2017,20:00,Guingamp,1-1,?,Amiens
11,Sat Oct 28 2017,20:00,Dijon,1-0,?,Nantes
11,Sun Oct 29 2017,15:00,Lyon,2-0,?,Metz
11,Sun Oct 29 2017,17:00,Toulouse,0-0,?,Saint-Étienne
11,Sun Oct 29 2017,21:00,Lille,0-1,?,Marseille
12,Fri Nov 3 2017,20:45,Rennes,1-0,?,Bordeaux
12,Sat Nov 4 2017,17:00,Angers,0-5,?,Paris S-G
12,Sat Nov 4 2017,20:00,Troyes,3-0,?,Strasbourg
12,Sat Nov 4 2017,20:00,Monaco,6-0,?,Guingamp
12,Sat Nov 4 2017,20:00,Nantes,2-1,?,Toulouse
12,Sat Nov 4 2017,20:00,Montpellier,1-1,?,Amiens
12,Sun Nov 5 2017,15:00,Nice,1-0,?,Dijon
12,Sun Nov 5 2017,17:00,Metz,0-3,?,Lille
