Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Fri Jul 28 2017,20:30,Bochum,0-1,?,St. Pauli
1,Sat Jul 29 2017,13:00,Ingolstadt 04,0-1,?,Union Berlin
1,Sat Jul 29 2017,15:30,Darmstadt 98,1-0,?,Greuther Fürth
1,Sat Jul 29 2017,15:30,Arminia,2-1,?,Jahn R'burg
1,Sun Jul 30 2017,13:30,Nürnberg,3-0,?,Kaiserslautern
1,Sun Jul 30 2017,15:30,Dynamo Dres,1-0,?,MSV Duisburg
1,Sun Jul 30 2017,15:30,Holstein Kiel,2-2,?,Sandhausen
1,Mon Jul 31 2017,20:30,Düsseldorf,2-2,?,Braunschweig
2,Fri Aug 4 2017,18:30,Union Berlin,4-3,?,Holstein Kiel
2,Fri Aug 4 2017,18:30,Sandhausen,1-0,?,Ingolstadt 04
2,Fri Aug 4 2017,20:30,Kaiserslautern,1-1,?,Darmstadt 98
2,Sat Aug 5 2017,13:00,MSV Duisburg,1-1,?,Bochum
2,Sat Aug 5 2017,15:30,Braunschweig,2-0,?,Heidenheim
2,Sun Aug 6 2017,13:30,Jahn R'burg,0-1,?,Nürnberg
2,Sun Aug 6 2017,15:30,Greuther Fürth,1-2,?,Arminia
2,Sun Aug 6 2017,15:30,Erzgebirge Aue,0-2,?,Düsseldorf
2,Mon Aug 7 2017,20:30,St. Pauli,2-2,?,Dynamo Dres
1,Wed Aug 9 2017,20:00,Heidenheim,2-1,?,Erzgebirge Aue
3,Fri Aug 18 2017,18:30,Braunschweig,1-1,?,Erzgebirge Aue
3,Fri Aug 18 2017,18:30,Darmstadt 98,3-0,?,St. Pauli
3,Sat Aug 19 2017,13:00,Dynamo Dres,0-4,?,Sandhausen
3,Sat Aug 19 2017,13:00,Heidenheim,1-2,?,MSV Duisburg
3,Sat Aug 19 2017,13:00,Düsseldorf,2-0,?,Kaiserslautern
3,Sun Aug 20 2017,13:30,Holstein Kiel,3-1,?,Greuther Fürth
3,Sun Aug 20 2017,13:30,Ingolstadt 04,2-4,?,Jahn R'burg
3,Sun Aug 20 2017,13:30,Nürnberg,2-2,?,Union Berlin
3,Mon Aug 21 2017,20:30,Arminia,2-0,?,Bochum
4,Fri Aug 25 2017,18:30,MSV Duisburg,1-2,?,Darmstadt 98
4,Fri Aug 25 2017,18:30,Greuther Fürth,0-1,?,Ingolstadt 04
4,Sat Aug 26 2017,13:00,Jahn R'burg,1-2,?,Holstein Kiel
4,Sat Aug 26 2017,13:00,St. Pauli,1-0,?,Heidenheim
4,Sat Aug 26 2017,13:00,Erzgebirge Aue,3-1,?,Nürnberg
4,Sun Aug 27 2017,13:30,Union Berlin,1-1,?,Arminia
4,Sun Aug 27 2017,13:30,Bochum,3-2,?,Dynamo Dres
4,Sun Aug 27 2017,13:30,Sandhausen,1-2,?,Düsseldorf
4,Mon Aug 28 2017,20:30,Kaiserslautern,1-1,?,Braunschweig
5,Fri Sep 8 2017,18:30,Dynamo Dres,1-1,?,Greuther Fürth
5,Fri Sep 8 2017,18:30,Heidenheim,1-3,?,Jahn R'burg
5,Sat Sep 9 2017,13:00,Arminia,0-4,?,MSV Duisburg
5,Sat Sep 9 2017,13:00,Ingolstadt 04,1-2,?,Erzgebirge Aue
5,Sat Sep 9 2017,13:00,Holstein Kiel,2-1,?,Kaiserslautern
5,Sun Sep 10 2017,13:30,Braunschweig,1-1,?,Sandhausen
5,Sun Sep 10 2017,13:30,Darmstadt 98,1-2,?,Bochum
5,Sun Sep 10 2017,13:30,Düsseldorf,3-2,?,Union Berlin
5,Mon Sep 11 2017,20:30,Nürnberg,0-1,?,St. Pauli
6,Fri Sep 15 2017,18:30,Erzgebirge Aue,0-3,?,Holstein Kiel
6,Fri Sep 15 2017,18:30,Union Berlin,1-1,?,Braunschweig
6,Sat Sep 16 2017,13:00,Sandhausen,1-0,?,Kaiserslautern
6,Sat Sep 16 2017,13:00,MSV Duisburg,1-6,?,Nürnberg
6,Sat Sep 16 2017,13:00,St. Pauli,0-4,?,Ingolstadt 04
6,Sun Sep 17 2017,13:30,Jahn R'burg,0-2,?,Dynamo Dres
6,Sun Sep 17 2017,13:30,Bochum,1-2,?,Heidenheim
6,Sun Sep 17 2017,13:30,Greuther Fürth,3-1,?,Düsseldorf
6,Sun Sep 17 2017,13:30,Darmstadt 98,4-3,?,Arminia
7,Tue Sep 19 2017,18:30,Holstein Kiel,0-1,?,St. Pauli
7,Tue Sep 19 2017,18:30,Ingolstadt 04,2-2,?,MSV Duisburg
7,Tue Sep 19 2017,18:30,Kaiserslautern,0-2,?,Erzgebirge Aue
