Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Fri Aug 12 2016,20:00,Bastia,0-1,?,Paris S-G
1,Fri Aug 12 2016,20:30,Monaco,2-2,?,Guingamp
1,Sat Aug 13 2016,17:00,Bordeaux,3-2,?,Saint-Étienne
1,Sat Aug 13 2016,20:00,Montpellier,1-0,?,Angers
1,Sat Aug 13 2016,20:00,Caen,3-2,?,Lorient
1,Sat Aug 13 2016,20:00,Metz,3-2,?,Lille
1,Sat Aug 13 2016,20:00,Dijon,0-1,?,Nantes
1,Sun Aug 14 2016,15:00,Nancy,0-3,?,Lyon
1,Sun Aug 14 2016,17:00,Nice,1-0,?,Rennes
1,Sun Aug 14 2016,20:45,Marseille,0-0,?,Toulouse
2,Fri Aug 19 2016,20:45,Lyon,2-0,?,Caen
2,Sat Aug 20 2016,17:00,Nantes,0-1,?,Monaco
2,Sat Aug 20 2016,20:00,Lorient,0-3,?,Bastia
2,Sat Aug 20 2016,20:00,Angers,0-1,?,Nice
2,Sat Aug 20 2016,20:00,Toulouse,4-1,?,Bordeaux
2,Sat Aug 20 2016,20:00,Rennes,2-0,?,Nancy
2,Sat Aug 20 2016,20:00,Lille,1-0,?,Dijon
2,Sun Aug 21 2016,15:00,Guingamp,2-1,?,Marseille
2,Sun Aug 21 2016,17:00,Saint-Étienne,3-1,?,Montpellier
2,Sun Aug 21 2016,20:45,Paris S-G,3-0,?,Metz
3,Fri Aug 26 2016,20:45,Marseille,2-0,?,Lorient
3,Sat Aug 27 2016,17:00,Dijon,4-2,?,Lyon
3,Sat Aug 27 2016,20:00,Montpellier,1-1,?,Rennes
3,Sat Aug 27 2016,20:00,Caen,2-0,?,Bastia
3,Sat Aug 27 2016,20:00,Nancy,0-2,?,Guingamp
3,Sat Aug 27 2016,20:00,Metz,2-0,?,Angers
3,Sat Aug 27 2016,20:00,Nice,1-1,?,Lille
3,Sun Aug 28 2016,15:00,Bordeaux,1-0,?,Nantes
3,Sun Aug 28 2016,17:00,Saint-Étienne,0-0,?,Toulouse
3,Sun Aug 28 2016,20:45,Monaco,3-1,?,Paris S-G
4,Fri Sep 9 2016,20:45,Paris S-G,1-1,?,Saint-Étienne
4,Sat Sep 10 2016,17:00,Lyon,1-3,?,Bordeaux
4,Sat Sep 10 2016,20:00,Bastia,2-1,?,Toulouse
4,Sat Sep 10 2016,20:00,Guingamp,1-1,?,Montpellier
4,Sat Sep 10 2016,20:00,Lorient,0-2,?,Nancy
4,Sat Sep 10 2016,20:00,Angers,3-1,?,Dijon
4,Sat Sep 10 2016,20:00,Lille,1-4,?,Monaco
4,Sun Sep 11 2016,15:00,Nantes,0-3,?,Metz
4,Sun Sep 11 2016,17:00,Rennes,2-0,?,Caen
4,Sun Sep 11 2016,20:45,Nice,3-2,?,Marseille
5,Fri Sep 16 2016,20:45,Caen,0-6,?,Paris S-G
5,Sat Sep 17 2016,17:00,Monaco,3-0,?,Rennes
5,Sat Sep 17 2016,20:00,Bordeaux,0-1,?,Angers
5,Sat Sep 17 2016,20:00,Nancy,1-1,?,Nantes
5,Sat Sep 17 2016,20:00,Toulouse,2-1,?,Guingamp
5,Sat Sep 17 2016,20:00,Lorient,1-0,?,Lille
5,Sat Sep 17 2016,20:00,Dijon,0-0,?,Metz
5,Sun Sep 18 2016,15:00,Montpellier,1-1,?,Nice
5,Sun Sep 18 2016,17:00,Saint-Étienne,1-0,?,Bastia
5,Sun Sep 18 2016,20:45,Marseille,0-0,?,Lyon
6,Tue Sep 20 2016,19:00,Lille,1-2,?,Toulouse
6,Tue Sep 20 2016,21:00,Paris S-G,3-0,?,Dijon
6,Wed Sep 21 2016,19:00,Angers,2-1,?,Caen
6,Wed Sep 21 2016,19:00,Metz,0-3,?,Bordeaux
6,Wed Sep 21 2016,19:00,Nice,4-0,?,Monaco
6,Wed Sep 21 2016,19:00,Lyon,5-1,?,Montpellier
6,Wed Sep 21 2016,19:00,Nantes,0-0,?,Saint-Étienne
6,Wed Sep 21 2016,19:00,Guingamp,1-0,?,Lorient
6,Wed Sep 21 2016,19:00,Bastia,0-0,?,Nancy
6,Wed Sep 21 2016,21:00,Rennes,3-2,?,Marseille
7,Fri Sep 23 2016,20:45,Toulouse,2-0,?,Paris S-G
7,Sat Sep 24 2016,17:00,Lorient,1-0,?,Lyon
7,Sat Sep 24 2016,20:00,Bastia,1-0,?,Guingamp
7,Sat Sep 24 2016,20:00,Dijon,3-0,?,Rennes
7,Sat Sep 24 2016,20:00,Monaco,2-1,?,Angers
7,Sat Sep 24 2016,20:00,Montpellier,0-1,?,Metz
7,Sat Sep 24 2016,20:00,Bordeaux,0-0,?,Caen
7,Sun Sep 25 2016,15:00,Saint-Étienne,3-1,?,Lille
7,Sun Sep 25 2016,17:00,Nancy,0-1,?,Nice
7,Sun Sep 25 2016,20:45,Marseille,2-1,?,Nantes
8,Fri Sep 30 2016,20:45,Rennes,1-0,?,Guingamp
8,Sat Oct 1 2016,17:00,Paris S-G,2-0,?,Bordeaux
8,Sat Oct 1 2016,20:00,Dijon,3-3,?,Montpellier
8,Sat Oct 1 2016,20:00,Nantes,1-0,?,Bastia
8,Sat Oct 1 2016,20:00,Metz,0-7,?,Monaco
8,Sat Oct 1 2016,20:00,Lille,1-0,?,Nancy
8,Sat Oct 1 2016,20:00,Caen,1-0,?,Toulouse
8,Sun Oct 2 2016,15:00,Angers,1-1,?,Marseille
8,Sun Oct 2 2016,17:00,Nice,2-1,?,Lorient
8,Sun Oct 2 2016,20:45,Lyon,2-0,?,Saint-Étienne
9,Fri Oct 14 2016,19:00,Toulouse,3-1,?,Monaco
9,Fri Oct 14 2016,20:45,Nice,2-0,?,Lyon
9,Sat Oct 15 2016,17:00,Nancy,1-2,?,Paris S-G
9,Sat Oct 15 2016,20:00,Lorient,1-2,?,Nantes
9,Sat Oct 15 2016,20:00,Montpellier,3-2,?,Caen
9,Sat Oct 15 2016,20:00,Guingamp,1-0,?,Lille
9,Sat Oct 15 2016,20:00,Bastia,1-2,?,Angers
9,Sun Oct 16 2016,15:00,Rennes,1-1,?,Bordeaux
9,Sun Oct 16 2016,17:00,Saint-Étienne,1-1,?,Dijon
9,Sun Oct 16 2016,20:45,Marseille,1-0,?,Metz
10,Fri Oct 21 2016,20:45,Monaco,6-2,?,Montpellier
10,Sat Oct 22 2016,17:00,Lyon,1-3,?,Guingamp
10,Sat Oct 22 2016,20:00,Angers,0-0,?,Toulouse
10,Sat Oct 22 2016,20:00,Bordeaux,1-1,?,Nancy
10,Sat Oct 22 2016,20:00,Nantes,1-2,?,Rennes
10,Sat Oct 22 2016,20:00,Lille,2-1,?,Bastia
10,Sat Oct 22 2016,20:00,Dijon,1-0,?,Lorient
10,Sun Oct 23 2016,15:00,Caen,0-2,?,Saint-Étienne
10,Sun Oct 23 2016,17:00,Metz,2-4,?,Nice
10,Sun Oct 23 2016,20:45,Paris S-G,0-0,?,Marseille
11,Fri Oct 28 2016,20:45,Lille,0-1,?,Paris S-G
11,Sat Oct 29 2016,17:00,Toulouse,1-2,?,Lyon
11,Sat Oct 29 2016,20:00,Nancy,2-0,?,Caen
11,Sat Oct 29 2016,20:00,Bastia,0-0,?,Dijon
11,Sat Oct 29 2016,20:00,Saint-Étienne,1-1,?,Monaco
11,Sat Oct 29 2016,20:00,Lorient,2-2,?,Montpellier
11,Sat Oct 29 2016,20:00,Guingamp,1-0,?,Angers
11,Sun Oct 30 2016,15:00,Nice,4-1,?,Nantes
11,Sun Oct 30 2016,17:00,Rennes,1-0,?,Metz
11,Sun Oct 30 2016,20:45,Marseille,0-0,?,Bordeaux
12,Fri Nov 4 2016,20:45,Montpellier,3-1,?,Marseille
12,Sat Nov 5 2016,17:00,Monaco,6-0,?,Nancy
12,Sat Nov 5 2016,20:00,Lyon,2-1,?,Bastia
12,Sat Nov 5 2016,20:00,Nantes,1-1,?,Toulouse
12,Sat Nov 5 2016,20:00,Angers,1-0,?,Lille
12,Sat Nov 5 2016,20:00,Bordeaux,2-1,?,Lorient
12,Sat Nov 5 2016,20:00,Dijon,3-3,?,Guingamp
12,Sun Nov 6 2016,15:00,Caen,1-0,?,Nice
12,Sun Nov 6 2016,17:00,Metz,0-0,?,Saint-Étienne
12,Sun Nov 6 2016,20:45,Paris S-G,4-0,?,Rennes
13,Fri Nov 18 2016,19:00,Lorient,0-3,?,Monaco
13,Fri Nov 18 2016,20:45,Lille,0-1,?,Lyon
