Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Fri Aug 5 2016,20:30,Kaiserslautern,0-4,?,Hannover 96
1,Sat Aug 6 2016,13:00,Bochum,2-1,?,Union Berlin
1,Sat Aug 6 2016,15:30,Sandhausen,2-2,?,Düsseldorf
1,Sat Aug 6 2016,15:30,Dynamo Dres,1-1,?,Nürnberg
1,Sun Aug 7 2016,13:30,Greuther Fürth,1-0,?,1860 Munich
1,Sun Aug 7 2016,15:30,Arminia,0-0,?,Karlsruher
1,Sun Aug 7 2016,15:30,Braunschweig,2-1,?,W'burg Kickers
1,Sun Aug 7 2016,15:30,Heidenheim,1-0,?,Erzgebirge Aue
1,Mon Aug 8 2016,20:15,Stuttgart,2-1,?,St. Pauli
2,Fri Aug 12 2016,18:30,Nürnberg,1-1,?,Heidenheim
2,Fri Aug 12 2016,18:30,Erzgebirge Aue,2-0,?,Sandhausen
2,Fri Aug 12 2016,20:30,Düsseldorf,1-0,?,Stuttgart
2,Sat Aug 13 2016,13:00,Karlsruher,1-1,?,Bochum
2,Sat Aug 13 2016,15:30,St. Pauli,0-2,?,Braunschweig
2,Sun Aug 14 2016,13:30,Hannover 96,3-1,?,Greuther Fürth
2,Sun Aug 14 2016,15:30,1860 Munich,1-0,?,Arminia
2,Sun Aug 14 2016,15:30,W'burg Kickers,1-1,?,Kaiserslautern
2,Mon Aug 15 2016,20:15,Union Berlin,2-2,?,Dynamo Dres
3,Fri Aug 26 2016,18:30,Heidenheim,1-2,?,W'burg Kickers
3,Fri Aug 26 2016,18:30,Bochum,1-1,?,Hannover 96
3,Fri Aug 26 2016,18:30,Sandhausen,1-2,?,Stuttgart
3,Sat Aug 27 2016,13:00,Greuther Fürth,3-2,?,Erzgebirge Aue
3,Sat Aug 27 2016,13:00,Karlsruher,0-0,?,1860 Munich
3,Sun Aug 28 2016,13:30,Dynamo Dres,1-0,?,St. Pauli
