Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Fri Jul 29 2016,20:30,MSV Duisburg,1-0,?,Paderborn 07
1,Sat Jul 30 2016,14:00,Jahn R'burg,2-0,?,Hansa Rostock
1,Sat Jul 30 2016,14:00,Rot-Weiß Erfurt,0-3,?,Hallescher
1,Sat Jul 30 2016,14:00,Holstein Kiel,1-1,?,FSV Frankfurt
1,Sat Jul 30 2016,14:00,Chemnitzer FC,0-0,?,Großaspach
1,Sat Jul 30 2016,14:00,Wehen,1-2,?,Aalen
1,Sat Jul 30 2016,14:00,Mainz 05 II,2-2,?,Zwickau
1,Sun Jul 31 2016,14:00,Wrd Bremen II,0-3,?,Lotte
1,Sun Jul 31 2016,14:00,Preußen Münster,0-1,?,Osnabrück
1,Sun Jul 31 2016,14:00,Magdeburg,0-3,?,Fortuna Köln
2,Fri Aug 5 2016,19:00,Hansa Rostock,1-0,?,Preußen Münster
2,Fri Aug 5 2016,19:00,Fortuna Köln,2-0,?,Wrd Bremen II
2,Sat Aug 6 2016,14:00,FSV Frankfurt,0-1,?,Rot-Weiß Erfurt
2,Sat Aug 6 2016,14:00,Lotte,0-0,?,Wehen
2,Sat Aug 6 2016,14:00,Paderborn 07,3-1,?,Mainz 05 II
2,Sat Aug 6 2016,14:00,Aalen,1-0,?,Holstein Kiel
2,Sat Aug 6 2016,14:00,Hallescher,1-1,?,Chemnitzer FC
2,Sun Aug 7 2016,14:00,Osnabrück,1-1,?,MSV Duisburg
2,Sun Aug 7 2016,14:00,Großaspach,3-4,?,Jahn R'burg
3,Tue Aug 9 2016,18:30,Rot-Weiß Erfurt,0-0,?,Aalen
3,Tue Aug 9 2016,19:00,Holstein Kiel,3-1,?,Lotte
3,Tue Aug 9 2016,19:00,Wehen,3-0,?,Fortuna Köln
3,Tue Aug 9 2016,19:00,Magdeburg,3-0,?,Paderborn 07
3,Wed Aug 10 2016,18:30,Wrd Bremen II,1-3,?,Zwickau
