Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Fri Aug 26 2016,20:30,Bayern Munich,6-0,?,Werder Bremen
1,Sat Aug 27 2016,15:30,Augsburg,0-2,?,Wolfsburg
1,Sat Aug 27 2016,15:30,Köln,2-0,?,Darmstadt 98
1,Sat Aug 27 2016,15:30,Hamburger SV,1-1,?,Ingolstadt 04
1,Sat Aug 27 2016,15:30,Dortmund,2-1,?,Mainz 05
1,Sat Aug 27 2016,15:30,Eint Frankfurt,1-0,?,Schalke 04
1,Sat Aug 27 2016,18:30,M'gladbach,2-1,?,Leverkusen
1,Sun Aug 28 2016,15:30,Hertha BSC,2-1,?,Freiburg
1,Sun Aug 28 2016,17:30,Hoffenheim,2-2,?,RB Leipzig
2,Fri Sep 9 2016,20:30,Schalke 04,0-2,?,Bayern Munich
2,Sat Sep 10 2016,15:30,Darmstadt 98,1-0,?,Eint Frankfurt
2,Sat Sep 10 2016,15:30,Freiburg,3-1,?,M'gladbach
2,Sat Sep 10 2016,15:30,Ingolstadt 04,0-2,?,Hertha BSC
2,Sat Sep 10 2016,15:30,Leverkusen,3-1,?,Hamburger SV
2,Sat Sep 10 2016,15:30,Wolfsburg,0-0,?,Köln
2,Sat Sep 10 2016,18:30,RB Leipzig,1-0,?,Dortmund
2,Sun Sep 11 2016,15:30,Werder Bremen,1-2,?,Augsburg
2,Sun Sep 11 2016,17:30,Mainz 05,4-4,?,Hoffenheim
3,Fri Sep 16 2016,20:30,Köln,3-0,?,Freiburg
3,Sat Sep 17 2016,15:30,Hamburger SV,0-4,?,RB Leipzig
3,Sat Sep 17 2016,15:30,Bayern Munich,3-1,?,Ingolstadt 04
3,Sat Sep 17 2016,15:30,Eint Frankfurt,2-1,?,Leverkusen
3,Sat Sep 17 2016,15:30,Dortmund,6-0,?,Darmstadt 98
3,Sat Sep 17 2016,15:30,Hoffenheim,0-0,?,Wolfsburg
3,Sat Sep 17 2016,18:30,M'gladbach,4-1,?,Werder Bremen
3,Sun Sep 18 2016,15:30,Augsburg,1-3,?,Mainz 05
3,Sun Sep 18 2016,17:30,Hertha BSC,2-0,?,Schalke 04
4,Tue Sep 20 2016,20:00,Wolfsburg,1-5,?,Dortmund
4,Tue Sep 20 2016,20:00,Ingolstadt 04,0-2,?,Eint Frankfurt
4,Tue Sep 20 2016,20:00,Freiburg,1-0,?,Hamburger SV
4,Tue Sep 20 2016,20:00,Darmstadt 98,1-1,?,Hoffenheim
4,Wed Sep 21 2016,20:00,RB Leipzig,1-1,?,M'gladbach
4,Wed Sep 21 2016,20:00,Leverkusen,0-0,?,Augsburg
4,Wed Sep 21 2016,20:00,Werder Bremen,1-2,?,Mainz 05
4,Wed Sep 21 2016,20:00,Bayern Munich,3-0,?,Hertha BSC
4,Wed Sep 21 2016,20:00,Schalke 04,1-3,?,Köln
5,Fri Sep 23 2016,20:30,Dortmund,3-1,?,Freiburg
5,Sat Sep 24 2016,15:30,Augsburg,1-0,?,Darmstadt 98
5,Sat Sep 24 2016,15:30,Eint Frankfurt,3-3,?,Hertha BSC
5,Sat Sep 24 2016,15:30,Hamburger SV,0-1,?,Bayern Munich
5,Sat Sep 24 2016,15:30,M'gladbach,2-0,?,Ingolstadt 04
5,Sat Sep 24 2016,15:30,Mainz 05,2-3,?,Leverkusen
5,Sat Sep 24 2016,18:30,Werder Bremen,2-1,?,Wolfsburg
5,Sun Sep 25 2016,15:30,Hoffenheim,2-1,?,Schalke 04
5,Sun Sep 25 2016,17:45,Köln,1-1,?,RB Leipzig
6,Fri Sep 30 2016,20:30,RB Leipzig,2-1,?,Augsburg
6,Sat Oct 1 2016,15:30,Freiburg,1-0,?,Eint Frankfurt
6,Sat Oct 1 2016,15:30,Ingolstadt 04,1-2,?,Hoffenheim
6,Sat Oct 1 2016,15:30,Bayern Munich,1-1,?,Köln
6,Sat Oct 1 2016,15:30,Darmstadt 98,2-2,?,Werder Bremen
6,Sat Oct 1 2016,15:30,Hertha BSC,2-0,?,Hamburger SV
6,Sat Oct 1 2016,18:30,Leverkusen,2-0,?,Dortmund
6,Sun Oct 2 2016,15:30,Wolfsburg,0-0,?,Mainz 05
6,Sun Oct 2 2016,17:30,Schalke 04,4-0,?,M'gladbach
7,Fri Oct 14 2016,20:30,Dortmund,1-1,?,Hertha BSC
7,Sat Oct 15 2016,15:30,Augsburg,1-1,?,Schalke 04
7,Sat Oct 15 2016,15:30,Köln,2-1,?,Ingolstadt 04
7,Sat Oct 15 2016,15:30,M'gladbach,0-0,?,Hamburger SV
7,Sat Oct 15 2016,15:30,Eint Frankfurt,2-2,?,Bayern Munich
7,Sat Oct 15 2016,15:30,Hoffenheim,2-1,?,Freiburg
7,Sat Oct 15 2016,18:30,Werder Bremen,2-1,?,Leverkusen
7,Sun Oct 16 2016,15:30,Mainz 05,2-1,?,Darmstadt 98
7,Sun Oct 16 2016,17:30,Wolfsburg,0-1,?,RB Leipzig
8,Fri Oct 21 2016,20:30,Hamburger SV,0-3,?,Eint Frankfurt
8,Sat Oct 22 2016,15:30,Darmstadt 98,3-1,?,Wolfsburg
8,Sat Oct 22 2016,15:30,Freiburg,2-1,?,Augsburg
8,Sat Oct 22 2016,15:30,Ingolstadt 04,3-3,?,Dortmund
8,Sat Oct 22 2016,15:30,Leverkusen,0-3,?,Hoffenheim
8,Sat Oct 22 2016,15:30,Hertha BSC,2-1,?,Köln
8,Sat Oct 22 2016,18:30,Bayern Munich,2-0,?,M'gladbach
8,Sun Oct 23 2016,15:30,RB Leipzig,3-1,?,Werder Bremen
8,Sun Oct 23 2016,17:30,Schalke 04,3-0,?,Mainz 05
