Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Sat Aug 20 2016,18:00,Roma,4-0,?,Udinese
1,Sat Aug 20 2016,20:45,Juventus,2-1,?,Fiorentina
1,Sun Aug 21 2016,18:00,Milan,3-2,?,Torino
1,Sun Aug 21 2016,20:45,Empoli,0-1,?,Sampdoria
1,Sun Aug 21 2016,20:45,Chievo,2-0,?,Inter
1,Sun Aug 21 2016,20:45,Palermo,0-1,?,Sassuolo
1,Sun Aug 21 2016,20:45,Pescara,2-2,?,Napoli
1,Sun Aug 21 2016,20:45,Bologna,1-0,?,Crotone
1,Sun Aug 21 2016,20:45,Atalanta,3-4,?,Lazio
1,Sun Aug 21 2016,20:45,Genoa,3-1,?,Cagliari
2,Sat Aug 27 2016,18:00,Lazio,0-1,?,Juventus
2,Sat Aug 27 2016,20:45,Napoli,4-2,?,Milan
2,Sun Aug 28 2016,18:00,Inter,1-1,?,Palermo
2,Sun Aug 28 2016,20:45,Sampdoria,2-1,?,Atalanta
2,Sun Aug 28 2016,20:45,Torino,5-1,?,Bologna
2,Sun Aug 28 2016,20:45,Cagliari,2-2,?,Roma
2,Sun Aug 28 2016,20:45,Sassuolo,0-3,?,Pescara
2,Sun Aug 28 2016,20:45,Fiorentina,1-0,?,Chievo
2,Sun Aug 28 2016,20:45,Crotone,1-3,?,Genoa
2,Sun Aug 28 2016,20:45,Udinese,2-0,?,Empoli
3,Sat Sep 10 2016,18:00,Juventus,3-1,?,Sassuolo
3,Sat Sep 10 2016,20:45,Palermo,0-3,?,Napoli
3,Sun Sep 11 2016,12:30,Bologna,2-1,?,Cagliari
3,Sun Sep 11 2016,15:00,Atalanta,2-1,?,Torino
3,Sun Sep 11 2016,15:00,Chievo,1-1,?,Lazio
3,Sun Sep 11 2016,15:00,Milan,0-1,?,Udinese
3,Sun Sep 11 2016,15:00,Roma,3-2,?,Sampdoria
3,Sun Sep 11 2016,20:45,Pescara,1-2,?,Inter
3,Mon Sep 12 2016,20:45,Empoli,2-1,?,Crotone
4,Fri Sep 16 2016,20:45,Sampdoria,0-1,?,Milan
4,Sat Sep 17 2016,18:00,Lazio,3-0,?,Pescara
4,Sat Sep 17 2016,20:45,Napoli,3-1,?,Bologna
4,Sun Sep 18 2016,12:30,Udinese,1-2,?,Chievo
4,Sun Sep 18 2016,15:00,Sassuolo,2-0,?,Genoa
4,Sun Sep 18 2016,15:00,Crotone,1-1,?,Palermo
4,Sun Sep 18 2016,15:00,Cagliari,3-0,?,Atalanta
4,Sun Sep 18 2016,15:00,Torino,0-0,?,Empoli
4,Sun Sep 18 2016,18:00,Inter,2-1,?,Juventus
4,Sun Sep 18 2016,20:45,Fiorentina,1-0,?,Roma
5,Tue Sep 20 2016,20:45,Milan,2-0,?,Lazio
5,Wed Sep 21 2016,18:30,Bologna,2-0,?,Sampdoria
5,Wed Sep 21 2016,20:45,Chievo,2-1,?,Sassuolo
5,Wed Sep 21 2016,20:45,Genoa,0-0,?,Napoli
5,Wed Sep 21 2016,20:45,Roma,4-0,?,Crotone
5,Wed Sep 21 2016,20:45,Udinese,2-2,?,Fiorentina
5,Wed Sep 21 2016,20:45,Atalanta,0-1,?,Palermo
5,Wed Sep 21 2016,20:45,Juventus,4-0,?,Cagliari
5,Wed Sep 21 2016,20:45,Empoli,0-2,?,Inter
5,Wed Sep 21 2016,20:45,Pescara,0-0,?,Torino
6,Sat Sep 24 2016,18:00,Palermo,0-1,?,Juventus
6,Sat Sep 24 2016,20:45,Napoli,2-0,?,Chievo
6,Sun Sep 25 2016,12:30,Torino,3-1,?,Roma
6,Sun Sep 25 2016,15:00,Genoa,1-1,?,Pescara
6,Sun Sep 25 2016,15:00,Inter,1-1,?,Bologna
6,Sun Sep 25 2016,15:00,Lazio,2-0,?,Empoli
6,Sun Sep 25 2016,15:00,Sassuolo,1-0,?,Udinese
6,Sun Sep 25 2016,20:45,Fiorentina,0-0,?,Milan
6,Mon Sep 26 2016,19:00,Crotone,1-3,?,Atalanta
6,Mon Sep 26 2016,21:00,Cagliari,2-1,?,Sampdoria
7,Sat Oct 1 2016,18:00,Pescara,0-2,?,Chievo
7,Sat Oct 1 2016,20:45,Udinese,0-3,?,Lazio
7,Sun Oct 2 2016,12:30,Empoli,0-3,?,Juventus
7,Sun Oct 2 2016,15:00,Bologna,0-1,?,Genoa
7,Sun Oct 2 2016,15:00,Atalanta,1-0,?,Napoli
7,Sun Oct 2 2016,15:00,Sampdoria,1-1,?,Palermo
7,Sun Oct 2 2016,15:00,Cagliari,2-1,?,Crotone
7,Sun Oct 2 2016,18:00,Milan,4-3,?,Sassuolo
7,Sun Oct 2 2016,18:00,Torino,2-1,?,Fiorentina
7,Sun Oct 2 2016,20:45,Roma,2-1,?,Inter
8,Sat Oct 15 2016,15:00,Napoli,1-3,?,Roma
8,Sat Oct 15 2016,18:00,Pescara,1-1,?,Sampdoria
8,Sat Oct 15 2016,20:45,Juventus,2-1,?,Udinese
8,Sun Oct 16 2016,12:30,Fiorentina,0-0,?,Atalanta
8,Sun Oct 16 2016,15:00,Inter,1-2,?,Cagliari
8,Sun Oct 16 2016,15:00,Genoa,0-0,?,Empoli
8,Sun Oct 16 2016,15:00,Sassuolo,2-1,?,Crotone
8,Sun Oct 16 2016,15:00,Lazio,1-1,?,Bologna
8,Sun Oct 16 2016,20:45,Chievo,1-3,?,Milan
8,Mon Oct 17 2016,20:45,Palermo,1-4,?,Torino
9,Sat Oct 22 2016,18:00,Sampdoria,2-1,?,Genoa
9,Sat Oct 22 2016,20:45,Milan,1-0,?,Juventus
9,Sun Oct 23 2016,12:30,Udinese,3-1,?,Pescara
9,Sun Oct 23 2016,15:00,Empoli,0-0,?,Chievo
