Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 14 Aug 2015 (32),CD Tondela (1),1-2,0-1,Sporting Clube de Portugal (1)
?,(Sat) 15 Aug 2015 (32),Os Belenenses (1),3-3,1-1,Rio Ave FC (1)
?,(Sat) 15 Aug 2015 (32),FC Porto (1),3-0,1-0,Vitória de Guimarães (1)
?,(Sun) 16 Aug 2015 (32),SL Benfica (1),4-0,0-0,Estoril Praia (1)
?,(Sun) 16 Aug 2015 (32),Moreirense FC (1),0-2,0-0,Arouca (1)
?,(Sun) 16 Aug 2015 (32),Vitória de Setúbal (1),2-2,2-0,Boavista FC (1)
?,(Sun) 16 Aug 2015 (32),SC Braga (1),2-1,1-1,Nacional (1)
?,(Sun) 16 Aug 2015 (32),Uniao Madeira (1),2-1,1-0,CS Marítimo (1)
?,(Mon) 17 Aug 2015 (33),FC Paços de Ferreira (1),1-0,1-0,Academica (1)
?,(Fri) 21 Aug 2015 (33),Rio Ave FC (2),1-0,1-0,SC Braga (2)
?,(Sat) 22 Aug 2015 (33),CS Marítimo (2),1-1,1-1,FC Porto (2)
?,(Sat) 22 Aug 2015 (33),Sporting Clube de Portugal (2),1-1,1-0,FC Paços de Ferreira (2)
?,(Sun) 23 Aug 2015 (33),Arouca (2),1-0,1-0,SL Benfica (2)
?,(Sun) 23 Aug 2015 (33),Boavista FC (2),1-0,0-0,CD Tondela (2)
?,(Sun) 23 Aug 2015 (33),Estoril Praia (2),2-0,0-0,Moreirense FC (2)
?,(Sun) 23 Aug 2015 (33),Vitória de Guimarães (2),1-1,1-0,Os Belenenses (2)
?,(Sun) 23 Aug 2015 (33),Nacional (2),1-0,1-0,Uniao Madeira (2)
?,(Mon) 24 Aug 2015 (34),Academica (2),0-4,0-1,Vitória de Setúbal (2)
?,(Sat) 29 Aug 2015 (34),SL Benfica (3),3-2,0-1,Moreirense FC (3)
?,(Sat) 29 Aug 2015 (34),FC Porto (3),2-0,1-0,Estoril Praia (3)
?,(Sat) 29 Aug 2015 (34),Vitória de Setúbal (3),2-2,0-0,Rio Ave FC (3)
?,(Sun) 30 Aug 2015 (34),Academica (3),1-3,1-2,Sporting Clube de Portugal (3)
?,(Sun) 30 Aug 2015 (34),FC Paços de Ferreira (3),1-1,1-1,Arouca (3)
?,(Sun) 30 Aug 2015 (34),SC Braga (3),4-0,1-0,Boavista FC (3)
?,(Sun) 30 Aug 2015 (34),CD Tondela (3),1-0,0-0,Nacional (3)
