Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Fri Aug 21 2015,20:30,Málaga,0-0,?,Sevilla
1,Sat Aug 22 2015,18:30,La Coruña,0-0,?,Real Sociedad
1,Sat Aug 22 2015,18:30,Espanyol,1-0,?,Getafe
1,Sat Aug 22 2015,20:30,Atlético Madrid,1-0,?,Las Palmas
1,Sat Aug 22 2015,22:30,Rayo Vallecano,0-0,?,Valencia
1,Sun Aug 23 2015,18:30,Athletic Club,0-1,?,Barcelona
1,Sun Aug 23 2015,20:30,Sporting Gijón,0-0,?,Real Madrid
1,Sun Aug 23 2015,22:00,Levante,1-2,?,Celta Vigo
1,Sun Aug 23 2015,22:30,Betis,1-1,?,Villarreal
1,Mon Aug 24 2015,20:30,Granada,1-3,?,Eibar
2,Fri Aug 28 2015,20:30,Villarreal,3-1,?,Espanyol
2,Sat Aug 29 2015,18:30,Real Sociedad,0-0,?,Sporting Gijón
2,Sat Aug 29 2015,20:30,Barcelona,1-0,?,Málaga
2,Sat Aug 29 2015,22:00,Celta Vigo,3-0,?,Rayo Vallecano
2,Sat Aug 29 2015,22:30,Real Madrid,5-0,?,Betis
2,Sun Aug 30 2015,18:30,Eibar,2-0,?,Athletic Club
2,Sun Aug 30 2015,20:30,Valencia,1-1,?,La Coruña
2,Sun Aug 30 2015,20:30,Sevilla,0-3,?,Atlético Madrid
2,Sun Aug 30 2015,21:30,Las Palmas,0-0,?,Levante
2,Sun Aug 30 2015,22:30,Getafe,1-2,?,Granada
3,Fri Sep 11 2015,20:30,Levante,1-1,?,Sevilla
3,Sat Sep 12 2015,16:00,Espanyol,0-6,?,Real Madrid
3,Sat Sep 12 2015,18:15,Sporting Gijón,0-1,?,Valencia
3,Sat Sep 12 2015,20:30,Atlético Madrid,1-2,?,Barcelona
3,Sat Sep 12 2015,22:00,Betis,1-0,?,Real Sociedad
3,Sun Sep 13 2015,12:00,Granada,1-3,?,Villarreal
3,Sun Sep 13 2015,16:00,Athletic Club,3-1,?,Getafe
3,Sun Sep 13 2015,18:15,Celta Vigo,3-3,?,Las Palmas
3,Sun Sep 13 2015,20:30,Málaga,0-0,?,Eibar
3,Mon Sep 14 2015,20:30,Rayo Vallecano,1-3,?,La Coruña
4,Fri Sep 18 2015,20:30,Getafe,1-0,?,Málaga
4,Sat Sep 19 2015,16:00,Real Madrid,1-0,?,Granada
4,Sat Sep 19 2015,18:15,Valencia,0-0,?,Betis
4,Sat Sep 19 2015,20:30,Eibar,0-2,?,Atlético Madrid
4,Sat Sep 19 2015,22:00,Real Sociedad,2-3,?,Espanyol
4,Sun Sep 20 2015,12:00,Sevilla,1-2,?,Celta Vigo
4,Sun Sep 20 2015,16:00,La Coruña,2-3,?,Sporting Gijón
4,Sun Sep 20 2015,18:15,Villarreal,3-1,?,Athletic Club
4,Sun Sep 20 2015,19:30,Las Palmas,0-1,?,Rayo Vallecano
4,Sun Sep 20 2015,20:30,Barcelona,4-1,?,Levante
5,Tue Sep 22 2015,20:00,Espanyol,1-0,?,Valencia
5,Tue Sep 22 2015,20:00,Atlético Madrid,2-0,?,Getafe
5,Tue Sep 22 2015,22:00,Granada,0-3,?,Real Sociedad
5,Wed Sep 23 2015,20:00,Rayo Vallecano,2-1,?,Sporting Gijón
5,Wed Sep 23 2015,20:00,Celta Vigo,4-1,?,Barcelona
5,Wed Sep 23 2015,20:00,Levante,2-2,?,Eibar
5,Wed Sep 23 2015,21:00,Athletic Club,1-2,?,Real Madrid
5,Wed Sep 23 2015,21:00,Las Palmas,2-0,?,Sevilla
5,Wed Sep 23 2015,22:00,Málaga,0-1,?,Villarreal
5,Thu Sep 24 2015,22:00,Betis,1-2,?,La Coruña
6,Fri Sep 25 2015,20:30,Valencia,1-0,?,Granada
6,Sat Sep 26 2015,16:00,Barcelona,2-1,?,Las Palmas
6,Sat Sep 26 2015,18:15,Real Madrid,0-0,?,Málaga
6,Sat Sep 26 2015,20:30,Villarreal,1-0,?,Atlético Madrid
6,Sat Sep 26 2015,20:30,Sevilla,3-2,?,Rayo Vallecano
6,Sat Sep 26 2015,22:00,Eibar,1-1,?,Celta Vigo
6,Sun Sep 27 2015,12:00,Sporting Gijón,1-2,?,Betis
6,Sun Sep 27 2015,16:00,La Coruña,3-0,?,Espanyol
6,Sun Sep 27 2015,18:15,Getafe,3-0,?,Levante
6,Sun Sep 27 2015,20:30,Real Sociedad,0-0,?,Athletic Club
7,Fri Oct 2 2015,20:30,Celta Vigo,0-0,?,Getafe
7,Sat Oct 3 2015,16:00,Sevilla,2-1,?,Barcelona
7,Sat Oct 3 2015,18:15,Granada,1-1,?,La Coruña
7,Sat Oct 3 2015,20:30,Espanyol,1-2,?,Sporting Gijón
7,Sat Oct 3 2015,21:00,Las Palmas,0-2,?,Eibar
7,Sat Oct 3 2015,22:05,Málaga,3-1,?,Real Sociedad
7,Sun Oct 4 2015,12:00,Rayo Vallecano,0-2,?,Betis
7,Sun Oct 4 2015,16:00,Athletic Club,3-1,?,Valencia
7,Sun Oct 4 2015,18:15,Levante,1-0,?,Villarreal
7,Sun Oct 4 2015,20:30,Atlético Madrid,1-1,?,Real Madrid
8,Sat Oct 17 2015,16:00,Real Madrid,3-0,?,Levante
8,Sat Oct 17 2015,18:15,Eibar,1-1,?,Sevilla
8,Sat Oct 17 2015,20:30,Barcelona,5-2,?,Rayo Vallecano
8,Sat Oct 17 2015,22:00,Valencia,3-0,?,Málaga
8,Sat Oct 17 2015,22:05,Betis,1-3,?,Espanyol
8,Sun Oct 18 2015,12:00,Villarreal,1-2,?,Celta Vigo
8,Sun Oct 18 2015,16:00,Real Sociedad,0-2,?,Atlético Madrid
8,Sun Oct 18 2015,18:15,Getafe,4-0,?,Las Palmas
8,Sun Oct 18 2015,20:30,La Coruña,2-2,?,Athletic Club
8,Mon Oct 19 2015,20:30,Sporting Gijón,3-3,?,Granada
9,Fri Oct 23 2015,20:30,Rayo Vallecano,3-0,?,Espanyol
9,Sat Oct 24 2015,16:00,Celta Vigo,1-3,?,Real Madrid
9,Sat Oct 24 2015,18:15,Granada,1-1,?,Betis
9,Sat Oct 24 2015,20:30,Sevilla,5-0,?,Getafe
9,Sat Oct 24 2015,22:05,Málaga,2-0,?,La Coruña
9,Sun Oct 25 2015,12:00,Levante,0-4,?,Real Sociedad
9,Sun Oct 25 2015,15:00,Las Palmas,0-0,?,Villarreal
9,Sun Oct 25 2015,18:15,Barcelona,3-1,?,Eibar
9,Sun Oct 25 2015,20:30,Atlético Madrid,2-1,?,Valencia
9,Mon Oct 26 2015,20:30,Athletic Club,3-0,?,Sporting Gijón
10,Fri Oct 30 2015,20:30,La Coruña,1-1,?,Atlético Madrid
10,Sat Oct 31 2015,16:00,Real Madrid,3-1,?,Las Palmas
10,Sat Oct 31 2015,18:15,Villarreal,2-1,?,Sevilla
10,Sat Oct 31 2015,18:15,Valencia,3-0,?,Levante
10,Sat Oct 31 2015,20:30,Getafe,0-2,?,Barcelona
10,Sat Oct 31 2015,22:05,Real Sociedad,2-3,?,Celta Vigo
10,Sun Nov 1 2015,12:00,Eibar,1-0,?,Rayo Vallecano
10,Sun Nov 1 2015,16:00,Espanyol,1-1,?,Granada
10,Sun Nov 1 2015,18:15,Sporting Gijón,1-0,?,Málaga
10,Sun Nov 1 2015,20:30,Betis,1-3,?,Athletic Club
11,Fri Nov 6 2015,19:30,Las Palmas,2-0,?,Real Sociedad
11,Sat Nov 7 2015,16:00,Celta Vigo,1-5,?,Valencia
11,Sat Nov 7 2015,18:15,Levante,1-1,?,La Coruña
11,Sat Nov 7 2015,20:30,Eibar,3-1,?,Getafe
11,Sat Nov 7 2015,20:30,Rayo Vallecano,2-1,?,Granada
11,Sat Nov 7 2015,22:05,Málaga,0-1,?,Betis
11,Sun Nov 8 2015,12:00,Athletic Club,2-1,?,Espanyol
11,Sun Nov 8 2015,16:00,Barcelona,3-0,?,Villarreal
11,Sun Nov 8 2015,18:15,Atlético Madrid,1-0,?,Sporting Gijón
11,Sun Nov 8 2015,20:30,Sevilla,3-2,?,Real Madrid
12,Sat Nov 21 2015,16:00,Real Sociedad,2-0,?,Sevilla
12,Sat Nov 21 2015,18:15,Real Madrid,0-4,?,Barcelona
12,Sat Nov 21 2015,20:30,Espanyol,2-0,?,Málaga
12,Sat Nov 21 2015,22:00,Valencia,1-1,?,Las Palmas
12,Sat Nov 21 2015,22:05,La Coruña,2-0,?,Celta Vigo
12,Sun Nov 22 2015,12:00,Sporting Gijón,0-3,?,Levante
12,Sun Nov 22 2015,16:00,Villarreal,1-1,?,Eibar
12,Sun Nov 22 2015,18:15,Granada,2-0,?,Athletic Club
12,Sun Nov 22 2015,20:30,Betis,0-1,?,Atlético Madrid
12,Mon Nov 23 2015,20:30,Getafe,1-1,?,Rayo Vallecano
13,Fri Nov 27 2015,20:30,Levante,0-1,?,Betis
13,Sat Nov 28 2015,16:00,Barcelona,4-0,?,Real Sociedad
13,Sat Nov 28 2015,18:15,Atlético Madrid,1-0,?,Espanyol
13,Sat Nov 28 2015,20:30,Málaga,2-2,?,Granada
13,Sat Nov 28 2015,21:00,Las Palmas,0-2,?,La Coruña
13,Sat Nov 28 2015,22:05,Celta Vigo,2-1,?,Sporting Gijón
13,Sun Nov 29 2015,12:00,Getafe,2-0,?,Villarreal
13,Sun Nov 29 2015,16:00,Eibar,0-2,?,Real Madrid
13,Sun Nov 29 2015,18:15,Rayo Vallecano,0-3,?,Athletic Club
13,Sun Nov 29 2015,20:30,Sevilla,1-0,?,Valencia
14,Sat Dec 5 2015,16:00,Real Madrid,4-1,?,Getafe
14,Sat Dec 5 2015,18:15,Granada,0-2,?,Atlético Madrid
14,Sat Dec 5 2015,20:30,Valencia,1-1,?,Barcelona
14,Sat Dec 5 2015,22:00,La Coruña,1-1,?,Sevilla
14,Sat Dec 5 2015,22:05,Betis,1-1,?,Celta Vigo
14,Sun Dec 6 2015,12:00,Real Sociedad,2-1,?,Eibar
14,Sun Dec 6 2015,16:00,Villarreal,2-1,?,Rayo Vallecano
14,Sun Dec 6 2015,18:15,Sporting Gijón,3-1,?,Las Palmas
14,Sun Dec 6 2015,20:30,Athletic Club,0-0,?,Málaga
14,Mon Dec 7 2015,20:30,Espanyol,1-1,?,Levante
15,Fri Dec 11 2015,20:30,Getafe,1-1,?,Real Sociedad
15,Sat Dec 12 2015,16:00,Barcelona,2-2,?,La Coruña
