Matchday,Date,Time,Team 1,FT,HT,Team 2
10,Fri Oct 16 2015,20:30,Monaco,1-1,?,Lyon
10,Sat Oct 17 2015,17:00,Bastia,0-2,?,Paris S-G
10,Sat Oct 17 2015,20:00,Reims,0-1,?,Caen
10,Sat Oct 17 2015,20:00,Toulouse,1-2,?,Angers
10,Sat Oct 17 2015,20:00,Nantes,3-0,?,Troyes
10,Sat Oct 17 2015,20:00,Saint-Étienne,2-0,?,Gazélec Ajaccio
10,Sat Oct 17 2015,20:00,Guingamp,1-1,?,Lille
10,Sun Oct 18 2015,14:00,Marseille,1-1,?,Lorient
10,Sun Oct 18 2015,17:00,Bordeaux,0-0,?,Montpellier
10,Sun Oct 18 2015,21:00,Rennes,1-4,?,Nice
11,Fri Oct 23 2015,18:30,Caen,0-2,?,Nantes
11,Fri Oct 23 2015,20:30,Lyon,3-0,?,Toulouse
11,Sat Oct 24 2015,17:00,Lorient,1-1,?,Rennes
11,Sat Oct 24 2015,20:00,Angers,0-0,?,Guingamp
11,Sat Oct 24 2015,20:00,Montpellier,2-0,?,Bastia
11,Sat Oct 24 2015,20:00,Gazélec Ajaccio,3-1,?,Nice
11,Sun Oct 25 2015,14:00,Reims,0-1,?,Monaco
11,Sun Oct 25 2015,17:00,Bordeaux,1-0,?,Troyes
11,Sun Oct 25 2015,17:00,Lille,1-2,?,Marseille
11,Sun Oct 25 2015,21:00,Paris S-G,4-1,?,Saint-Étienne
12,Fri Oct 30 2015,20:30,Rennes,0-1,?,Paris S-G
12,Sat Oct 31 2015,17:00,Saint-Étienne,3-0,?,Reims
12,Sat Oct 31 2015,20:00,Bastia,1-0,?,Caen
12,Sat Oct 31 2015,20:00,Toulouse,1-1,?,Montpellier
12,Sat Oct 31 2015,20:00,Guingamp,2-2,?,Lorient
12,Sat Oct 31 2015,20:00,Gazélec Ajaccio,2-0,?,Bordeaux
12,Sat Oct 31 2015,20:00,Troyes,0-1,?,Lyon
12,Sun Nov 1 2015,14:00,Nice,0-0,?,Lille
12,Sun Nov 1 2015,17:00,Monaco,1-0,?,Angers
12,Sun Nov 1 2015,21:00,Nantes,0-1,?,Marseille
9,Wed Nov 4 2015,18:30,Nice,1-2,?,Nantes
13,Fri Nov 6 2015,20:30,Angers,0-2,?,Rennes
13,Sat Nov 7 2015,17:00,Paris S-G,5-0,?,Toulouse
13,Sat Nov 7 2015,20:00,Reims,1-2,?,Gazélec Ajaccio
13,Sat Nov 7 2015,20:00,Caen,2-1,?,Guingamp
13,Sat Nov 7 2015,20:00,Lille,1-1,?,Bastia
13,Sat Nov 7 2015,20:00,Montpellier,2-1,?,Nantes
13,Sat Nov 7 2015,20:00,Lorient,4-1,?,Troyes
13,Sun Nov 8 2015,17:00,Marseille,0-1,?,Nice
13,Sun Nov 8 2015,21:00,Bordeaux,3-1,?,Monaco
13,Sun Nov 8 2015,21:00,Lyon,3-0,?,Saint-Étienne
14,Fri Nov 20 2015,20:30,Nice,3-0,?,Lyon
14,Sat Nov 21 2015,17:00,Lorient,1-2,?,Paris S-G
14,Sat Nov 21 2015,20:00,Monaco,1-0,?,Nantes
14,Sat Nov 21 2015,20:00,Montpellier,3-1,?,Reims
14,Sat Nov 21 2015,20:00,Troyes,1-1,?,Lille
14,Sat Nov 21 2015,20:00,Guingamp,2-0,?,Toulouse
14,Sun Nov 22 2015,14:00,Caen,0-0,?,Angers
14,Sun Nov 22 2015,14:00,Bastia,1-2,?,Gazélec Ajaccio
14,Sun Nov 22 2015,17:00,Rennes,2-2,?,Bordeaux
14,Sun Nov 22 2015,21:00,Saint-Étienne,0-2,?,Marseille
15,Fri Nov 27 2015,20:30,Lyon,2-4,?,Montpellier
15,Sat Nov 28 2015,17:00,Paris S-G,4-1,?,Troyes
15,Sat Nov 28 2015,20:00,Reims,2-2,?,Rennes
15,Sat Nov 28 2015,20:00,Nantes,0-0,?,Bastia
15,Sat Nov 28 2015,20:00,Angers,2-0,?,Lille
15,Sat Nov 28 2015,20:00,Toulouse,2-0,?,Nice
15,Sat Nov 28 2015,20:00,Gazélec Ajaccio,1-1,?,Lorient
15,Sun Nov 29 2015,14:00,Saint-Étienne,3-0,?,Guingamp
15,Sun Nov 29 2015,17:00,Bordeaux,1-4,?,Caen
15,Sun Nov 29 2015,21:00,Marseille,3-3,?,Monaco
16,Tue Dec 1 2015,19:00,Lorient,0-0,?,Nice
16,Tue Dec 1 2015,19:00,Angers,0-0,?,Paris S-G
16,Tue Dec 1 2015,21:00,Nantes,0-0,?,Lyon
16,Wed Dec 2 2015,19:00,Monaco,1-1,?,Caen
16,Wed Dec 2 2015,19:00,Montpellier,0-2,?,Gazélec Ajaccio
16,Wed Dec 2 2015,19:00,Guingamp,1-2,?,Reims
16,Wed Dec 2 2015,19:00,Troyes,0-3,?,Toulouse
16,Wed Dec 2 2015,19:00,Bastia,1-0,?,Bordeaux
16,Wed Dec 2 2015,21:00,Lille,1-0,?,Saint-Étienne
16,Thu Dec 3 2015,21:00,Rennes,0-1,?,Marseille
17,Fri Dec 4 2015,20:30,Nice,0-3,?,Paris S-G
17,Sat Dec 5 2015,17:00,Lyon,0-2,?,Angers
17,Sat Dec 5 2015,20:00,Gazélec Ajaccio,1-1,?,Nantes
17,Sat Dec 5 2015,20:00,Toulouse,2-3,?,Lorient
17,Sat Dec 5 2015,20:00,Reims,1-1,?,Troyes
17,Sat Dec 5 2015,20:00,Bastia,1-2,?,Monaco
17,Sat Dec 5 2015,20:00,Caen,1-2,?,Lille
17,Sun Dec 6 2015,14:00,Marseille,2-2,?,Montpellier
17,Sun Dec 6 2015,17:00,Bordeaux,1-0,?,Guingamp
17,Sun Dec 6 2015,21:00,Saint-Étienne,1-1,?,Rennes
18,Fri Dec 11 2015,20:30,Rennes,1-1,?,Caen
18,Sat Dec 12 2015,16:00,Reims,1-1,?,Nice
18,Sat Dec 12 2015,20:00,Lille,3-0,?,Lorient
18,Sat Dec 12 2015,20:00,Troyes,1-1,?,Bastia
18,Sat Dec 12 2015,20:00,Nantes,1-1,?,Toulouse
18,Sat Dec 12 2015,20:00,Montpellier,2-1,?,Guingamp
18,Sun Dec 13 2015,14:00,Monaco,1-0,?,Saint-Étienne
18,Sun Dec 13 2015,17:00,Marseille,1-1,?,Gazélec Ajaccio
18,Sun Dec 13 2015,17:00,Angers,1-1,?,Bordeaux
18,Sun Dec 13 2015,21:00,Paris S-G,5-1,?,Lyon
19,Fri Dec 18 2015,20:30,Nice,1-0,?,Montpellier
