Round,Date,Team 1,FT,HT,Team 2
?,(Sun) 20 Aug 1995 (W33),SL Benfica (1),0-0,?,SC Salgueiros (1)
?,(Sun) 20 Aug 1995 (W33),Boavista FC (1),1-0,?,Os Belenenses (1)
?,(Sun) 20 Aug 1995 (W33),SC Campomaiorense (1),0-1,?,Vitória de Guimarães (1)
?,(Sun) 20 Aug 1995 (W33),SC Farense (1),2-1,?,FC Tirsense (1)
?,(Sun) 20 Aug 1995 (W33),FC Felgueiras (1),2-2,?,Desportivo de Chaves (1)
?,(Sun) 20 Aug 1995 (W33),Leça FC (1),0-2,?,Gil Vicente FC (1)
?,(Sun) 20 Aug 1995 (W33),União de Leiria (1),0-4,?,CS Marítimo (1)
?,(Sun) 20 Aug 1995 (W33),FC Porto (1),2-1,?,Sporting CP (1)
?,(Sun) 20 Aug 1995 (W33),SC Braga (1),2-1,?,CF Estrela da Amadora (1)
?,(Sun) 27 Aug 1995 (W34),Os Belenenses (2),1-1,?,SC Braga (2)
?,(Sun) 27 Aug 1995 (W34),Desportivo de Chaves (2),2-2,?,Leça FC (2)
?,(Sun) 27 Aug 1995 (W34),CF Estrela da Amadora (2),2-0,?,SC Campomaiorense (2)
?,(Sun) 27 Aug 1995 (W34),Gil Vicente FC (2),0-1,?,FC Porto (2)
?,(Sun) 27 Aug 1995 (W34),Vitória de Guimarães (2),1-0,?,SC Farense (2)
?,(Sun) 27 Aug 1995 (W34),CS Marítimo (2),0-2,?,FC Felgueiras (2)
?,(Sun) 27 Aug 1995 (W34),SC Salgueiros (2),4-0,?,União de Leiria (2)
?,(Sun) 27 Aug 1995 (W34),Sporting CP (2),0-0,?,Boavista FC (2)
?,(Sun) 27 Aug 1995 (W34),FC Tirsense (2),0-1,?,SL Benfica (2)
?,(Sun) 3 Sep 1995 (W35),SL Benfica (3),1-1,?,Vitória de Guimarães (3)
?,(Sun) 3 Sep 1995 (W35),Boavista FC (3),3-0,?,Gil Vicente FC (3)
?,(Sun) 3 Sep 1995 (W35),SC Campomaiorense (3),2-3,?,Os Belenenses (3)
?,(Sun) 3 Sep 1995 (W35),SC Farense (3),1-0,?,CF Estrela da Amadora (3)
?,(Sun) 3 Sep 1995 (W35),FC Felgueiras (3),1-2,?,Leça FC (3)
?,(Sun) 3 Sep 1995 (W35),União de Leiria (3),5-1,?,FC Tirsense (3)
?,(Sun) 3 Sep 1995 (W35),CS Marítimo (3),3-1,?,SC Salgueiros (3)
?,(Sun) 3 Sep 1995 (W35),FC Porto (3),2-0,?,Desportivo de Chaves (3)
?,(Sun) 3 Sep 1995 (W35),SC Braga (3),1-3,?,Sporting CP (3)
?,(Sun) 10 Sep 1995 (W36),Os Belenenses (4),2-1,?,SC Farense (4)
?,(Sun) 10 Sep 1995 (W36),Desportivo de Chaves (4),2-3,?,Boavista FC (4)
?,(Sun) 10 Sep 1995 (W36),CF Estrela da Amadora (4),0-1,?,SL Benfica (4)
?,(Sun) 10 Sep 1995 (W36),Gil Vicente FC (4),1-2,?,SC Braga (4)
?,(Sun) 10 Sep 1995 (W36),Vitória de Guimarães (4),3-0,?,União de Leiria (4)
?,(Sun) 10 Sep 1995 (W36),SC Salgueiros (4),0-0,?,FC Felgueiras (4)
?,(Sun) 10 Sep 1995 (W36),FC Tirsense (4),2-1,?,CS Marítimo (4)
?,(Mon) 18 Sep 1995 (W38),Leça FC (4),0-2,?,FC Porto (4)
?,(Mon) 18 Sep 1995 (W38),Sporting CP (4),7-1,?,SC Campomaiorense (4)
?,(Sat) 23 Sep 1995 (W38),SL Benfica (5),1-0,?,Os Belenenses (5)
?,(Sat) 23 Sep 1995 (W38),Boavista FC (5),2-0,?,Leça FC (5)
?,(Sat) 23 Sep 1995 (W38),SC Campomaiorense (5),2-0,?,Gil Vicente FC (5)
?,(Sat) 23 Sep 1995 (W38),SC Farense (5),0-1,?,Sporting CP (5)
?,(Sat) 23 Sep 1995 (W38),FC Felgueiras (5),1-1,?,FC Porto (5)
?,(Sat) 23 Sep 1995 (W38),União de Leiria (5),2-1,?,CF Estrela da Amadora (5)
?,(Sat) 23 Sep 1995 (W38),CS Marítimo (5),4-0,?,Vitória de Guimarães (5)
?,(Sat) 23 Sep 1995 (W38),SC Salgueiros (5),1-1,?,FC Tirsense (5)
?,(Sat) 23 Sep 1995 (W38),SC Braga (5),1-0,?,Desportivo de Chaves (5)
?,(Sun) 1 Oct 1995 (W39),Os Belenenses (6),3-1,?,União de Leiria (6)
?,(Sun) 1 Oct 1995 (W39),Desportivo de Chaves (6),4-1,?,SC Campomaiorense (6)
?,(Sun) 1 Oct 1995 (W39),CF Estrela da Amadora (6),1-1,?,CS Marítimo (6)
?,(Sun) 1 Oct 1995 (W39),Gil Vicente FC (6),2-2,?,SC Farense (6)
?,(Sun) 1 Oct 1995 (W39),Vitória de Guimarães (6),1-2,?,SC Salgueiros (6)
?,(Sun) 1 Oct 1995 (W39),Leça FC (6),0-1,?,SC Braga (6)
?,(Sun) 1 Oct 1995 (W39),Sporting CP (6),2-0,?,SL Benfica (6)
?,(Sun) 1 Oct 1995 (W39),FC Tirsense (6),0-0,?,FC Felgueiras (6)
?,(Mon) 2 Oct 1995 (W40),FC Porto (6),1-0,?,Boavista FC (6)
?,(Sun) 15 Oct 1995 (W41),SL Benfica (7),3-0,?,Gil Vicente FC (7)
?,(Sun) 15 Oct 1995 (W41),SC Campomaiorense (7),1-1,?,Leça FC (7)
?,(Sun) 15 Oct 1995 (W41),SC Farense (7),0-0,?,Desportivo de Chaves (7)
?,(Sun) 15 Oct 1995 (W41),FC Felgueiras (7),2-0,?,Boavista FC (7)
?,(Sun) 15 Oct 1995 (W41),União de Leiria (7),1-2,?,Sporting CP (7)
