Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 21 Aug 1998 (W34),SL Benfica (1),2-0,1-0,CF Estrela da Amadora (1)
?,(Fri) 21 Aug 1998 (W34),SC Braga (1),2-1,2-0,SC Beira-Mar (1)
?,(Sat) 22 Aug 1998 (W34),FC Porto (1),4-0,2-0,Rio Ave FC (1)
?,(Sun) 23 Aug 1998 (W34),Boavista FC (1),2-0,1-0,Vitória de Guimarães (1)
?,(Sun) 23 Aug 1998 (W34),SC Campomaiorense (1),2-2,1-1,FC Alverca (1)
?,(Sun) 23 Aug 1998 (W34),GD Chaves (1),1-0,0-0,Académica de Coimbra (1)
?,(Sun) 23 Aug 1998 (W34),União de Leiria (1),1-0,0-0,CS Marítimo (1)
?,(Sun) 23 Aug 1998 (W34),SC Salgueiros (1),4-2,3-0,SC Farense (1)
?,(Mon) 24 Aug 1998 (W35),Vitória de Setúbal (1),1-1,1-0,Sporting CP (1)
?,(Fri) 28 Aug 1998 (W35),Sporting CP (2),2-1,1-0,GD Chaves (2)
?,(Sat) 29 Aug 1998 (W35),SC Beira-Mar (2),2-1,1-1,FC Porto (2)
?,(Sun) 30 Aug 1998 (W35),Académica de Coimbra (2),1-5,0-2,SC Campomaiorense (2)
?,(Sun) 30 Aug 1998 (W35),FC Alverca (2),0-0,0-0,Boavista FC (2)
?,(Sun) 30 Aug 1998 (W35),CF Estrela da Amadora (2),5-0,3-0,Vitória de Setúbal (2)
?,(Sun) 30 Aug 1998 (W35),SC Farense (2),0-2,0-1,SC Braga (2)
?,(Sun) 30 Aug 1998 (W35),Vitória de Guimarães (2),0-0,0-0,União de Leiria (2)
?,(Sun) 30 Aug 1998 (W35),CS Marítimo (2),2-2,0-1,SC Salgueiros (2)
?,(Sun) 30 Aug 1998 (W35),Rio Ave FC (2),0-2,0-0,SL Benfica (2)
?,(Fri) 11 Sep 1998 (W37),Académica de Coimbra (3),2-2,2-1,Sporting CP (3)
?,(Sat) 12 Sep 1998 (W37),SL Benfica (3),3-0,2-0,SC Beira-Mar (3)
?,(Sat) 12 Sep 1998 (W37),FC Porto (3),2-0,1-0,SC Farense (3)
?,(Sat) 12 Sep 1998 (W37),SC Salgueiros (3),3-2,0-0,Vitória de Guimarães (3)
?,(Sat) 12 Sep 1998 (W37),SC Braga (3),1-1,1-0,CS Marítimo (3)
?,(Sun) 13 Sep 1998 (W37),SC Campomaiorense (3),1-1,1-1,Boavista FC (3)
?,(Sun) 13 Sep 1998 (W37),GD Chaves (3),4-1,2-1,CF Estrela da Amadora (3)
?,(Sun) 13 Sep 1998 (W37),União de Leiria (3),1-0,1-0,FC Alverca (3)
?,(Sun) 13 Sep 1998 (W37),Vitória de Setúbal (3),1-2,0-0,Rio Ave FC (3)
?,(Sat) 19 Sep 1998 (W38),Boavista FC (4),1-0,1-0,União de Leiria (4)
