Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Fri Aug 9 2013,?,Bayern Munich,3-1,?,M'gladbach
1,Sat Aug 10 2013,?,Hoffenheim,2-2,?,Nürnberg
1,Sat Aug 10 2013,?,Leverkusen,3-1,?,Freiburg
1,Sat Aug 10 2013,?,Augsburg,0-4,?,Dortmund
1,Sat Aug 10 2013,?,Braunschweig,0-1,?,Werder Bremen
1,Sat Aug 10 2013,?,Hertha BSC,6-1,?,Eint Frankfurt
1,Sat Aug 10 2013,?,Hannover 96,2-0,?,Wolfsburg
1,Sun Aug 11 2013,?,Mainz 05,3-2,?,Stuttgart
1,Sun Aug 11 2013,?,Schalke 04,3-3,?,Hamburger SV
2,Sat Aug 17 2013,?,Stuttgart,0-1,?,Leverkusen
2,Sat Aug 17 2013,?,Eint Frankfurt,0-1,?,Bayern Munich
2,Sat Aug 17 2013,?,Wolfsburg,4-0,?,Schalke 04
2,Sat Aug 17 2013,?,Werder Bremen,1-0,?,Augsburg
2,Sat Aug 17 2013,?,M'gladbach,3-0,?,Hannover 96
2,Sat Aug 17 2013,?,Hamburger SV,1-5,?,Hoffenheim
2,Sat Aug 17 2013,?,Freiburg,1-2,?,Mainz 05
2,Sun Aug 18 2013,?,Dortmund,2-1,?,Braunschweig
2,Sun Aug 18 2013,?,Nürnberg,2-2,?,Hertha BSC
3,Fri Aug 23 2013,?,Dortmund,1-0,?,Werder Bremen
3,Sat Aug 24 2013,?,Leverkusen,4-2,?,M'gladbach
3,Sat Aug 24 2013,?,Hoffenheim,3-3,?,Freiburg
3,Sat Aug 24 2013,?,Bayern Munich,2-0,?,Nürnberg
3,Sat Aug 24 2013,?,Mainz 05,2-0,?,Wolfsburg
3,Sat Aug 24 2013,?,Hertha BSC,1-0,?,Hamburger SV
3,Sat Aug 24 2013,?,Hannover 96,2-1,?,Schalke 04
3,Sun Aug 25 2013,?,Braunschweig,0-2,?,Eint Frankfurt
3,Sun Aug 25 2013,?,Augsburg,2-1,?,Stuttgart
4,Tue Aug 27 2013,?,Freiburg,1-1,?,Bayern Munich
4,Sat Aug 31 2013,?,Schalke 04,2-0,?,Leverkusen
4,Sat Aug 31 2013,?,Nürnberg,0-1,?,Augsburg
4,Sat Aug 31 2013,?,Hannover 96,4-1,?,Mainz 05
4,Sat Aug 31 2013,?,Hamburger SV,4-0,?,Braunschweig
4,Sat Aug 31 2013,?,Wolfsburg,2-0,?,Hertha BSC
4,Sat Aug 31 2013,?,M'gladbach,4-1,?,Werder Bremen
4,Sun Sep 1 2013,?,Eint Frankfurt,1-2,?,Dortmund
4,Sun Sep 1 2013,?,Stuttgart,6-2,?,Hoffenheim
5,Fri Sep 13 2013,?,Hertha BSC,0-1,?,Stuttgart
5,Sat Sep 14 2013,?,Leverkusen,3-1,?,Wolfsburg
5,Sat Sep 14 2013,?,Mainz 05,0-1,?,Schalke 04
5,Sat Sep 14 2013,?,Bayern Munich,2-0,?,Hannover 96
5,Sat Sep 14 2013,?,Augsburg,2-1,?,Freiburg
5,Sat Sep 14 2013,?,Werder Bremen,0-3,?,Eint Frankfurt
5,Sat Sep 14 2013,?,Dortmund,6-2,?,Hamburger SV
5,Sun Sep 15 2013,?,Hoffenheim,2-1,?,M'gladbach
5,Sun Sep 15 2013,?,Braunschweig,1-1,?,Nürnberg
6,Fri Sep 20 2013,?,M'gladbach,4-1,?,Braunschweig
6,Sat Sep 21 2013,?,Schalke 04,0-4,?,Bayern Munich
6,Sat Sep 21 2013,?,Hannover 96,2-1,?,Augsburg
6,Sat Sep 21 2013,?,Mainz 05,1-4,?,Leverkusen
6,Sat Sep 21 2013,?,Nürnberg,1-1,?,Dortmund
6,Sat Sep 21 2013,?,Wolfsburg,2-1,?,Hoffenheim
6,Sat Sep 21 2013,?,Hamburger SV,0-2,?,Werder Bremen
6,Sun Sep 22 2013,?,Stuttgart,1-1,?,Eint Frankfurt
6,Sun Sep 22 2013,?,Freiburg,1-1,?,Hertha BSC
7,Fri Sep 27 2013,?,Augsburg,2-2,?,M'gladbach
7,Sat Sep 28 2013,?,Hertha BSC,3-1,?,Mainz 05
7,Sat Sep 28 2013,?,Dortmund,5-0,?,Freiburg
7,Sat Sep 28 2013,?,Leverkusen,2-0,?,Hannover 96
7,Sat Sep 28 2013,?,Eint Frankfurt,2-2,?,Hamburger SV
7,Sat Sep 28 2013,?,Hoffenheim,3-3,?,Schalke 04
7,Sat Sep 28 2013,?,Bayern Munich,1-0,?,Wolfsburg
7,Sun Sep 29 2013,?,Braunschweig,0-4,?,Stuttgart
7,Sun Sep 29 2013,?,Werder Bremen,3-3,?,Nürnberg
8,Fri Oct 4 2013,?,Hannover 96,1-1,?,Hertha BSC
8,Sat Oct 5 2013,?,Schalke 04,4-1,?,Augsburg
8,Sat Oct 5 2013,?,Stuttgart,1-1,?,Werder Bremen
8,Sat Oct 5 2013,?,Wolfsburg,0-2,?,Braunschweig
8,Sat Oct 5 2013,?,M'gladbach,2-0,?,Dortmund
8,Sat Oct 5 2013,?,Leverkusen,1-1,?,Bayern Munich
8,Sat Oct 5 2013,?,Mainz 05,2-2,?,Hoffenheim
8,Sun Oct 6 2013,?,Freiburg,1-1,?,Eint Frankfurt
8,Sun Oct 6 2013,?,Nürnberg,0-5,?,Hamburger SV
9,Fri Oct 18 2013,?,Hoffenheim,1-2,?,Leverkusen
9,Sat Oct 19 2013,?,Bayern Munich,4-1,?,Mainz 05
9,Sat Oct 19 2013,?,Eint Frankfurt,1-1,?,Nürnberg
9,Sat Oct 19 2013,?,Hertha BSC,1-0,?,M'gladbach
9,Sat Oct 19 2013,?,Dortmund,1-0,?,Hannover 96
9,Sat Oct 19 2013,?,Werder Bremen,0-0,?,Freiburg
9,Sat Oct 19 2013,?,Braunschweig,2-3,?,Schalke 04
9,Sun Oct 20 2013,?,Augsburg,1-2,?,Wolfsburg
9,Sun Oct 20 2013,?,Hamburger SV,3-3,?,Stuttgart
10,Fri Oct 25 2013,?,Stuttgart,1-1,?,Nürnberg
10,Sat Oct 26 2013,?,Mainz 05,2-0,?,Braunschweig
10,Sat Oct 26 2013,?,Leverkusen,2-1,?,Augsburg
10,Sat Oct 26 2013,?,Bayern Munich,3-2,?,Hertha BSC
10,Sat Oct 26 2013,?,Wolfsburg,3-0,?,Werder Bremen
10,Sat Oct 26 2013,?,Schalke 04,1-3,?,Dortmund
10,Sat Oct 26 2013,?,Hannover 96,1-4,?,Hoffenheim
