Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Sat Aug 24 2013,?,Sampdoria,0-1,?,Juventus
1,Sat Aug 24 2013,?,Hellas Verona,2-1,?,Milan
1,Sun Aug 25 2013,?,Napoli,3-0,?,Bologna
1,Sun Aug 25 2013,?,Parma,0-0,?,Chievo
1,Sun Aug 25 2013,?,Cagliari,2-1,?,Atalanta
1,Sun Aug 25 2013,?,Inter,2-0,?,Genoa
1,Sun Aug 25 2013,?,Torino,2-0,?,Sassuolo
1,Sun Aug 25 2013,?,Livorno,0-2,?,Roma
1,Sun Aug 25 2013,?,Lazio,2-1,?,Udinese
1,Mon Aug 26 2013,?,Fiorentina,2-1,?,Catania
2,Sat Aug 31 2013,?,Juventus,4-1,?,Lazio
2,Sat Aug 31 2013,?,Chievo,2-4,?,Napoli
2,Sun Sep 1 2013,?,Atalanta,2-0,?,Torino
2,Sun Sep 1 2013,?,Milan,3-1,?,Cagliari
2,Sun Sep 1 2013,?,Sassuolo,1-4,?,Livorno
2,Sun Sep 1 2013,?,Catania,0-3,?,Inter
2,Sun Sep 1 2013,?,Roma,3-0,?,Hellas Verona
2,Sun Sep 1 2013,?,Bologna,2-2,?,Sampdoria
2,Sun Sep 1 2013,?,Genoa,2-5,?,Fiorentina
2,Sun Sep 1 2013,?,Udinese,3-1,?,Parma
3,Sat Sep 14 2013,?,Torino,2-2,?,Milan
3,Sat Sep 14 2013,?,Inter,1-1,?,Juventus
3,Sat Sep 14 2013,?,Napoli,2-0,?,Atalanta
3,Sun Sep 15 2013,?,Lazio,3-0,?,Chievo
3,Sun Sep 15 2013,?,Livorno,2-0,?,Catania
3,Sun Sep 15 2013,?,Hellas Verona,2-0,?,Sassuolo
3,Sun Sep 15 2013,?,Sampdoria,0-3,?,Genoa
3,Sun Sep 15 2013,?,Udinese,1-1,?,Bologna
3,Sun Sep 15 2013,?,Fiorentina,1-1,?,Cagliari
3,Mon Sep 16 2013,?,Parma,1-3,?,Roma
4,Sat Sep 21 2013,?,Genoa,0-0,?,Livorno
4,Sat Sep 21 2013,?,Cagliari,2-2,?,Sampdoria
4,Sat Sep 21 2013,?,Chievo,2-1,?,Udinese
4,Sun Sep 22 2013,?,Catania,0-0,?,Parma
4,Sun Sep 22 2013,?,Bologna,1-2,?,Torino
4,Sun Sep 22 2013,?,Milan,1-2,?,Napoli
4,Sun Sep 22 2013,?,Roma,2-0,?,Lazio
4,Sun Sep 22 2013,?,Atalanta,0-2,?,Fiorentina
4,Sun Sep 22 2013,?,Sassuolo,0-7,?,Inter
4,Sun Sep 22 2013,?,Juventus,2-1,?,Hellas Verona
5,Tue Sep 24 2013,?,Udinese,1-0,?,Genoa
5,Wed Sep 25 2013,?,Bologna,3-3,?,Milan
5,Wed Sep 25 2013,?,Sampdoria,0-2,?,Roma
5,Wed Sep 25 2013,?,Livorno,1-1,?,Cagliari
5,Wed Sep 25 2013,?,Parma,4-3,?,Atalanta
5,Wed Sep 25 2013,?,Napoli,1-1,?,Sassuolo
5,Wed Sep 25 2013,?,Lazio,3-1,?,Catania
5,Wed Sep 25 2013,?,Chievo,1-2,?,Juventus
5,Wed Sep 25 2013,?,Torino,2-2,?,Hellas Verona
5,Thu Sep 26 2013,?,Inter,2-1,?,Fiorentina
6,Sat Sep 28 2013,?,Genoa,0-2,?,Napoli
6,Sat Sep 28 2013,?,Milan,1-0,?,Sampdoria
6,Sun Sep 29 2013,?,Catania,2-0,?,Chievo
6,Sun Sep 29 2013,?,Roma,5-0,?,Bologna
6,Sun Sep 29 2013,?,Torino,0-1,?,Juventus
6,Sun Sep 29 2013,?,Sassuolo,2-2,?,Lazio
6,Sun Sep 29 2013,?,Hellas Verona,2-1,?,Livorno
6,Sun Sep 29 2013,?,Atalanta,2-0,?,Udinese
6,Sun Sep 29 2013,?,Cagliari,1-1,?,Inter
6,Mon Sep 30 2013,?,Fiorentina,2-2,?,Parma
7,Sat Oct 5 2013,?,Chievo,0-1,?,Atalanta
7,Sat Oct 5 2013,?,Inter,0-3,?,Roma
7,Sun Oct 6 2013,?,Lazio,0-0,?,Fiorentina
7,Sun Oct 6 2013,?,Napoli,4-0,?,Livorno
7,Sun Oct 6 2013,?,Udinese,2-0,?,Cagliari
7,Sun Oct 6 2013,?,Juventus,3-2,?,Milan
7,Sun Oct 6 2013,?,Catania,1-1,?,Genoa
7,Sun Oct 6 2013,?,Bologna,1-4,?,Hellas Verona
7,Sun Oct 6 2013,?,Sampdoria,2-2,?,Torino
7,Sun Oct 6 2013,?,Parma,3-1,?,Sassuolo
8,Fri Oct 18 2013,?,Roma,2-0,?,Napoli
8,Sat Oct 19 2013,?,Cagliari,2-1,?,Catania
8,Sat Oct 19 2013,?,Milan,1-0,?,Udinese
8,Sun Oct 20 2013,?,Genoa,2-1,?,Chievo
8,Sun Oct 20 2013,?,Livorno,1-2,?,Sampdoria
8,Sun Oct 20 2013,?,Sassuolo,2-1,?,Bologna
8,Sun Oct 20 2013,?,Torino,3-3,?,Inter
8,Sun Oct 20 2013,?,Atalanta,2-1,?,Lazio
8,Sun Oct 20 2013,?,Hellas Verona,3-2,?,Parma
8,Sun Oct 20 2013,?,Fiorentina,4-2,?,Juventus
9,Sat Oct 26 2013,?,Sampdoria,1-0,?,Atalanta
9,Sat Oct 26 2013,?,Inter,4-2,?,Hellas Verona
9,Sun Oct 27 2013,?,Lazio,2-0,?,Cagliari
9,Sun Oct 27 2013,?,Catania,0-0,?,Sassuolo
9,Sun Oct 27 2013,?,Bologna,1-0,?,Livorno
9,Sun Oct 27 2013,?,Juventus,2-0,?,Genoa
9,Sun Oct 27 2013,?,Parma,3-2,?,Milan
9,Sun Oct 27 2013,?,Napoli,2-0,?,Torino
9,Sun Oct 27 2013,?,Chievo,1-2,?,Fiorentina
9,Sun Oct 27 2013,?,Udinese,0-1,?,Roma
10,Tue Oct 29 2013,?,Atalanta,1-1,?,Inter
10,Wed Oct 30 2013,?,Hellas Verona,2-0,?,Sampdoria
10,Wed Oct 30 2013,?,Genoa,1-0,?,Parma
10,Wed Oct 30 2013,?,Fiorentina,1-2,?,Napoli
10,Wed Oct 30 2013,?,Cagliari,0-3,?,Bologna
10,Wed Oct 30 2013,?,Juventus,4-0,?,Catania
10,Wed Oct 30 2013,?,Milan,1-1,?,Lazio
10,Wed Oct 30 2013,?,Sassuolo,1-2,?,Udinese
10,Wed Oct 30 2013,?,Livorno,3-3,?,Torino
10,Thu Oct 31 2013,?,Roma,1-0,?,Chievo
11,Sat Nov 2 2013,?,Napoli,2-1,?,Catania
11,Sat Nov 2 2013,?,Parma,0-1,?,Juventus
11,Sat Nov 2 2013,?,Milan,0-2,?,Fiorentina
11,Sun Nov 3 2013,?,Hellas Verona,2-1,?,Cagliari
11,Sun Nov 3 2013,?,Livorno,1-0,?,Atalanta
11,Sun Nov 3 2013,?,Torino,1-1,?,Roma
11,Sun Nov 3 2013,?,Udinese,0-3,?,Inter
11,Sun Nov 3 2013,?,Lazio,0-2,?,Genoa
11,Sun Nov 3 2013,?,Sampdoria,3-4,?,Sassuolo
11,Mon Nov 4 2013,?,Bologna,0-0,?,Chievo
12,Sat Nov 9 2013,?,Inter,2-0,?,Livorno
12,Sat Nov 9 2013,?,Catania,1-0,?,Udinese
12,Sun Nov 10 2013,?,Genoa,2-0,?,Hellas Verona
12,Sun Nov 10 2013,?,Chievo,0-0,?,Milan
12,Sun Nov 10 2013,?,Cagliari,2-1,?,Torino
12,Sun Nov 10 2013,?,Parma,1-1,?,Lazio
12,Sun Nov 10 2013,?,Roma,1-1,?,Sassuolo
12,Sun Nov 10 2013,?,Fiorentina,2-1,?,Sampdoria
12,Sun Nov 10 2013,?,Atalanta,2-1,?,Bologna
12,Sun Nov 10 2013,?,Juventus,3-0,?,Napoli
13,Sat Nov 23 2013,?,Napoli,0-1,?,Parma
13,Sat Nov 23 2013,?,Hellas Verona,0-1,?,Chievo
13,Sat Nov 23 2013,?,Milan,1-1,?,Genoa
13,Sun Nov 24 2013,?,Udinese,1-0,?,Fiorentina
13,Sun Nov 24 2013,?,Livorno,0-2,?,Juventus
13,Sun Nov 24 2013,?,Sampdoria,1-1,?,Lazio
13,Sun Nov 24 2013,?,Bologna,1-1,?,Inter
13,Sun Nov 24 2013,?,Torino,4-1,?,Catania
13,Sun Nov 24 2013,?,Sassuolo,2-0,?,Atalanta
13,Mon Nov 25 2013,?,Roma,0-0,?,Cagliari
14,Sat Nov 30 2013,?,Genoa,1-1,?,Torino
14,Sat Nov 30 2013,?,Parma,1-1,?,Bologna
14,Sun Dec 1 2013,?,Atalanta,1-1,?,Roma
14,Sun Dec 1 2013,?,Inter,1-1,?,Sampdoria
14,Sun Dec 1 2013,?,Catania,1-3,?,Milan
14,Sun Dec 1 2013,?,Juventus,1-0,?,Udinese
14,Sun Dec 1 2013,?,Chievo,3-0,?,Livorno
14,Sun Dec 1 2013,?,Cagliari,2-2,?,Sassuolo
14,Mon Dec 2 2013,?,Lazio,2-4,?,Napoli
14,Mon Dec 2 2013,?,Fiorentina,4-3,?,Hellas Verona
15,Fri Dec 6 2013,?,Bologna,0-2,?,Juventus
15,Sat Dec 7 2013,?,Livorno,2-2,?,Milan
15,Sat Dec 7 2013,?,Napoli,3-3,?,Udinese
15,Sun Dec 8 2013,?,Torino,1-0,?,Lazio
15,Sun Dec 8 2013,?,Hellas Verona,2-1,?,Atalanta
15,Sun Dec 8 2013,?,Roma,2-1,?,Fiorentina
15,Sun Dec 8 2013,?,Sassuolo,0-1,?,Chievo
15,Sun Dec 8 2013,?,Sampdoria,2-0,?,Catania
15,Sun Dec 8 2013,?,Cagliari,2-1,?,Genoa
15,Sun Dec 8 2013,?,Inter,3-3,?,Parma
16,Sat Dec 14 2013,?,Catania,0-0,?,Hellas Verona
16,Sun Dec 15 2013,?,Genoa,1-1,?,Atalanta
16,Sun Dec 15 2013,?,Napoli,4-2,?,Inter
16,Sun Dec 15 2013,?,Fiorentina,3-0,?,Bologna
16,Sun Dec 15 2013,?,Juventus,4-0,?,Sassuolo
16,Sun Dec 15 2013,?,Parma,0-0,?,Cagliari
16,Sun Dec 15 2013,?,Chievo,0-1,?,Sampdoria
16,Sun Dec 15 2013,?,Udinese,0-2,?,Torino
16,Sun Dec 15 2013,?,Lazio,2-0,?,Livorno
16,Mon Dec 16 2013,?,Milan,2-2,?,Roma
17,Sat Dec 21 2013,?,Cagliari,1-1,?,Napoli
17,Sat Dec 21 2013,?,Livorno,1-2,?,Udinese
17,Sun Dec 22 2013,?,Inter,1-0,?,Milan
17,Sun Dec 22 2013,?,Sampdoria,1-1,?,Parma
17,Sun Dec 22 2013,?,Roma,4-0,?,Catania
17,Sun Dec 22 2013,?,Torino,4-1,?,Chievo
17,Sun Dec 22 2013,?,Bologna,1-0,?,Genoa
17,Sun Dec 22 2013,?,Atalanta,1-4,?,Juventus
17,Sun Dec 22 2013,?,Sassuolo,0-1,?,Fiorentina
17,Sun Dec 22 2013,?,Hellas Verona,4-1,?,Lazio
18,Sun Jan 5 2014,?,Chievo,0-0,?,Cagliari
18,Sun Jan 5 2014,?,Fiorentina,1-0,?,Livorno
18,Sun Jan 5 2014,?,Juventus,3-0,?,Roma
18,Mon Jan 6 2014,?,Udinese,1-3,?,Hellas Verona
18,Mon Jan 6 2014,?,Milan,3-0,?,Atalanta
18,Mon Jan 6 2014,?,Genoa,2-0,?,Sassuolo
18,Mon Jan 6 2014,?,Napoli,2-0,?,Sampdoria
18,Mon Jan 6 2014,?,Catania,2-0,?,Bologna
18,Mon Jan 6 2014,?,Parma,3-1,?,Torino
18,Mon Jan 6 2014,?,Lazio,1-0,?,Inter
19,Sat Jan 11 2014,?,Bologna,0-0,?,Lazio
19,Sat Jan 11 2014,?,Livorno,0-3,?,Parma
19,Sun Jan 12 2014,?,Torino,0-0,?,Fiorentina
19,Sun Jan 12 2014,?,Sassuolo,4-3,?,Milan
19,Sun Jan 12 2014,?,Hellas Verona,0-3,?,Napoli
19,Sun Jan 12 2014,?,Atalanta,2-1,?,Catania
19,Sun Jan 12 2014,?,Cagliari,1-4,?,Juventus
19,Sun Jan 12 2014,?,Roma,4-0,?,Genoa
19,Mon Jan 13 2014,?,Sampdoria,3-0,?,Udinese
19,Mon Jan 13 2014,?,Inter,1-1,?,Chievo
20,Sat Jan 18 2014,?,Roma,3-0,?,Livorno
20,Sat Jan 18 2014,?,Juventus,4-2,?,Sampdoria
20,Sun Jan 19 2014,?,Genoa,1-0,?,Inter
20,Sun Jan 19 2014,?,Catania,0-3,?,Fiorentina
20,Sun Jan 19 2014,?,Chievo,1-2,?,Parma
20,Sun Jan 19 2014,?,Sassuolo,0-2,?,Torino
20,Sun Jan 19 2014,?,Udinese,2-3,?,Lazio
20,Sun Jan 19 2014,?,Atalanta,1-0,?,Cagliari
20,Sun Jan 19 2014,?,Bologna,2-2,?,Napoli
20,Sun Jan 19 2014,?,Milan,1-0,?,Hellas Verona
21,Sat Jan 25 2014,?,Lazio,1-1,?,Juventus
21,Sat Jan 25 2014,?,Napoli,1-1,?,Chievo
21,Sun Jan 26 2014,?,Sampdoria,1-1,?,Bologna
21,Sun Jan 26 2014,?,Livorno,3-1,?,Sassuolo
21,Sun Jan 26 2014,?,Torino,1-0,?,Atalanta
21,Sun Jan 26 2014,?,Inter,0-0,?,Catania
21,Sun Jan 26 2014,?,Parma,1-0,?,Udinese
21,Sun Jan 26 2014,?,Cagliari,1-2,?,Milan
21,Sun Jan 26 2014,?,Hellas Verona,1-3,?,Roma
21,Sun Jan 26 2014,?,Fiorentina,3-3,?,Genoa
22,Sat Feb 1 2014,?,Milan,1-1,?,Torino
22,Sat Feb 1 2014,?,Bologna,0-2,?,Udinese
22,Sat Feb 1 2014,?,Cagliari,1-0,?,Fiorentina
22,Sun Feb 2 2014,?,Sassuolo,1-2,?,Hellas Verona
22,Sun Feb 2 2014,?,Catania,3-3,?,Livorno
22,Sun Feb 2 2014,?,Juventus,3-1,?,Inter
22,Sun Feb 2 2014,?,Chievo,0-2,?,Lazio
22,Sun Feb 2 2014,?,Atalanta,3-0,?,Napoli
22,Mon Feb 3 2014,?,Genoa,0-1,?,Sampdoria
23,Sat Feb 8 2014,?,Udinese,3-0,?,Chievo
23,Sat Feb 8 2014,?,Fiorentina,2-0,?,Atalanta
23,Sat Feb 8 2014,?,Napoli,3-1,?,Milan
23,Sun Feb 9 2014,?,Inter,1-0,?,Sassuolo
23,Sun Feb 9 2014,?,Hellas Verona,2-2,?,Juventus
23,Sun Feb 9 2014,?,Parma,0-0,?,Catania
23,Sun Feb 9 2014,?,Sampdoria,1-0,?,Cagliari
23,Sun Feb 9 2014,?,Lazio,0-0,?,Roma
