Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 10 Aug 2018 (W32),SL Benfica (1),3-2,3-0,Vitória de Guimarães (1)
?,(Sat) 11 Aug 2018 (W32),FC Porto (1),5-0,3-0,GD Chaves (1)
?,(Sat) 11 Aug 2018 (W32),Vitória de Setúbal (1),2-0,1-0,CD Aves (1)
?,(Sat) 11 Aug 2018 (W32),CD Tondela (1),0-1,0-0,Os Belenenses (1)
?,(Sun) 12 Aug 2018 (W32),CD Feirense (1),2-0,2-0,Rio Ave FC (1)
?,(Sun) 12 Aug 2018 (W32),CS Marítimo (1),1-0,0-0,CD Santa Clara (1)
?,(Sun) 12 Aug 2018 (W32),Moreirense FC (1),1-3,1-1,Sporting CP (1)
?,(Sun) 12 Aug 2018 (W32),SC Braga (1),4-2,2-2,CD Nacional Madeira (1)
?,(Mon) 13 Aug 2018 (W33),Portimonense SC (1),0-2,0-0,Boavista FC (1)
?,(Fri) 17 Aug 2018 (W33),CD Aves (2),2-2,1-1,CD Tondela (2)
?,(Sat) 18 Aug 2018 (W33),Boavista FC (2),0-2,0-1,SL Benfica (2)
?,(Sat) 18 Aug 2018 (W33),GD Chaves (2),2-0,2-0,Portimonense SC (2)
?,(Sat) 18 Aug 2018 (W33),Sporting CP (2),2-1,1-1,Vitória de Setúbal (2)
?,(Sun) 19 Aug 2018 (W33),Os Belenenses (2),2-3,0-1,FC Porto (2)
?,(Sun) 19 Aug 2018 (W33),CD Nacional Madeira (2),1-2,0-1,Moreirense FC (2)
?,(Sun) 19 Aug 2018 (W33),Rio Ave FC (2),3-1,2-0,CS Marítimo (2)
?,(Sun) 19 Aug 2018 (W33),CD Santa Clara (2),3-3,0-3,SC Braga (2)
?,(Mon) 20 Aug 2018 (W34),Vitória de Guimarães (2),0-1,0-0,CD Feirense (2)
?,(Fri) 24 Aug 2018 (W34),CS Marítimo (3),2-1,0-1,GD Chaves (3)
?,(Sat) 25 Aug 2018 (W34),SL Benfica (3),1-1,0-0,Sporting CP (3)
?,(Sat) 25 Aug 2018 (W34),Portimonense SC (3),2-2,0-1,CD Santa Clara (3)
?,(Sat) 25 Aug 2018 (W34),FC Porto (3),2-3,2-0,Vitória de Guimarães (3)
?,(Sun) 26 Aug 2018 (W34),CD Feirense (3),1-1,0-1,Boavista FC (3)
?,(Sun) 26 Aug 2018 (W34),Vitória de Setúbal (3),1-2,0-1,CD Nacional Madeira (3)
?,(Sun) 26 Aug 2018 (W34),SC Braga (3),3-1,0-0,CD Aves (3)
?,(Sun) 26 Aug 2018 (W34),CD Tondela (3),1-1,0-1,Rio Ave FC (3)
?,(Mon) 27 Aug 2018 (W35),Moreirense FC (3),1-1,0-0,Os Belenenses (3)
?,(Fri) 31 Aug 2018 (W35),GD Chaves (4),0-1,0-1,SC Braga (4)
?,(Fri) 31 Aug 2018 (W35),Vitória de Guimarães (4),1-0,1-0,CD Tondela (4)
?,(Sat) 1 Sep 2018 (W35),Os Belenenses (4),0-0,0-0,Vitória de Setúbal (4)
?,(Sat) 1 Sep 2018 (W35),CD Santa Clara (4),4-2,1-1,Boavista FC (4)
?,(Sat) 1 Sep 2018 (W35),Sporting CP (4),1-0,0-0,CD Feirense (4)
?,(Sun) 2 Sep 2018 (W35),CD Aves (4),0-1,0-1,CS Marítimo (4)
?,(Sun) 2 Sep 2018 (W35),CD Nacional Madeira (4),0-4,0-2,SL Benfica (4)
?,(Sun) 2 Sep 2018 (W35),FC Porto (4),3-0,2-0,Moreirense FC (4)
?,(Sun) 2 Sep 2018 (W35),Rio Ave FC (4),2-1,0-1,Portimonense SC (4)
?,(Fri) 21 Sep 2018 (W38),Boavista FC (5),1-2,0-1,GD Chaves (5)
?,(Sat) 22 Sep 2018 (W38),CS Marítimo (5),0-0,0-0,Os Belenenses (5)
?,(Sat) 22 Sep 2018 (W38),CD Santa Clara (5),1-3,0-0,Rio Ave FC (5)
?,(Sat) 22 Sep 2018 (W38),Vitória de Setúbal (5),0-2,0-1,FC Porto (5)
?,(Sun) 23 Sep 2018 (W38),SL Benfica (5),2-0,1-0,CD Aves (5)
?,(Sun) 23 Sep 2018 (W38),CD Feirense (5),0-0,0-0,CD Nacional Madeira (5)
?,(Sun) 23 Sep 2018 (W38),Portimonense SC (5),3-2,1-0,Vitória de Guimarães (5)
?,(Sun) 23 Sep 2018 (W38),CD Tondela (5),2-0,1-0,Moreirense FC (5)
?,(Mon) 24 Sep 2018 (W39),SC Braga (5),1-0,0-0,Sporting CP (5)
?,(Thu) 27 Sep 2018 (W39),GD Chaves (6),2-2,0-1,SL Benfica (6)
?,(Fri) 28 Sep 2018 (W39),FC Porto (6),1-0,0-0,CD Tondela (6)
?,(Sat) 29 Sep 2018 (W39),Moreirense FC (6),1-0,0-0,CD Feirense (6)
?,(Sat) 29 Sep 2018 (W39),Rio Ave FC (6),2-1,2-0,Boavista FC (6)
?,(Sat) 29 Sep 2018 (W39),Sporting CP (6),2-0,2-0,CS Marítimo (6)
?,(Sun) 30 Sep 2018 (W39),Os Belenenses (6),0-3,0-2,SC Braga (6)
?,(Sun) 30 Sep 2018 (W39),Vitória de Guimarães (6),1-1,0-0,Vitória de Setúbal (6)
?,(Sun) 30 Sep 2018 (W39),CD Nacional Madeira (6),0-3,0-1,CD Santa Clara (6)
?,(Mon) 1 Oct 2018 (W40),CD Aves (6),3-0,1-0,Portimonense SC (6)
?,(Fri) 5 Oct 2018 (W40),CD Feirense (7),0-0,0-0,Os Belenenses (7)
?,(Fri) 5 Oct 2018 (W40),CD Santa Clara (7),1-0,0-0,GD Chaves (7)
?,(Fri) 5 Oct 2018 (W40),CD Tondela (7),1-1,0-0,CD Nacional Madeira (7)
?,(Sat) 6 Oct 2018 (W40),CS Marítimo (7),1-3,0-1,Vitória de Guimarães (7)
?,(Sat) 6 Oct 2018 (W40),Vitória de Setúbal (7),3-0,1-0,Moreirense FC (7)
?,(Sat) 6 Oct 2018 (W40),SC Braga (7),1-1,1-1,Rio Ave FC (7)
?,(Sun) 7 Oct 2018 (W40),SL Benfica (7),1-0,0-0,FC Porto (7)
?,(Sun) 7 Oct 2018 (W40),Boavista FC (7),1-0,0-0,CD Aves (7)
?,(Sun) 7 Oct 2018 (W40),Portimonense SC (7),4-2,2-0,Sporting CP (7)
?,(Fri) 26 Oct 2018 (W43),Vitória de Guimarães (8),1-1,1-1,SC Braga (8)
?,(Fri) 26 Oct 2018 (W43),CD Nacional Madeira (8),0-1,0-1,Portimonense SC (8)
?,(Sat) 27 Oct 2018 (W43),CD Aves (8),1-2,0-2,CD Santa Clara (8)
?,(Sat) 27 Oct 2018 (W43),Os Belenenses (8),2-0,2-0,SL Benfica (8)
?,(Sat) 27 Oct 2018 (W43),Rio Ave FC (8),1-0,0-0,GD Chaves (8)
?,(Sun) 28 Oct 2018 (W43),Moreirense FC (8),1-0,0-0,CS Marítimo (8)
?,(Sun) 28 Oct 2018 (W43),FC Porto (8),2-0,1-0,CD Feirense (8)
?,(Sun) 28 Oct 2018 (W43),Sporting CP (8),3-0,1-0,Boavista FC (8)
?,(Sun) 28 Oct 2018 (W43),CD Tondela (8),1-2,0-1,Vitória de Setúbal (8)
?,(Fri) 2 Nov 2018 (W44),SL Benfica (9),1-3,1-3,Moreirense FC (9)
?,(Sat) 3 Nov 2018 (W44),Boavista FC (9),0-0,0-0,Vitória de Guimarães (9)
?,(Sat) 3 Nov 2018 (W44),CS Marítimo (9),0-2,0-0,FC Porto (9)
?,(Sat) 3 Nov 2018 (W44),Portimonense SC (9),1-1,0-0,Os Belenenses (9)
?,(Sun) 4 Nov 2018 (W44),CD Feirense (9),2-4,1-1,CD Tondela (9)
?,(Sun) 4 Nov 2018 (W44),CD Santa Clara (9),1-2,1-0,Sporting CP (9)
?,(Sun) 4 Nov 2018 (W44),SC Braga (9),2-1,2-1,Vitória de Setúbal (9)
?,(Mon) 5 Nov 2018 (W45),GD Chaves (9),1-2,0-1,CD Aves (9)
?,(Mon) 5 Nov 2018 (W45),Rio Ave FC (9),3-3,2-1,CD Nacional Madeira (9)
?,(Fri) 9 Nov 2018 (W45),Moreirense FC (10),2-0,1-0,Portimonense SC (10)
?,(Fri) 9 Nov 2018 (W45),Vitória de Setúbal (10),2-1,1-1,CD Feirense (10)
?,(Sat) 10 Nov 2018 (W45),CD Aves (10),2-1,2-0,Rio Ave FC (10)
?,(Sat) 10 Nov 2018 (W45),Os Belenenses (10),0-0,0-0,Boavista FC (10)
?,(Sat) 10 Nov 2018 (W45),CD Nacional Madeira (10),1-0,0-0,CS Marítimo (10)
?,(Sat) 10 Nov 2018 (W45),FC Porto (10),1-0,0-0,SC Braga (10)
?,(Sun) 11 Nov 2018 (W45),Vitória de Guimarães (10),2-0,1-0,CD Santa Clara (10)
?,(Sun) 11 Nov 2018 (W45),Sporting CP (10),2-1,1-0,GD Chaves (10)
?,(Sun) 11 Nov 2018 (W45),CD Tondela (10),1-3,1-1,SL Benfica (10)
?,(Fri) 30 Nov 2018 (W48),CD Santa Clara (11),2-3,1-1,Os Belenenses (11)
?,(Sat) 1 Dec 2018 (W48),SL Benfica (11),4-0,0-0,CD Feirense (11)
?,(Sat) 1 Dec 2018 (W48),CS Marítimo (11),0-1,0-0,Vitória de Setúbal (11)
?,(Sat) 1 Dec 2018 (W48),SC Braga (11),2-0,2-0,Moreirense FC (11)
?,(Sun) 2 Dec 2018 (W48),CD Aves (11),2-3,1-1,CD Nacional Madeira (11)
?,(Sun) 2 Dec 2018 (W48),Boavista FC (11),0-1,0-0,FC Porto (11)
?,(Sun) 2 Dec 2018 (W48),GD Chaves (11),0-1,0-1,Vitória de Guimarães (11)
?,(Sun) 2 Dec 2018 (W48),Portimonense SC (11),3-2,3-1,CD Tondela (11)
?,(Mon) 3 Dec 2018 (W49),Rio Ave FC (11),1-3,1-2,Sporting CP (11)
?,(Fri) 7 Dec 2018 (W49),FC Porto (12),4-1,1-1,Portimonense SC (12)
?,(Sat) 8 Dec 2018 (W49),Os Belenenses (12),1-0,1-0,GD Chaves (12)
?,(Sat) 8 Dec 2018 (W49),Vitória de Setúbal (12),0-1,0-1,SL Benfica (12)
?,(Sat) 8 Dec 2018 (W49),CD Tondela (12),0-1,0-1,SC Braga (12)
?,(Sun) 9 Dec 2018 (W49),Vitória de Guimarães (12),3-2,2-1,Rio Ave FC (12)
?,(Sun) 9 Dec 2018 (W49),Moreirense FC (12),0-1,0-0,CD Santa Clara (12)
?,(Sun) 9 Dec 2018 (W49),CD Nacional Madeira (12),0-0,0-0,Boavista FC (12)
?,(Sun) 9 Dec 2018 (W49),Sporting CP (12),4-1,2-1,CD Aves (12)
?,(Mon) 10 Dec 2018 (W50),CD Feirense (12),1-1,0-0,CS Marítimo (12)
?,(Fri) 14 Dec 2018 (W50),Portimonense SC (13),3-1,2-0,Vitória de Setúbal (13)
?,(Fri) 14 Dec 2018 (W50),SC Braga (13),4-0,2-0,CD Feirense (13)
?,(Sat) 15 Dec 2018 (W50),CD Aves (13),1-1,1-1,Vitória de Guimarães (13)
?,(Sat) 15 Dec 2018 (W50),Boavista FC (13),2-0,2-0,CD Tondela (13)
?,(Sat) 15 Dec 2018 (W50),GD Chaves (13),1-2,0-0,Moreirense FC (13)
?,(Sat) 15 Dec 2018 (W50),CD Santa Clara (13),1-2,1-1,FC Porto (13)
?,(Sun) 16 Dec 2018 (W50),CS Marítimo (13),0-1,0-1,SL Benfica (13)
?,(Sun) 16 Dec 2018 (W50),Rio Ave FC (13),2-2,1-0,Os Belenenses (13)
?,(Sun) 16 Dec 2018 (W50),Sporting CP (13),5-2,1-2,CD Nacional Madeira (13)
?,(Sat) 22 Dec 2018 (W51),Os Belenenses (14),5-2,2-2,CD Aves (14)
?,(Sat) 22 Dec 2018 (W51),CD Feirense (14),0-1,0-0,Portimonense SC (14)
?,(Sat) 22 Dec 2018 (W51),Moreirense FC (14),2-1,2-1,Boavista FC (14)
?,(Sat) 22 Dec 2018 (W51),Vitória de Setúbal (14),0-2,0-1,CD Santa Clara (14)
?,(Sat) 22 Dec 2018 (W51),CD Tondela (14),2-1,1-1,CS Marítimo (14)
?,(Sun) 23 Dec 2018 (W51),SL Benfica (14),6-2,2-0,SC Braga (14)
?,(Sun) 23 Dec 2018 (W51),Vitória de Guimarães (14),1-0,1-0,Sporting CP (14)
?,(Sun) 23 Dec 2018 (W51),CD Nacional Madeira (14),2-0,1-0,GD Chaves (14)
?,(Sun) 23 Dec 2018 (W51),FC Porto (14),2-1,2-1,Rio Ave FC (14)
?,(Wed) 2 Jan 2019 (W1),Boavista FC (15),1-0,0-0,Vitória de Setúbal (15)
