Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Sat Aug 18 2018,18:00,Chievo,2-3,?,Juventus
1,Sat Aug 18 2018,20:30,Lazio,1-2,?,Napoli
1,Sun Aug 19 2018,18:00,Torino,0-1,?,Roma
1,Sun Aug 19 2018,20:30,Empoli,2-0,?,Cagliari
1,Sun Aug 19 2018,20:30,Sassuolo,1-0,?,Inter
1,Sun Aug 19 2018,20:30,Parma,2-2,?,Udinese
1,Sun Aug 19 2018,20:30,Bologna,0-1,?,SPAL
1,Mon Aug 20 2018,20:30,Atalanta,4-0,?,Frosinone
2,Sat Aug 25 2018,18:00,Juventus,2-0,?,Lazio
2,Sat Aug 25 2018,20:30,Napoli,3-2,?,Milan
2,Sun Aug 26 2018,18:00,SPAL,1-0,?,Parma
2,Sun Aug 26 2018,20:30,Udinese,1-0,?,Sampdoria
2,Sun Aug 26 2018,20:30,Cagliari,2-2,?,Sassuolo
2,Sun Aug 26 2018,20:30,Fiorentina,6-1,?,Chievo
2,Sun Aug 26 2018,20:30,Inter,2-2,?,Torino
2,Sun Aug 26 2018,20:30,Genoa,2-1,?,Empoli
2,Sun Aug 26 2018,20:30,Frosinone,0-0,?,Bologna
2,Mon Aug 27 2018,20:30,Roma,3-3,?,Atalanta
3,Fri Aug 31 2018,20:30,Milan,2-1,?,Roma
3,Sat Sep 1 2018,18:00,Bologna,0-3,?,Inter
3,Sat Sep 1 2018,20:30,Parma,1-2,?,Juventus
3,Sun Sep 2 2018,18:00,Fiorentina,1-0,?,Udinese
3,Sun Sep 2 2018,20:30,Chievo,0-0,?,Empoli
3,Sun Sep 2 2018,20:30,Lazio,1-0,?,Frosinone
3,Sun Sep 2 2018,20:30,Atalanta,0-1,?,Cagliari
3,Sun Sep 2 2018,20:30,Torino,1-0,?,SPAL
3,Sun Sep 2 2018,20:30,Sampdoria,3-0,?,Napoli
3,Sun Sep 2 2018,20:30,Sassuolo,5-3,?,Genoa
4,Sat Sep 15 2018,15:00,Inter,0-1,?,Parma
4,Sat Sep 15 2018,18:00,Napoli,1-0,?,Fiorentina
4,Sat Sep 15 2018,20:30,Frosinone,0-5,?,Sampdoria
4,Sun Sep 16 2018,12:30,Roma,2-2,?,Chievo
4,Sun Sep 16 2018,15:00,Udinese,1-1,?,Torino
4,Sun Sep 16 2018,15:00,Genoa,1-0,?,Bologna
4,Sun Sep 16 2018,15:00,Juventus,2-1,?,Sassuolo
4,Sun Sep 16 2018,18:00,Empoli,0-1,?,Lazio
4,Sun Sep 16 2018,20:30,Cagliari,1-1,?,Milan
4,Mon Sep 17 2018,20:30,SPAL,2-0,?,Atalanta
1,Wed Sep 19 2018,19:00,Sampdoria,1-1,?,Fiorentina
5,Fri Sep 21 2018,20:30,Sassuolo,3-1,?,Empoli
5,Sat Sep 22 2018,15:00,Parma,2-0,?,Cagliari
5,Sat Sep 22 2018,18:00,Fiorentina,3-0,?,SPAL
5,Sat Sep 22 2018,20:30,Sampdoria,0-1,?,Inter
5,Sun Sep 23 2018,12:30,Torino,1-3,?,Napoli
5,Sun Sep 23 2018,15:00,Chievo,0-2,?,Udinese
5,Sun Sep 23 2018,15:00,Lazio,4-1,?,Genoa
5,Sun Sep 23 2018,15:00,Bologna,2-0,?,Roma
5,Sun Sep 23 2018,18:00,Milan,2-2,?,Atalanta
5,Sun Sep 23 2018,20:30,Frosinone,0-2,?,Juventus
6,Tue Sep 25 2018,21:00,Inter,2-1,?,Fiorentina
6,Wed Sep 26 2018,19:00,Udinese,1-2,?,Lazio
6,Wed Sep 26 2018,21:00,Juventus,2-0,?,Bologna
6,Wed Sep 26 2018,21:00,Atalanta,0-0,?,Torino
6,Wed Sep 26 2018,21:00,Napoli,3-0,?,Parma
6,Wed Sep 26 2018,21:00,Roma,4-0,?,Frosinone
6,Wed Sep 26 2018,21:00,Genoa,2-0,?,Chievo
6,Wed Sep 26 2018,21:00,Cagliari,0-0,?,Sampdoria
6,Thu Sep 27 2018,19:00,SPAL,0-2,?,Sassuolo
6,Thu Sep 27 2018,21:00,Empoli,1-1,?,Milan
7,Sat Sep 29 2018,15:00,Roma,3-1,?,Lazio
7,Sat Sep 29 2018,18:00,Juventus,3-1,?,Napoli
7,Sat Sep 29 2018,20:30,Inter,2-0,?,Cagliari
7,Sun Sep 30 2018,12:30,Bologna,2-1,?,Udinese
7,Sun Sep 30 2018,15:00,Fiorentina,2-0,?,Atalanta
7,Sun Sep 30 2018,15:00,Frosinone,1-2,?,Genoa
7,Sun Sep 30 2018,15:00,Chievo,0-1,?,Torino
7,Sun Sep 30 2018,18:00,Parma,1-0,?,Empoli
7,Sun Sep 30 2018,20:30,Sassuolo,1-4,?,Milan
7,Mon Oct 1 2018,20:30,Sampdoria,2-1,?,SPAL
8,Fri Oct 5 2018,20:30,Torino,3-2,?,Frosinone
8,Sat Oct 6 2018,15:00,Cagliari,2-0,?,Bologna
8,Sat Oct 6 2018,18:00,Udinese,0-2,?,Juventus
8,Sat Oct 6 2018,20:30,Empoli,0-2,?,Roma
8,Sun Oct 7 2018,12:30,Genoa,1-3,?,Parma
8,Sun Oct 7 2018,15:00,Atalanta,0-1,?,Sampdoria
8,Sun Oct 7 2018,15:00,Milan,3-1,?,Chievo
8,Sun Oct 7 2018,15:00,Lazio,1-0,?,Fiorentina
8,Sun Oct 7 2018,18:00,Napoli,2-0,?,Sassuolo
8,Sun Oct 7 2018,20:30,SPAL,1-2,?,Inter
9,Sat Oct 20 2018,15:00,Roma,0-2,?,SPAL
9,Sat Oct 20 2018,18:00,Juventus,1-1,?,Genoa
9,Sat Oct 20 2018,20:30,Udinese,0-3,?,Napoli
9,Sun Oct 21 2018,12:30,Frosinone,3-3,?,Empoli
9,Sun Oct 21 2018,15:00,Parma,0-2,?,Lazio
9,Sun Oct 21 2018,15:00,Chievo,1-5,?,Atalanta
9,Sun Oct 21 2018,15:00,Bologna,2-2,?,Torino
9,Sun Oct 21 2018,18:00,Fiorentina,1-1,?,Cagliari
9,Sun Oct 21 2018,20:30,Inter,1-0,?,Milan
9,Mon Oct 22 2018,20:30,Sampdoria,0-0,?,Sassuolo
10,Sat Oct 27 2018,15:00,Atalanta,3-0,?,Parma
10,Sat Oct 27 2018,18:00,Empoli,1-2,?,Juventus
10,Sat Oct 27 2018,20:30,Torino,1-1,?,Fiorentina
10,Sun Oct 28 2018,12:30,Sassuolo,2-2,?,Bologna
10,Sun Oct 28 2018,15:00,SPAL,0-3,?,Frosinone
10,Sun Oct 28 2018,15:00,Genoa,2-2,?,Udinese
10,Sun Oct 28 2018,15:00,Cagliari,2-1,?,Chievo
10,Sun Oct 28 2018,18:00,Milan,3-2,?,Sampdoria
10,Sun Oct 28 2018,20:30,Napoli,1-1,?,Roma
10,Mon Oct 29 2018,20:30,Lazio,0-3,?,Inter
1,Wed Oct 31 2018,20:30,Milan,2-1,?,Genoa
11,Fri Nov 2 2018,20:30,Napoli,5-1,?,Empoli
11,Sat Nov 3 2018,15:00,Inter,5-0,?,Genoa
11,Sat Nov 3 2018,18:00,Fiorentina,1-1,?,Roma
11,Sat Nov 3 2018,20:30,Juventus,3-1,?,Cagliari
11,Sun Nov 4 2018,12:30,Lazio,4-1,?,SPAL
11,Sun Nov 4 2018,15:00,Sampdoria,1-4,?,Torino
11,Sun Nov 4 2018,15:00,Chievo,0-2,?,Sassuolo
11,Sun Nov 4 2018,15:00,Parma,0-0,?,Frosinone
11,Sun Nov 4 2018,18:00,Bologna,1-2,?,Atalanta
11,Sun Nov 4 2018,20:30,Udinese,0-1,?,Milan
12,Fri Nov 9 2018,20:30,Frosinone,1-1,?,Fiorentina
12,Sat Nov 10 2018,15:00,Torino,1-2,?,Parma
12,Sat Nov 10 2018,18:00,SPAL,2-2,?,Cagliari
12,Sat Nov 10 2018,20:30,Genoa,1-2,?,Napoli
12,Sun Nov 11 2018,12:30,Atalanta,4-1,?,Inter
12,Sun Nov 11 2018,15:00,Chievo,2-2,?,Bologna
12,Sun Nov 11 2018,15:00,Roma,4-1,?,Sampdoria
12,Sun Nov 11 2018,15:00,Empoli,2-1,?,Udinese
12,Sun Nov 11 2018,18:00,Sassuolo,1-1,?,Lazio
12,Sun Nov 11 2018,20:30,Milan,0-2,?,Juventus
13,Sat Nov 24 2018,15:00,Udinese,1-0,?,Roma
13,Sat Nov 24 2018,18:00,Juventus,2-0,?,SPAL
13,Sat Nov 24 2018,20:30,Inter,3-0,?,Frosinone
13,Sun Nov 25 2018,12:30,Parma,2-1,?,Sassuolo
13,Sun Nov 25 2018,15:00,Bologna,0-0,?,Fiorentina
13,Sun Nov 25 2018,15:00,Napoli,0-0,?,Chievo
13,Sun Nov 25 2018,15:00,Empoli,3-2,?,Atalanta
13,Sun Nov 25 2018,18:00,Lazio,1-1,?,Milan
13,Sun Nov 25 2018,20:30,Genoa,1-1,?,Sampdoria
13,Mon Nov 26 2018,20:30,Cagliari,0-0,?,Torino
14,Sat Dec 1 2018,15:00,SPAL,2-2,?,Empoli
14,Sat Dec 1 2018,18:00,Fiorentina,0-3,?,Juventus
14,Sat Dec 1 2018,20:30,Sampdoria,4-1,?,Bologna
14,Sun Dec 2 2018,12:30,Milan,2-1,?,Parma
14,Sun Dec 2 2018,15:00,Sassuolo,0-0,?,Udinese
14,Sun Dec 2 2018,15:00,Frosinone,1-1,?,Cagliari
14,Sun Dec 2 2018,15:00,Torino,2-1,?,Genoa
14,Sun Dec 2 2018,18:00,Chievo,1-1,?,Lazio
14,Sun Dec 2 2018,20:30,Roma,2-2,?,Inter
14,Mon Dec 3 2018,20:30,Atalanta,1-2,?,Napoli
15,Fri Dec 7 2018,20:30,Juventus,1-0,?,Inter
15,Sat Dec 8 2018,15:00,Napoli,4-0,?,Frosinone
15,Sat Dec 8 2018,18:00,Cagliari,2-2,?,Roma
15,Sat Dec 8 2018,20:30,Lazio,2-2,?,Sampdoria
15,Sun Dec 9 2018,12:30,Sassuolo,3-3,?,Fiorentina
15,Sun Dec 9 2018,15:00,Udinese,1-3,?,Atalanta
15,Sun Dec 9 2018,15:00,Empoli,2-1,?,Bologna
15,Sun Dec 9 2018,15:00,Parma,1-1,?,Chievo
15,Sun Dec 9 2018,18:00,Genoa,1-1,?,SPAL
15,Sun Dec 9 2018,20:30,Milan,0-0,?,Torino
16,Sat Dec 15 2018,18:00,Inter,1-0,?,Udinese
16,Sat Dec 15 2018,20:30,Torino,0-1,?,Juventus
16,Sun Dec 16 2018,12:30,SPAL,0-0,?,Chievo
16,Sun Dec 16 2018,15:00,Fiorentina,3-1,?,Empoli
16,Sun Dec 16 2018,15:00,Sampdoria,2-0,?,Parma
16,Sun Dec 16 2018,15:00,Frosinone,0-2,?,Sassuolo
16,Sun Dec 16 2018,18:00,Cagliari,0-1,?,Napoli
16,Sun Dec 16 2018,20:30,Roma,3-2,?,Genoa
16,Mon Dec 17 2018,20:30,Atalanta,1-0,?,Lazio
16,Tue Dec 18 2018,20:30,Bologna,0-0,?,Milan
17,Sat Dec 22 2018,12:30,Lazio,3-1,?,Cagliari
17,Sat Dec 22 2018,15:00,Genoa,3-1,?,Atalanta
17,Sat Dec 22 2018,15:00,Sassuolo,1-1,?,Torino
17,Sat Dec 22 2018,15:00,Milan,0-1,?,Fiorentina
17,Sat Dec 22 2018,15:00,Napoli,1-0,?,SPAL
17,Sat Dec 22 2018,15:00,Empoli,2-4,?,Sampdoria
17,Sat Dec 22 2018,15:00,Udinese,1-1,?,Frosinone
17,Sat Dec 22 2018,18:00,Parma,0-0,?,Bologna
17,Sat Dec 22 2018,18:00,Chievo,1-1,?,Inter
17,Sat Dec 22 2018,20:30,Juventus,1-0,?,Roma
18,Wed Dec 26 2018,12:30,Frosinone,0-0,?,Milan
18,Wed Dec 26 2018,15:00,Atalanta,2-2,?,Juventus
18,Wed Dec 26 2018,15:00,Bologna,0-2,?,Lazio
18,Wed Dec 26 2018,15:00,Sampdoria,2-0,?,Chievo
18,Wed Dec 26 2018,15:00,Cagliari,1-0,?,Genoa
18,Wed Dec 26 2018,15:00,Fiorentina,0-1,?,Parma
18,Wed Dec 26 2018,18:00,Torino,3-0,?,Empoli
18,Wed Dec 26 2018,18:00,Roma,3-1,?,Sassuolo
18,Wed Dec 26 2018,18:00,SPAL,0-0,?,Udinese
18,Wed Dec 26 2018,20:30,Inter,1-0,?,Napoli
19,Sat Dec 29 2018,12:30,Juventus,2-1,?,Sampdoria
19,Sat Dec 29 2018,15:00,Parma,0-2,?,Roma
19,Sat Dec 29 2018,15:00,Sassuolo,2-6,?,Atalanta
19,Sat Dec 29 2018,15:00,Lazio,1-1,?,Torino
19,Sat Dec 29 2018,15:00,Empoli,0-1,?,Inter
19,Sat Dec 29 2018,15:00,Genoa,0-0,?,Fiorentina
19,Sat Dec 29 2018,15:00,Chievo,1-0,?,Frosinone
19,Sat Dec 29 2018,15:00,Udinese,2-0,?,Cagliari
19,Sat Dec 29 2018,18:00,Napoli,3-2,?,Bologna
19,Sat Dec 29 2018,20:30,Milan,2-1,?,SPAL
20,Sat Jan 19 2019,15:00,Roma,3-2,?,Torino
20,Sat Jan 19 2019,18:00,Udinese,1-2,?,Parma
20,Sat Jan 19 2019,20:30,Inter,0-0,?,Sassuolo
