Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Fri Aug 3 2018,20:30,Hamburger SV,0-3,?,Holstein Kiel
1,Sat Aug 4 2018,13:00,Bochum,0-2,?,Köln
1,Sat Aug 4 2018,15:30,Jahn R'burg,2-1,?,Ingolstadt 04
1,Sat Aug 4 2018,15:30,Greuther Fürth,3-1,?,Sandhausen
1,Sun Aug 5 2018,13:30,Magdeburg,1-2,?,St. Pauli
1,Sun Aug 5 2018,15:30,Union Berlin,1-0,?,Erzgebirge Aue
1,Sun Aug 5 2018,15:30,Heidenheim,1-1,?,Arminia
1,Sun Aug 5 2018,15:30,Darmstadt 98,1-0,?,Paderborn 07
1,Mon Aug 6 2018,20:30,Dynamo Dres,1-0,?,MSV Duisburg
2,Fri Aug 10 2018,18:30,Ingolstadt 04,1-1,?,Greuther Fürth
2,Fri Aug 10 2018,18:30,Paderborn 07,2-0,?,Jahn R'burg
2,Fri Aug 10 2018,20:30,St. Pauli,2-0,?,Darmstadt 98
2,Sat Aug 11 2018,13:00,MSV Duisburg,0-2,?,Bochum
2,Sat Aug 11 2018,15:30,Arminia,2-1,?,Dynamo Dres
2,Sun Aug 12 2018,13:30,Sandhausen,0-3,?,Hamburger SV
2,Sun Aug 12 2018,15:30,Erzgebirge Aue,0-0,?,Magdeburg
2,Sun Aug 12 2018,15:30,Holstein Kiel,1-1,?,Heidenheim
2,Mon Aug 13 2018,20:30,Köln,1-1,?,Union Berlin
3,Fri Aug 24 2018,18:30,Darmstadt 98,3-0,?,MSV Duisburg
3,Fri Aug 24 2018,18:30,Bochum,1-0,?,Sandhausen
3,Sat Aug 25 2018,13:00,Köln,3-1,?,Erzgebirge Aue
3,Sat Aug 25 2018,13:00,Greuther Fürth,2-2,?,Paderborn 07
3,Sat Aug 25 2018,13:00,Magdeburg,1-1,?,Ingolstadt 04
3,Sun Aug 26 2018,13:30,Union Berlin,4-1,?,St. Pauli
3,Sun Aug 26 2018,13:30,Jahn R'burg,0-0,?,Holstein Kiel
3,Sun Aug 26 2018,13:30,Dynamo Dres,1-3,?,Heidenheim
3,Mon Aug 27 2018,20:30,Hamburger SV,3-0,?,Arminia
4,Fri Aug 31 2018,18:30,Paderborn 07,2-2,?,Bochum
4,Fri Aug 31 2018,18:30,Ingolstadt 04,3-2,?,Erzgebirge Aue
4,Sat Sep 1 2018,13:00,Arminia,5-3,?,Jahn R'burg
4,Sat Sep 1 2018,13:00,MSV Duisburg,0-1,?,Greuther Fürth
4,Sun Sep 2 2018,13:30,Heidenheim,0-1,?,Darmstadt 98
4,Sun Sep 2 2018,13:30,St. Pauli,3-5,?,Köln
4,Sun Sep 2 2018,13:30,Sandhausen,0-0,?,Union Berlin
4,Mon Sep 3 2018,20:30,Holstein Kiel,2-1,?,Magdeburg
5,Fri Sep 14 2018,18:30,Union Berlin,2-2,?,MSV Duisburg
5,Fri Sep 14 2018,18:30,Jahn R'burg,0-2,?,Dynamo Dres
5,Sat Sep 15 2018,13:00,Darmstadt 98,1-1,?,Sandhausen
5,Sat Sep 15 2018,13:00,Hamburger SV,3-2,?,Heidenheim
5,Sat Sep 15 2018,13:00,Greuther Fürth,4-1,?,Holstein Kiel
5,Sun Sep 16 2018,13:30,Köln,3-5,?,Paderborn 07
5,Sun Sep 16 2018,13:30,Bochum,6-0,?,Ingolstadt 04
5,Sun Sep 16 2018,13:30,Erzgebirge Aue,3-1,?,St. Pauli
5,Mon Sep 17 2018,20:30,Magdeburg,0-0,?,Arminia
4,Tue Sep 18 2018,18:30,Dynamo Dres,0-1,?,Hamburger SV
6,Fri Sep 21 2018,18:30,Sandhausen,0-2,?,Köln
6,Fri Sep 21 2018,18:30,Ingolstadt 04,0-1,?,St. Pauli
6,Sat Sep 22 2018,13:00,Holstein Kiel,2-2,?,Bochum
