Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Fri Jul 27 2018,19:00,Braunschweig,1-1,?,Karlsruher
1,Sat Jul 28 2018,14:00,Zwickau,2-0,?,Hallescher
1,Sat Jul 28 2018,14:00,Carl Zeiss Jena,3-2,?,Großaspach
1,Sat Jul 28 2018,14:00,Kaiserslautern,1-0,?,1860 Munich
1,Sat Jul 28 2018,14:00,Osnabrück,2-1,?,W'burg Kickers
1,Sat Jul 28 2018,14:00,Fortuna Köln,1-4,?,Preußen Münster
1,Sat Jul 28 2018,14:00,Aalen,1-2,?,Wehen
1,Sun Jul 29 2018,13:00,Energie Cottbus,3-0,?,Hansa Rostock
1,Sun Jul 29 2018,14:00,Uerdingen,1-3,?,Unterhaching
1,Mon Jul 30 2018,19:00,Lotte,0-0,?,Meppen
2,Fri Aug 3 2018,19:00,Hansa Rostock,2-0,?,Braunschweig
2,Sat Aug 4 2018,14:00,1860 Munich,5-1,?,Lotte
2,Sat Aug 4 2018,14:00,W'burg Kickers,0-2,?,Uerdingen
2,Sat Aug 4 2018,14:00,Großaspach,1-1,?,Kaiserslautern
2,Sat Aug 4 2018,14:00,Preußen Münster,1-2,?,Carl Zeiss Jena
2,Sat Aug 4 2018,14:00,Unterhaching,0-0,?,Aalen
2,Sat Aug 4 2018,14:00,Karlsruher,1-1,?,Zwickau
2,Sat Aug 4 2018,14:00,Hallescher,1-2,?,Fortuna Köln
2,Sun Aug 5 2018,13:00,Wehen,0-2,?,Energie Cottbus
2,Sun Aug 5 2018,14:00,Meppen,0-2,?,Osnabrück
3,Tue Aug 7 2018,19:00,Fortuna Köln,0-1,?,Karlsruher
3,Tue Aug 7 2018,19:00,Aalen,3-2,?,W'burg Kickers
3,Tue Aug 7 2018,19:00,Carl Zeiss Jena,0-3,?,Hallescher
3,Tue Aug 7 2018,19:00,Braunschweig,1-1,?,Zwickau
3,Tue Aug 7 2018,19:00,Kaiserslautern,1-2,?,Preußen Münster
3,Wed Aug 8 2018,19:00,Uerdingen,3-2,?,Meppen
3,Wed Aug 8 2018,19:00,Energie Cottbus,2-2,?,Unterhaching
3,Wed Aug 8 2018,19:00,Hansa Rostock,3-2,?,Wehen
3,Wed Aug 8 2018,19:00,Lotte,0-2,?,Großaspach
3,Wed Aug 8 2018,19:00,Osnabrück,2-2,?,1860 Munich
4,Fri Aug 10 2018,19:00,Karlsruher,1-1,?,Carl Zeiss Jena
4,Sat Aug 11 2018,14:00,Zwickau,1-0,?,Fortuna Köln
4,Sat Aug 11 2018,14:00,Großaspach,0-0,?,Osnabrück
4,Sat Aug 11 2018,14:00,Hallescher,2-0,?,Kaiserslautern
4,Sat Aug 11 2018,14:00,Wehen,3-3,?,Braunschweig
4,Sat Aug 11 2018,14:00,Meppen,1-0,?,Aalen
4,Sat Aug 11 2018,14:00,Unterhaching,2-1,?,Hansa Rostock
4,Sun Aug 12 2018,13:00,1860 Munich,0-1,?,Uerdingen
4,Sun Aug 12 2018,14:00,W'burg Kickers,3-1,?,Energie Cottbus
4,Mon Aug 13 2018,19:00,Preußen Münster,1-0,?,Lotte
5,Fri Aug 24 2018,19:00,Uerdingen,0-0,?,Großaspach
5,Sat Aug 25 2018,14:00,Aalen,1-4,?,1860 Munich
5,Sat Aug 25 2018,14:00,Hansa Rostock,0-4,?,W'burg Kickers
5,Sat Aug 25 2018,14:00,Energie Cottbus,1-1,?,Meppen
5,Sat Aug 25 2018,14:00,Wehen,1-2,?,Unterhaching
5,Sat Aug 25 2018,14:00,Kaiserslautern,0-0,?,Karlsruher
5,Sat Aug 25 2018,14:00,Osnabrück,3-0,?,Preußen Münster
5,Sun Aug 26 2018,13:00,Lotte,0-1,?,Hallescher
5,Sun Aug 26 2018,14:00,Braunschweig,0-2,?,Fortuna Köln
5,Mon Aug 27 2018,19:00,Carl Zeiss Jena,2-1,?,Zwickau
6,Fri Aug 31 2018,19:00,1860 Munich,2-0,?,Energie Cottbus
6,Sat Sep 1 2018,14:00,Preußen Münster,0-1,?,Uerdingen
6,Sat Sep 1 2018,14:00,Unterhaching,3-0,?,Braunschweig
6,Sat Sep 1 2018,14:00,Hallescher,1-1,?,Osnabrück
6,Sat Sep 1 2018,14:00,Meppen,1-3,?,Hansa Rostock
6,Sat Sep 1 2018,14:00,W'burg Kickers,3-1,?,Wehen
