Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Fri Aug 17 2018,20:15,Girona,0-0,?,Valladolid
1,Fri Aug 17 2018,22:15,Betis,0-3,?,Levante
1,Sat Aug 18 2018,18:15,Celta Vigo,1-1,?,Espanyol
1,Sat Aug 18 2018,20:15,Villarreal,1-2,?,Real Sociedad
1,Sat Aug 18 2018,22:15,Barcelona,3-0,?,Alavés
1,Sun Aug 19 2018,18:15,Eibar,1-2,?,Huesca
1,Sun Aug 19 2018,20:15,Rayo Vallecano,1-4,?,Sevilla
1,Sun Aug 19 2018,22:15,Real Madrid,2-0,?,Getafe
1,Mon Aug 20 2018,20:00,Valencia,1-1,?,Atlético Madrid
1,Mon Aug 20 2018,22:00,Athletic Club,2-1,?,Leganés
2,Fri Aug 24 2018,20:15,Getafe,2-0,?,Eibar
2,Fri Aug 24 2018,22:15,Leganés,2-2,?,Real Sociedad
2,Sat Aug 25 2018,18:15,Alavés,0-0,?,Betis
2,Sat Aug 25 2018,20:15,Atlético Madrid,1-0,?,Rayo Vallecano
2,Sat Aug 25 2018,22:15,Valladolid,0-1,?,Barcelona
2,Sun Aug 26 2018,18:15,Espanyol,2-0,?,Valencia
2,Sun Aug 26 2018,22:15,Girona,1-4,?,Real Madrid
2,Sun Aug 26 2018,22:15,Sevilla,0-0,?,Villarreal
2,Mon Aug 27 2018,20:15,Levante,1-2,?,Celta Vigo
2,Mon Aug 27 2018,22:00,Athletic Club,2-2,?,Huesca
3,Fri Aug 31 2018,20:00,Getafe,0-0,?,Valladolid
3,Fri Aug 31 2018,22:00,Villarreal,0-1,?,Girona
3,Fri Aug 31 2018,22:00,Eibar,2-1,?,Real Sociedad
3,Sat Sep 1 2018,18:30,Celta Vigo,2-0,?,Atlético Madrid
3,Sat Sep 1 2018,20:45,Real Madrid,4-1,?,Leganés
3,Sun Sep 2 2018,12:00,Levante,2-2,?,Valencia
3,Sun Sep 2 2018,16:15,Alavés,2-1,?,Espanyol
3,Sun Sep 2 2018,18:30,Barcelona,8-2,?,Huesca
3,Sun Sep 2 2018,20:45,Betis,1-0,?,Sevilla
4,Fri Sep 14 2018,21:00,Huesca,0-1,?,Rayo Vallecano
4,Sat Sep 15 2018,13:00,Atlético Madrid,1-1,?,Eibar
4,Sat Sep 15 2018,16:15,Real Sociedad,1-2,?,Barcelona
4,Sat Sep 15 2018,18:30,Valencia,0-0,?,Betis
4,Sat Sep 15 2018,20:45,Athletic Club,1-1,?,Real Madrid
4,Sun Sep 16 2018,12:00,Leganés,0-1,?,Villarreal
4,Sun Sep 16 2018,16:15,Espanyol,1-0,?,Levante
4,Sun Sep 16 2018,18:30,Valladolid,0-1,?,Alavés
4,Sun Sep 16 2018,20:45,Sevilla,0-2,?,Getafe
4,Mon Sep 17 2018,21:00,Girona,3-2,?,Celta Vigo
5,Fri Sep 21 2018,21:00,Huesca,0-1,?,Real Sociedad
5,Sat Sep 22 2018,13:00,Rayo Vallecano,1-5,?,Alavés
5,Sat Sep 22 2018,16:15,Celta Vigo,3-3,?,Valladolid
5,Sat Sep 22 2018,16:15,Eibar,1-0,?,Leganés
5,Sat Sep 22 2018,18:30,Getafe,0-2,?,Atlético Madrid
5,Sat Sep 22 2018,20:45,Real Madrid,1-0,?,Espanyol
5,Sun Sep 23 2018,12:00,Levante,2-6,?,Sevilla
5,Sun Sep 23 2018,16:15,Villarreal,0-0,?,Valencia
5,Sun Sep 23 2018,20:00,Betis,2-2,?,Athletic Club
5,Sun Sep 23 2018,20:45,Barcelona,2-2,?,Girona
6,Tue Sep 25 2018,20:00,Espanyol,1-0,?,Eibar
