Date,Team 1,Team 2,FT,HT
1999-08-20,Setubal,Guimaraes,1-1,1-0
1999-08-21,Boavista,Porto,1-1,0-1
1999-08-21,Santa Clara,Sp Lisbon,2-2,2-0
1999-08-22,Alverca,Sp Braga,3-2,2-0
1999-08-22,Est Amadora,Belenenses,0-3,0-0
1999-08-22,Farense,Leiria,2-1,1-1
1999-08-22,Gil Vicente,Campomaiorense,3-0,0-0
1999-08-22,Rio Ave,Benfica,1-1,1-1
1999-08-22,Salgueiros,Maritimo,1-0,0-0
1999-08-27,Guimaraes,Farense,3-0,3-0
1999-08-28,Porto,Alverca,0-0,0-0
1999-08-29,Belenenses,Gil Vicente,1-1,0-1
1999-08-29,Benfica,Salgueiros,1-0,0-0
1999-08-29,Campomaiorense,Boavista,0-1,0-0
1999-08-29,Leiria,Est Amadora,1-1,0-1
1999-08-29,Maritimo,Santa Clara,0-0,0-0
1999-08-29,Sp Braga,Rio Ave,0-1,0-1
1999-08-30,Sp Lisbon,Setubal,2-1,0-1
1999-09-10,Boavista,Belenenses,1-0,1-0
1999-09-11,Sp Braga,Porto,0-1,0-0
1999-09-12,Est Amadora,Guimaraes,2-2,1-0
1999-09-12,Farense,Sp Lisbon,0-3,0-2
1999-09-12,Gil Vicente,Leiria,2-0,0-0
1999-09-12,Rio Ave,Salgueiros,4-1,1-0
1999-09-12,Santa Clara,Benfica,0-3,0-3
1999-09-12,Setubal,Maritimo,4-2,0-0
1999-09-13,Alverca,Campomaiorense,1-0,0-0
1999-09-17,Campomaiorense,Sp Braga,2-4,0-1
1999-09-18,Leiria,Boavista,0-0,0-0
1999-09-18,Porto,Rio Ave,4-1,1-1
1999-09-19,Belenenses,Alverca,4-2,2-1
1999-09-19,Guimaraes,Gil Vicente,1-0,0-0
1999-09-19,Maritimo,Farense,3-0,1-0
1999-09-19,Salgueiros,Santa Clara,2-0,1-0
1999-09-20,Benfica,Setubal,3-0,2-0
1999-09-20,Sp Lisbon,Est Amadora,1-1,0-1
1999-09-24,Porto,Campomaiorense,2-0,1-0
1999-09-25,Farense,Benfica,0-1,0-1
1999-09-25,Gil Vicente,Sp Lisbon,1-1,1-0
1999-09-26,Alverca,Leiria,0-0,0-0
1999-09-26,Boavista,Guimaraes,2-0,0-0
1999-09-26,Est Amadora,Maritimo,1-1,0-1
1999-09-26,Rio Ave,Santa Clara,0-5,0-2
1999-09-26,Setubal,Salgueiros,1-2,0-1
1999-09-26,Sp Braga,Belenenses,0-0,0-0
1999-10-02,Campomaiorense,Rio Ave,1-1,0-1
1999-10-02,Guimaraes,Alverca,1-0,0-0
1999-10-03,Leiria,Sp Braga,3-0,2-0
1999-10-03,Maritimo,Gil Vicente,1-0,1-0
1999-10-03,Salgueiros,Farense,0-0,0-0
1999-10-04,Belenenses,Porto,0-0,0-0
1999-10-04,Benfica,Est Amadora,2-0,0-0
1999-10-04,Sp Lisbon,Boavista,2-0,1-0
1999-10-05,Santa Clara,Setubal,2-1,2-1
1999-10-14,Boavista,Maritimo,0-2,0-1
1999-10-15,Porto,Leiria,4-2,1-1
1999-10-16,Campomaiorense,Belenenses,2-1,0-1
1999-10-16,Gil Vicente,Benfica,0-2,0-0
1999-10-17,Alverca,Sp Lisbon,2-1,0-1
1999-10-17,Est Amadora,Salgueiros,1-0,1-0
1999-10-17,Farense,Santa Clara,2-2,0-1
1999-10-17,Rio Ave,Setubal,1-1,0-1
1999-10-17,Sp Braga,Guimaraes,2-4,1-0
1999-10-22,Setubal,Farense,1-1,1-1
1999-10-23,Guimaraes,Porto,1-1,0-0
1999-10-23,Sp Lisbon,Sp Braga,2-0,0-0
1999-10-24,Belenenses,Rio Ave,2-1,1-0
1999-10-24,Benfica,Boavista,1-1,1-0
1999-10-24,Leiria,Campomaiorense,1-2,0-1
1999-10-24,Maritimo,Alverca,3-0,1-0
1999-10-24,Salgueiros,Gil Vicente,1-2,1-1
1999-10-24,Santa Clara,Est Amadora,1-1,1-0
1999-10-29,Campomaiorense,Guimaraes,2-1,2-1
1999-10-30,Boavista,Salgueiros,2-1,1-0
1999-10-30,Porto,Sp Lisbon,3-0,1-0
1999-10-31,Alverca,Benfica,3-1,1-1
1999-10-31,Belenenses,Leiria,1-0,1-0
1999-10-31,Gil Vicente,Santa Clara,3-1,1-0
1999-10-31,Rio Ave,Farense,1-1,0-1
1999-10-31,Sp Braga,Maritimo,1-2,1-0
1999-11-01,Est Amadora,Setubal,3-0,2-0
1999-11-05,Guimaraes,Belenenses,4-2,2-1
1999-11-06,Sp Lisbon,Campomaiorense,1-0,0-0
1999-11-07,Farense,Est Amadora,1-1,0-0
1999-11-07,Leiria,Rio Ave,0-0,0-0
1999-11-07,Salgueiros,Alverca,0-2,0-0
1999-11-07,Setubal,Gil Vicente,0-1,0-0
1999-11-08,Benfica,Sp Braga,2-1,1-0
1999-11-08,Maritimo,Porto,2-1,1-0
1999-11-08,Santa Clara,Boavista,0-1,0-0
1999-11-20,Boavista,Setubal,1-0,1-0
1999-11-20,Porto,Benfica,2-0,2-0
1999-11-21,Alverca,Santa Clara,0-1,0-0
1999-11-21,Campomaiorense,Maritimo,1-0,1-0
1999-11-21,Gil Vicente,Farense,4-0,2-0
1999-11-21,Rio Ave,Est Amadora,0-1,0-1
1999-11-21,Sp Braga,Salgueiros,2-0,0-0
1999-11-22,Belenenses,Sp Lisbon,0-1,0-1
1999-11-22,Leiria,Guimaraes,1-0,1-0
1999-11-26,Maritimo,Belenenses,0-0,0-0
1999-11-27,Sp Lisbon,Leiria,2-0,0-0
