Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Fri Jul 26 2019,20:30,Stuttgart,2-1,?,Hannover 96
1,Sat Jul 27 2019,13:00,Dynamo Dres,0-1,?,Nürnberg
1,Sat Jul 27 2019,15:30,Holstein Kiel,1-1,?,Sandhausen
1,Sat Jul 27 2019,15:30,Osnabrück,1-3,?,Heidenheim
1,Sun Jul 28 2019,13:30,Hamburger SV,1-1,?,Darmstadt 98
1,Sun Jul 28 2019,15:30,Jahn R'burg,3-1,?,Bochum
1,Sun Jul 28 2019,15:30,Wehen,1-2,?,Karlsruher
1,Sun Jul 28 2019,15:30,Greuther Fürth,0-2,?,Erzgebirge Aue
1,Mon Jul 29 2019,20:30,Arminia,1-1,?,St. Pauli
2,Fri Aug 2 2019,18:30,Bochum,3-3,?,Arminia
2,Fri Aug 2 2019,18:30,Sandhausen,0-1,?,Osnabrück
2,Fri Aug 2 2019,20:30,St. Pauli,1-3,?,Greuther Fürth
2,Sat Aug 3 2019,13:00,Karlsruher,4-2,?,Dynamo Dres
2,Sat Aug 3 2019,15:30,Hannover 96,1-1,?,Jahn R'burg
2,Sun Aug 4 2019,13:30,Heidenheim,2-2,?,Stuttgart
2,Sun Aug 4 2019,15:30,Erzgebirge Aue,3-2,?,Wehen
2,Sun Aug 4 2019,15:30,Darmstadt 98,2-0,?,Holstein Kiel
2,Mon Aug 5 2019,20:30,Nürnberg,0-4,?,Hamburger SV
3,Fri Aug 16 2019,18:30,Sandhausen,3-2,?,Nürnberg
3,Fri Aug 16 2019,18:30,Hamburger SV,1-0,?,Bochum
3,Sat Aug 17 2019,13:00,Arminia,3-1,?,Erzgebirge Aue
3,Sat Aug 17 2019,13:00,Wehen,0-3,?,Hannover 96
3,Sat Aug 17 2019,13:00,Stuttgart,2-1,?,St. Pauli
3,Sun Aug 18 2019,13:30,Greuther Fürth,1-0,?,Jahn R'burg
3,Sun Aug 18 2019,13:30,Dynamo Dres,2-1,?,Heidenheim
3,Sun Aug 18 2019,13:30,Holstein Kiel,2-1,?,Karlsruher
3,Mon Aug 19 2019,20:30,Osnabrück,4-0,?,Darmstadt 98
4,Fri Aug 23 2019,18:30,Erzgebirge Aue,0-0,?,Stuttgart
4,Fri Aug 23 2019,18:30,Darmstadt 98,0-0,?,Dynamo Dres
4,Sat Aug 24 2019,13:00,Jahn R'burg,1-3,?,Arminia
4,Sat Aug 24 2019,13:00,Bochum,3-3,?,Wehen
4,Sat Aug 24 2019,13:00,Hannover 96,1-1,?,Greuther Fürth
4,Sun Aug 25 2019,13:30,Heidenheim,0-2,?,Sandhausen
4,Sun Aug 25 2019,13:30,Nürnberg,1-0,?,Osnabrück
4,Sun Aug 25 2019,13:30,Karlsruher,2-4,?,Hamburger SV
4,Mon Aug 26 2019,20:30,St. Pauli,2-1,?,Holstein Kiel
5,Fri Aug 30 2019,18:30,Sandhausen,1-0,?,Darmstadt 98
5,Fri Aug 30 2019,18:30,Nürnberg,2-2,?,Heidenheim
5,Sat Aug 31 2019,13:00,Arminia,2-2,?,Greuther Fürth
5,Sat Aug 31 2019,13:00,Dynamo Dres,3-3,?,St. Pauli
5,Sat Aug 31 2019,13:00,Wehen,0-5,?,Jahn R'burg
5,Sun Sep 1 2019,13:30,Holstein Kiel,1-1,?,Erzgebirge Aue
5,Sun Sep 1 2019,13:30,Hamburger SV,3-0,?,Hannover 96
5,Sun Sep 1 2019,13:30,Osnabrück,3-0,?,Karlsruher
5,Mon Sep 2 2019,20:30,Stuttgart,2-1,?,Bochum
6,Fri Sep 13 2019,18:30,Karlsruher,1-0,?,Sandhausen
6,Fri Sep 13 2019,18:30,Greuther Fürth,2-1,?,Wehen
6,Sat Sep 14 2019,13:00,Jahn R'burg,2-3,?,Stuttgart
6,Sat Sep 14 2019,13:00,Hannover 96,0-2,?,Arminia
6,Sat Sep 14 2019,13:00,Heidenheim,3-0,?,Holstein Kiel
6,Sun Sep 15 2019,13:30,Darmstadt 98,3-3,?,Nürnberg
6,Sun Sep 15 2019,13:30,Bochum,2-2,?,Dynamo Dres
6,Sun Sep 15 2019,13:30,Erzgebirge Aue,1-0,?,Osnabrück
6,Mon Sep 16 2019,20:30,St. Pauli,2-0,?,Hamburger SV
7,Fri Sep 20 2019,18:30,Holstein Kiel,1-2,?,Hannover 96
7,Fri Sep 20 2019,18:30,Heidenheim,1-0,?,Darmstadt 98
7,Sat Sep 21 2019,13:00,Sandhausen,1-1,?,Bochum
7,Sat Sep 21 2019,13:00,Wehen,2-5,?,Arminia
7,Sat Sep 21 2019,13:00,Nürnberg,1-1,?,Karlsruher
7,Sat Sep 21 2019,13:00,Stuttgart,2-0,?,Greuther Fürth
7,Sun Sep 22 2019,13:30,Dynamo Dres,2-1,?,Jahn R'burg
7,Sun Sep 22 2019,13:30,Hamburger SV,4-0,?,Erzgebirge Aue
7,Sun Sep 22 2019,13:30,Osnabrück,1-1,?,St. Pauli
8,Fri Sep 27 2019,18:30,Wehen,2-0,?,Osnabrück
8,Fri Sep 27 2019,18:30,Arminia,0-1,?,Stuttgart
8,Sat Sep 28 2019,13:00,Karlsruher,1-1,?,Heidenheim
8,Sat Sep 28 2019,13:00,Bochum,2-2,?,Darmstadt 98
