Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Sat Aug 17 2019,18:00,Santander,0-1,?,Málaga
1,Sat Aug 17 2019,18:00,Lugo,0-0,?,Extremadura UD
1,Sat Aug 17 2019,19:00,Almería,3-0,?,Albacete
1,Sat Aug 17 2019,20:00,Elche,0-2,?,Fuenlabrada
1,Sat Aug 17 2019,21:00,Rayo Vallecano,2-2,?,CD Mirandés
1,Sat Aug 17 2019,21:00,Zaragoza,2-0,?,Tenerife
1,Sun Aug 18 2019,18:00,Numancia,0-1,?,Alcorcón
1,Sun Aug 18 2019,18:00,La Coruña,3-2,?,Oviedo
1,Sun Aug 18 2019,18:30,Girona,1-1,?,Sporting Gijón
1,Sun Aug 18 2019,19:00,Las Palmas,0-1,?,Huesca
1,Sun Aug 18 2019,20:00,Cádiz,3-1,?,Ponferradina
2,Fri Aug 23 2019,22:00,Albacete,1-0,?,Girona
2,Sat Aug 24 2019,18:00,Oviedo,1-1,?,Lugo
2,Sat Aug 24 2019,18:00,Santander,1-1,?,Almería
2,Sat Aug 24 2019,19:00,CD Mirandés,1-2,?,Cádiz
2,Sat Aug 24 2019,20:00,Alcorcón,1-2,?,Elche
2,Sat Aug 24 2019,21:00,Málaga,1-1,?,Las Palmas
2,Sun Aug 25 2019,18:00,Ponferradina,1-1,?,Zaragoza
2,Sun Aug 25 2019,18:00,Sporting Gijón,1-1,?,Rayo Vallecano
2,Sun Aug 25 2019,19:00,Huesca,3-1,?,La Coruña
2,Sun Aug 25 2019,19:00,Tenerife,3-2,?,Numancia
2,Sun Aug 25 2019,21:00,Extremadura UD,1-2,?,Fuenlabrada
3,Fri Aug 30 2019,21:00,Zaragoza,1-0,?,Elche
3,Sat Aug 31 2019,18:00,Numancia,2-0,?,CD Mirandés
3,Sat Aug 31 2019,18:00,Fuenlabrada,2-1,?,Oviedo
3,Sat Aug 31 2019,20:00,Almería,1-0,?,Huesca
3,Sat Aug 31 2019,20:00,Las Palmas,2-2,?,Santander
3,Sun Sep 1 2019,18:00,Lugo,2-4,?,Alcorcón
3,Sun Sep 1 2019,18:00,Rayo Vallecano,3-1,?,La Coruña
3,Sun Sep 1 2019,18:00,Sporting Gijón,2-0,?,Albacete
3,Sun Sep 1 2019,19:00,Girona,1-0,?,Málaga
3,Sun Sep 1 2019,20:00,Ponferradina,4-0,?,Tenerife
3,Sun Sep 1 2019,21:00,Cádiz,2-1,?,Extremadura UD
4,Fri Sep 6 2019,21:00,Santander,1-2,?,Cádiz
4,Sat Sep 7 2019,16:00,La Coruña,0-1,?,Albacete
4,Sat Sep 7 2019,18:00,Málaga,0-1,?,Almería
4,Sat Sep 7 2019,20:00,Extremadura UD,0-0,?,Numancia
4,Sat Sep 7 2019,20:00,Fuenlabrada,1-1,?,Ponferradina
4,Sat Sep 7 2019,20:00,Tenerife,0-0,?,Las Palmas
4,Sun Sep 8 2019,12:00,Huesca,1-0,?,Sporting Gijón
4,Sun Sep 8 2019,16:00,Girona,3-1,?,Rayo Vallecano
4,Sun Sep 8 2019,18:00,CD Mirandés,2-1,?,Oviedo
4,Sun Sep 8 2019,18:00,Elche,1-1,?,Lugo
4,Sun Sep 8 2019,18:30,Alcorcón,0-3,?,Zaragoza
5,Fri Sep 13 2019,21:00,Rayo Vallecano,2-0,?,Santander
