Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Sat Apr 14 2018,16:00,Cruzeiro,0-1,?,Grêmio
1,Sat Apr 14 2018,19:00,Vitória,2-2,?,Flamengo
1,Sat Apr 14 2018,21:00,Santos,2-0,?,Ceará
1,Sun Apr 15 2018,11:00,América (MG),3-0,?,Sport Recife
1,Sun Apr 15 2018,16:00,Vasco da Gama,2-1,?,Atlético Mineiro
1,Sun Apr 15 2018,16:00,Internacional,2-0,?,Bahia
1,Sun Apr 15 2018,16:00,Corinthians,2-1,?,Fluminense
1,Sun Apr 15 2018,19:00,Atl Paranaense,5-1,?,Chapecoense
1,Mon Apr 16 2018,20:00,São Paulo,1-0,?,Paraná
1,Mon Apr 16 2018,20:00,Botafogo (RJ),1-1,?,Palmeiras
2,Sat Apr 21 2018,16:00,Bahia,1-0,?,Santos
2,Sat Apr 21 2018,19:00,Flamengo,2-0,?,América (MG)
2,Sun Apr 22 2018,11:00,Paraná,0-4,?,Corinthians
2,Sun Apr 22 2018,16:00,Ceará,0-0,?,São Paulo
2,Sun Apr 22 2018,16:00,Chapecoense,1-1,?,Vasco da Gama
2,Sun Apr 22 2018,16:00,Palmeiras,1-0,?,Internacional
2,Sun Apr 22 2018,16:00,Fluminense,1-0,?,Cruzeiro
2,Sun Apr 22 2018,16:00,Atlético Mineiro,2-1,?,Vitória
2,Sun Apr 22 2018,19:00,Grêmio,0-0,?,Atl Paranaense
2,Mon Apr 23 2018,20:00,Sport Recife,1-1,?,Botafogo (RJ)
3,Sat Apr 28 2018,16:00,Botafogo (RJ),2-1,?,Grêmio
3,Sun Apr 29 2018,16:00,Atlético Mineiro,1-0,?,Corinthians
3,Sun Apr 29 2018,16:00,Ceará,0-3,?,Flamengo
3,Sun Apr 29 2018,16:00,Paraná,1-2,?,Sport Recife
3,Sun Apr 29 2018,16:00,Fluminense,1-1,?,São Paulo
3,Sun Apr 29 2018,16:00,Palmeiras,0-0,?,Chapecoense
3,Sun Apr 29 2018,16:00,Bahia,0-0,?,Atl Paranaense
3,Sun Apr 29 2018,19:00,Internacional,0-0,?,Cruzeiro
3,Mon Apr 30 2018,20:00,América (MG),2-1,?,Vitória
4,Sat May 5 2018,19:00,Vasco da Gama,4-1,?,América (MG)
