Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Fri Aug 1 2014,20:00,Nancy,1-1,?,Dijon
1,Fri Aug 1 2014,20:00,Laval,1-1,?,Niort
1,Fri Aug 1 2014,20:00,Tours,4-2,?,Créteil
1,Fri Aug 1 2014,20:00,Gazélec Ajaccio,2-0,?,Valenciennes
1,Fri Aug 1 2014,20:00,Auxerre,2-0,?,Le Havre
1,Fri Aug 1 2014,20:00,Nîmes,3-2,?,Angers
1,Fri Aug 1 2014,20:00,Arles-Avignon,0-0,?,Ajaccio
1,Fri Aug 1 2014,20:00,Châteauroux,0-1,?,Troyes
1,Sat Aug 2 2014,17:00,Sochaux,0-1,?,Orléans
1,Mon Aug 4 2014,20:30,Brest,2-1,?,Clermont Foot
2,Fri Aug 8 2014,20:00,Troyes,1-0,?,Tours
2,Fri Aug 8 2014,20:00,Angers,2-0,?,Arles-Avignon
2,Fri Aug 8 2014,20:00,Niort,0-0,?,Brest
2,Fri Aug 8 2014,20:00,Clermont Foot,1-1,?,Auxerre
2,Fri Aug 8 2014,20:00,Dijon,1-0,?,Laval
2,Fri Aug 8 2014,20:00,Orléans,0-1,?,Nancy
2,Fri Aug 8 2014,20:00,Créteil,3-0,?,Châteauroux
2,Fri Aug 8 2014,20:00,Le Havre,1-1,?,Gazélec Ajaccio
2,Sat Aug 9 2014,13:30,Valenciennes,2-2,?,Nîmes
2,Sat Aug 9 2014,18:00,Ajaccio,0-2,?,Sochaux
3,Fri Aug 15 2014,20:00,Nîmes,2-2,?,Dijon
3,Fri Aug 15 2014,20:00,Laval,1-1,?,Créteil
3,Fri Aug 15 2014,20:00,Châteauroux,3-2,?,Clermont Foot
3,Fri Aug 15 2014,20:00,Auxerre,0-1,?,Orléans
3,Fri Aug 15 2014,20:00,Tours,1-0,?,Valenciennes
3,Fri Aug 15 2014,20:00,Nancy,1-1,?,Arles-Avignon
3,Fri Aug 15 2014,20:00,Niort,1-0,?,Le Havre
3,Sat Aug 16 2014,14:00,Brest,0-0,?,Angers
3,Mon Aug 18 2014,20:00,Gazélec Ajaccio,0-2,?,Ajaccio
3,Mon Aug 18 2014,20:30,Sochaux,0-2,?,Troyes
4,Fri Aug 22 2014,20:00,Nancy,0-0,?,Nîmes
4,Fri Aug 22 2014,20:00,Valenciennes,0-4,?,Le Havre
4,Fri Aug 22 2014,20:00,Arles-Avignon,2-2,?,Sochaux
4,Fri Aug 22 2014,20:00,Créteil,1-1,?,Niort
4,Fri Aug 22 2014,20:00,Orléans,1-0,?,Brest
4,Fri Aug 22 2014,20:00,Angers,1-1,?,Châteauroux
4,Fri Aug 22 2014,20:00,Clermont Foot,3-4,?,Gazélec Ajaccio
4,Fri Aug 22 2014,20:00,Ajaccio,1-0,?,Tours
4,Fri Aug 22 2014,20:00,Troyes,0-0,?,Laval
4,Sat Aug 23 2014,14:00,Dijon,1-0,?,Auxerre
5,Fri Aug 29 2014,20:00,Niort,0-0,?,Clermont Foot
5,Fri Aug 29 2014,20:00,Auxerre,1-2,?,Valenciennes
5,Fri Aug 29 2014,20:00,Châteauroux,0-0,?,Orléans
5,Fri Aug 29 2014,20:00,Sochaux,0-1,?,Dijon
5,Fri Aug 29 2014,20:00,Nîmes,2-2,?,Arles-Avignon
5,Fri Aug 29 2014,20:00,Laval,0-0,?,Ajaccio
5,Fri Aug 29 2014,20:00,Gazélec Ajaccio,0-4,?,Troyes
5,Fri Aug 29 2014,20:00,Le Havre,1-1,?,Créteil
5,Sat Aug 30 2014,14:00,Tours,1-2,?,Angers
5,Mon Sep 1 2014,20:30,Brest,2-0,?,Nancy
6,Fri Sep 12 2014,20:00,Valenciennes,1-1,?,Créteil
6,Fri Sep 12 2014,20:00,Angers,2-0,?,Gazélec Ajaccio
6,Fri Sep 12 2014,20:00,Dijon,1-0,?,Niort
6,Fri Sep 12 2014,20:00,Ajaccio,1-1,?,Châteauroux
6,Fri Sep 12 2014,20:00,Orléans,1-1,?,Laval
6,Fri Sep 12 2014,20:00,Clermont Foot,1-0,?,Le Havre
6,Fri Sep 12 2014,20:00,Arles-Avignon,1-0,?,Tours
6,Fri Sep 12 2014,20:00,Nîmes,0-0,?,Brest
6,Sat Sep 13 2014,14:00,Nancy,1-1,?,Sochaux
6,Mon Sep 15 2014,20:30,Troyes,1-2,?,Auxerre
7,Fri Sep 19 2014,20:00,Sochaux,2-0,?,Nîmes
7,Fri Sep 19 2014,20:00,Brest,1-0,?,Arles-Avignon
7,Fri Sep 19 2014,20:00,Gazélec Ajaccio,2-0,?,Dijon
7,Fri Sep 19 2014,20:00,Niort,3-0,?,Valenciennes
7,Fri Sep 19 2014,20:00,Châteauroux,2-5,?,Nancy
7,Fri Sep 19 2014,20:00,Créteil,2-2,?,Clermont Foot
7,Fri Sep 19 2014,20:00,Tours,4-3,?,Orléans
7,Fri Sep 19 2014,20:00,Laval,3-2,?,Angers
7,Fri Sep 19 2014,20:00,Auxerre,1-1,?,Ajaccio
7,Sat Sep 20 2014,14:00,Le Havre,3-2,?,Troyes
8,Mon Sep 22 2014,20:30,Valenciennes,2-1,?,Clermont Foot
8,Tue Sep 23 2014,20:55,Angers,0-0,?,Auxerre
8,Tue Sep 23 2014,20:55,Arles-Avignon,2-3,?,Laval
8,Tue Sep 23 2014,20:55,Nîmes,1-0,?,Châteauroux
