Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Fri Aug 1 2014,20:30,Düsseldorf,2-2,?,Braunschweig
1,Sat Aug 2 2014,13:00,RB Leipzig,0-0,?,Aalen
1,Sat Aug 2 2014,15:30,St. Pauli,1-1,?,Ingolstadt 04
1,Sat Aug 2 2014,15:30,Bochum,1-1,?,Greuther Fürth
1,Sun Aug 3 2014,13:30,Heidenheim,2-1,?,FSV Frankfurt
1,Sun Aug 3 2014,15:30,Karlsruher,0-0,?,Union Berlin
1,Sun Aug 3 2014,15:30,Nürnberg,1-0,?,Erzgebirge Aue
1,Sun Aug 3 2014,15:30,Darmstadt 98,1-0,?,Sandhausen
1,Mon Aug 4 2014,20:15,Kaiserslautern,3-2,?,1860 Munich
2,Fri Aug 8 2014,18:30,FSV Frankfurt,2-3,?,Karlsruher
2,Fri Aug 8 2014,18:30,Aalen,2-0,?,St. Pauli
2,Fri Aug 8 2014,20:30,Union Berlin,1-1,?,Düsseldorf
2,Sat Aug 9 2014,15:30,Erzgebirge Aue,1-5,?,Bochum
2,Sat Aug 9 2014,15:30,Braunschweig,3-0,?,Heidenheim
2,Sun Aug 10 2014,13:30,Ingolstadt 04,2-2,?,Darmstadt 98
2,Sun Aug 10 2014,15:30,Sandhausen,1-1,?,Kaiserslautern
2,Sun Aug 10 2014,15:30,1860 Munich,0-3,?,RB Leipzig
2,Mon Aug 11 2014,20:15,Greuther Fürth,5-1,?,Nürnberg
3,Fri Aug 22 2014,18:30,St. Pauli,2-1,?,Sandhausen
3,Fri Aug 22 2014,18:30,Heidenheim,2-2,?,1860 Munich
3,Fri Aug 22 2014,18:30,RB Leipzig,1-0,?,Erzgebirge Aue
3,Sat Aug 23 2014,13:00,Nürnberg,0-1,?,FSV Frankfurt
3,Sat Aug 23 2014,13:00,Düsseldorf,0-2,?,Karlsruher
3,Sun Aug 24 2014,13:30,Ingolstadt 04,2-0,?,Greuther Fürth
3,Sun Aug 24 2014,13:30,Darmstadt 98,2-0,?,Aalen
3,Sun Aug 24 2014,13:30,Kaiserslautern,2-1,?,Braunschweig
3,Mon Aug 25 2014,20:15,Bochum,1-1,?,Union Berlin
4,Fri Aug 29 2014,18:30,Aalen,2-2,?,Kaiserslautern
4,Fri Aug 29 2014,18:30,Union Berlin,0-4,?,Nürnberg
4,Fri Aug 29 2014,18:30,FSV Frankfurt,0-0,?,RB Leipzig
4,Sat Aug 30 2014,13:00,Karlsruher,1-1,?,Heidenheim
4,Sat Aug 30 2014,13:00,Erzgebirge Aue,0-3,?,Düsseldorf
4,Sun Aug 31 2014,13:30,Braunschweig,1-2,?,Bochum
4,Sun Aug 31 2014,13:30,Sandhausen,0-3,?,Ingolstadt 04
4,Sun Aug 31 2014,13:30,1860 Munich,1-1,?,Darmstadt 98
4,Mon Sep 1 2014,20:15,Greuther Fürth,3-0,?,St. Pauli
5,Fri Sep 12 2014,18:30,Ingolstadt 04,4-1,?,Aalen
5,Fri Sep 12 2014,18:30,Bochum,1-1,?,Karlsruher
5,Fri Sep 12 2014,18:30,Kaiserslautern,1-0,?,FSV Frankfurt
5,Sat Sep 13 2014,13:00,Darmstadt 98,2-0,?,Erzgebirge Aue
5,Sat Sep 13 2014,13:00,RB Leipzig,3-1,?,Braunschweig
5,Sun Sep 14 2014,13:30,Sandhausen,1-0,?,Greuther Fürth
5,Sun Sep 14 2014,13:30,Heidenheim,3-1,?,Union Berlin
5,Sun Sep 14 2014,13:30,St. Pauli,1-2,?,1860 Munich
5,Mon Sep 15 2014,20:15,Nürnberg,0-2,?,Düsseldorf
6,Fri Sep 19 2014,18:30,Erzgebirge Aue,3-0,?,St. Pauli
6,Fri Sep 19 2014,18:30,Braunschweig,2-0,?,Darmstadt 98
6,Fri Sep 19 2014,18:30,Aalen,0-1,?,Sandhausen
