Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Sat Aug 23 2014,19:00,Málaga,1-0,?,Athletic Club
1,Sat Aug 23 2014,21:00,Granada,2-1,?,La Coruña
1,Sat Aug 23 2014,21:00,Sevilla,1-1,?,Valencia
1,Sat Aug 23 2014,23:00,Almería,1-1,?,Espanyol
1,Sun Aug 24 2014,19:00,Eibar,1-0,?,Real Sociedad
1,Sun Aug 24 2014,21:00,Celta Vigo,3-1,?,Getafe
1,Sun Aug 24 2014,21:00,Barcelona,3-0,?,Elche
1,Sun Aug 24 2014,23:00,Levante,0-2,?,Villarreal
1,Mon Aug 25 2014,20:00,Real Madrid,2-0,?,Córdoba
1,Mon Aug 25 2014,22:00,Rayo Vallecano,0-0,?,Atlético Madrid
2,Fri Aug 29 2014,20:00,Getafe,1-0,?,Almería
2,Fri Aug 29 2014,22:00,Valencia,3-0,?,Málaga
2,Sat Aug 30 2014,19:00,Córdoba,1-1,?,Celta Vigo
2,Sat Aug 30 2014,19:00,Athletic Club,3-0,?,Levante
2,Sat Aug 30 2014,21:00,Atlético Madrid,2-1,?,Eibar
2,Sat Aug 30 2014,23:00,Espanyol,1-2,?,Sevilla
2,Sun Aug 31 2014,19:00,Villarreal,0-1,?,Barcelona
2,Sun Aug 31 2014,21:00,La Coruña,2-2,?,Rayo Vallecano
2,Sun Aug 31 2014,21:00,Real Sociedad,4-2,?,Real Madrid
2,Sun Aug 31 2014,23:00,Elche,1-1,?,Granada
3,Fri Sep 12 2014,21:00,Almería,1-1,?,Córdoba
3,Sat Sep 13 2014,16:00,Barcelona,2-0,?,Athletic Club
3,Sat Sep 13 2014,18:00,Málaga,0-0,?,Levante
3,Sat Sep 13 2014,20:00,Real Madrid,1-2,?,Atlético Madrid
3,Sat Sep 13 2014,22:00,Celta Vigo,2-2,?,Real Sociedad
3,Sun Sep 14 2014,12:00,Rayo Vallecano,2-3,?,Elche
3,Sun Sep 14 2014,17:00,Valencia,3-1,?,Espanyol
3,Sun Sep 14 2014,19:00,Sevilla,2-0,?,Getafe
3,Sun Sep 14 2014,21:00,Granada,0-0,?,Villarreal
3,Mon Sep 15 2014,20:45,Eibar,0-1,?,La Coruña
4,Fri Sep 19 2014,21:00,Elche,0-2,?,Eibar
4,Sat Sep 20 2014,16:00,La Coruña,2-8,?,Real Madrid
4,Sat Sep 20 2014,18:00,Athletic Club,0-1,?,Granada
4,Sat Sep 20 2014,20:00,Atlético Madrid,2-2,?,Celta Vigo
4,Sat Sep 20 2014,22:00,Espanyol,2-2,?,Málaga
4,Sun Sep 21 2014,12:00,Real Sociedad,1-2,?,Almería
4,Sun Sep 21 2014,17:00,Villarreal,4-2,?,Rayo Vallecano
4,Sun Sep 21 2014,19:00,Córdoba,1-3,?,Sevilla
4,Sun Sep 21 2014,21:00,Levante,0-5,?,Barcelona
4,Mon Sep 22 2014,20:45,Getafe,0-3,?,Valencia
5,Tue Sep 23 2014,20:00,Real Madrid,5-1,?,Elche
5,Tue Sep 23 2014,22:00,Celta Vigo,2-1,?,La Coruña
5,Wed Sep 24 2014,20:00,Rayo Vallecano,2-1,?,Athletic Club
5,Wed Sep 24 2014,20:00,Eibar,1-1,?,Villarreal
5,Wed Sep 24 2014,20:00,Almería,0-1,?,Atlético Madrid
5,Wed Sep 24 2014,22:00,Málaga,0-0,?,Barcelona
5,Wed Sep 24 2014,22:00,Granada,0-1,?,Levante
5,Wed Sep 24 2014,22:00,Sevilla,1-0,?,Real Sociedad
5,Thu Sep 25 2014,20:00,Espanyol,2-0,?,Getafe
5,Thu Sep 25 2014,22:00,Valencia,3-0,?,Córdoba
6,Fri Sep 26 2014,21:00,Elche,0-1,?,Celta Vigo
6,Sat Sep 27 2014,16:00,Villarreal,0-2,?,Real Madrid
6,Sat Sep 27 2014,18:00,Barcelona,6-0,?,Granada
6,Sat Sep 27 2014,20:00,Atlético Madrid,4-0,?,Sevilla
6,Sat Sep 27 2014,22:00,Levante,0-2,?,Rayo Vallecano
6,Sat Sep 27 2014,22:00,Athletic Club,0-0,?,Eibar
6,Sun Sep 28 2014,12:00,Getafe,1-0,?,Málaga
6,Sun Sep 28 2014,17:00,La Coruña,0-1,?,Almería
6,Sun Sep 28 2014,19:00,Real Sociedad,1-1,?,Valencia
6,Sun Sep 28 2014,21:00,Córdoba,0-0,?,Espanyol
7,Fri Oct 3 2014,21:00,Getafe,1-1,?,Córdoba
7,Sat Oct 4 2014,16:00,Valencia,3-1,?,Atlético Madrid
7,Sat Oct 4 2014,18:00,Rayo Vallecano,0-2,?,Barcelona
7,Sat Oct 4 2014,20:00,Eibar,3-3,?,Levante
7,Sat Oct 4 2014,22:00,Almería,2-2,?,Elche
7,Sat Oct 4 2014,22:00,Málaga,2-1,?,Granada
7,Sun Oct 5 2014,12:00,Sevilla,4-1,?,La Coruña
7,Sun Oct 5 2014,17:00,Celta Vigo,1-3,?,Villarreal
7,Sun Oct 5 2014,19:00,Espanyol,2-0,?,Real Sociedad
7,Sun Oct 5 2014,21:00,Real Madrid,5-0,?,Athletic Club
8,Fri Oct 17 2014,21:00,Granada,0-1,?,Rayo Vallecano
8,Sat Oct 18 2014,16:00,Levante,0-5,?,Real Madrid
8,Sat Oct 18 2014,18:00,Athletic Club,1-1,?,Celta Vigo
8,Sat Oct 18 2014,20:00,Barcelona,3-0,?,Eibar
8,Sat Oct 18 2014,22:00,Córdoba,1-2,?,Málaga
8,Sun Oct 19 2014,12:00,Atlético Madrid,2-0,?,Espanyol
8,Sun Oct 19 2014,17:00,La Coruña,3-0,?,Valencia
8,Sun Oct 19 2014,19:00,Elche,0-2,?,Sevilla
8,Sun Oct 19 2014,21:00,Villarreal,2-0,?,Almería
8,Mon Oct 20 2014,20:45,Real Sociedad,1-2,?,Getafe
9,Fri Oct 24 2014,21:00,Celta Vigo,3-0,?,Levante
9,Sat Oct 25 2014,16:00,Almería,0-1,?,Athletic Club
9,Sat Oct 25 2014,18:00,Real Madrid,3-1,?,Barcelona
9,Sat Oct 25 2014,20:00,Valencia,3-1,?,Elche
9,Sat Oct 25 2014,22:00,Eibar,1-1,?,Granada
9,Sat Oct 25 2014,22:00,Córdoba,1-1,?,Real Sociedad
9,Sun Oct 26 2014,12:00,Málaga,4-0,?,Rayo Vallecano
9,Sun Oct 26 2014,17:00,Espanyol,0-0,?,La Coruña
9,Sun Oct 26 2014,19:00,Sevilla,2-1,?,Villarreal
9,Sun Oct 26 2014,21:00,Getafe,0-1,?,Atlético Madrid
10,Fri Oct 31 2014,20:45,La Coruña,1-2,?,Getafe
10,Sat Nov 1 2014,16:00,Granada,0-4,?,Real Madrid
10,Sat Nov 1 2014,18:00,Atlético Madrid,4-2,?,Córdoba
10,Sat Nov 1 2014,20:00,Barcelona,0-1,?,Celta Vigo
10,Sat Nov 1 2014,22:00,Real Sociedad,0-1,?,Málaga
10,Sun Nov 2 2014,12:00,Athletic Club,1-0,?,Sevilla
10,Sun Nov 2 2014,17:00,Villarreal,1-3,?,Valencia
10,Sun Nov 2 2014,19:00,Levante,2-1,?,Almería
10,Sun Nov 2 2014,21:00,Elche,2-1,?,Espanyol
10,Mon Nov 3 2014,20:45,Rayo Vallecano,2-3,?,Eibar
11,Fri Nov 7 2014,20:45,Córdoba,0-0,?,La Coruña
11,Sat Nov 8 2014,16:00,Almería,1-2,?,Barcelona
11,Sat Nov 8 2014,18:00,Getafe,0-0,?,Elche
11,Sat Nov 8 2014,20:00,Real Madrid,5-1,?,Rayo Vallecano
11,Sat Nov 8 2014,22:00,Málaga,2-1,?,Eibar
11,Sat Nov 8 2014,22:00,Celta Vigo,0-0,?,Granada
11,Sun Nov 9 2014,12:00,Sevilla,1-1,?,Levante
11,Sun Nov 9 2014,17:00,Espanyol,1-1,?,Villarreal
11,Sun Nov 9 2014,19:00,Valencia,0-0,?,Athletic Club
11,Sun Nov 9 2014,21:00,Real Sociedad,2-1,?,Atlético Madrid
12,Fri Nov 21 2014,20:45,Athletic Club,3-1,?,Espanyol
12,Sat Nov 22 2014,16:00,Atlético Madrid,3-1,?,Málaga
12,Sat Nov 22 2014,18:00,Eibar,0-4,?,Real Madrid
12,Sat Nov 22 2014,20:00,Barcelona,5-1,?,Sevilla
12,Sat Nov 22 2014,22:00,La Coruña,0-0,?,Real Sociedad
12,Sun Nov 23 2014,12:00,Rayo Vallecano,1-0,?,Celta Vigo
12,Sun Nov 23 2014,17:00,Levante,2-1,?,Valencia
12,Sun Nov 23 2014,19:00,Elche,2-2,?,Córdoba
12,Sun Nov 23 2014,21:00,Villarreal,2-1,?,Getafe
12,Mon Nov 24 2014,20:45,Granada,0-0,?,Almería
13,Fri Nov 28 2014,20:45,Real Sociedad,3-0,?,Elche
13,Sat Nov 29 2014,16:00,Getafe,1-2,?,Athletic Club
13,Sat Nov 29 2014,18:00,Espanyol,2-1,?,Levante
13,Sat Nov 29 2014,20:00,Málaga,1-2,?,Real Madrid
13,Sat Nov 29 2014,22:00,Celta Vigo,0-1,?,Eibar
