Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Fri Aug 22 2014,20:30,Bayern Munich,2-1,?,Wolfsburg
1,Sat Aug 23 2014,15:30,Köln,0-0,?,Hamburger SV
1,Sat Aug 23 2014,15:30,Hoffenheim,2-0,?,Augsburg
1,Sat Aug 23 2014,15:30,Hertha BSC,2-2,?,Werder Bremen
1,Sat Aug 23 2014,15:30,Hannover 96,2-1,?,Schalke 04
1,Sat Aug 23 2014,15:30,Eint Frankfurt,1-0,?,Freiburg
1,Sat Aug 23 2014,18:30,Dortmund,0-2,?,Leverkusen
1,Sun Aug 24 2014,15:30,Paderborn 07,2-2,?,Mainz 05
1,Sun Aug 24 2014,17:30,M'gladbach,1-1,?,Stuttgart
2,Fri Aug 29 2014,20:30,Augsburg,2-3,?,Dortmund
2,Sat Aug 30 2014,15:30,Leverkusen,4-2,?,Hertha BSC
2,Sat Aug 30 2014,15:30,Hamburger SV,0-3,?,Paderborn 07
2,Sat Aug 30 2014,15:30,Stuttgart,0-2,?,Köln
2,Sat Aug 30 2014,15:30,Wolfsburg,2-2,?,Eint Frankfurt
2,Sat Aug 30 2014,15:30,Werder Bremen,1-1,?,Hoffenheim
2,Sat Aug 30 2014,18:30,Schalke 04,1-1,?,Bayern Munich
2,Sun Aug 31 2014,15:30,Mainz 05,0-0,?,Hannover 96
2,Sun Aug 31 2014,17:30,Freiburg,0-0,?,M'gladbach
3,Fri Sep 12 2014,20:30,Leverkusen,3-3,?,Werder Bremen
3,Sat Sep 13 2014,15:30,Dortmund,3-1,?,Freiburg
3,Sat Sep 13 2014,15:30,Hoffenheim,1-1,?,Wolfsburg
3,Sat Sep 13 2014,15:30,Paderborn 07,0-0,?,Köln
3,Sat Sep 13 2014,15:30,Hertha BSC,1-3,?,Mainz 05
3,Sat Sep 13 2014,15:30,Bayern Munich,2-0,?,Stuttgart
3,Sat Sep 13 2014,18:30,M'gladbach,4-1,?,Schalke 04
3,Sun Sep 14 2014,15:30,Eint Frankfurt,0-1,?,Augsburg
3,Sun Sep 14 2014,17:30,Hannover 96,2-0,?,Hamburger SV
4,Fri Sep 19 2014,20:30,Freiburg,2-2,?,Hertha BSC
4,Sat Sep 20 2014,15:30,Stuttgart,0-2,?,Hoffenheim
4,Sat Sep 20 2014,15:30,Paderborn 07,2-0,?,Hannover 96
4,Sat Sep 20 2014,15:30,Schalke 04,2-2,?,Eint Frankfurt
4,Sat Sep 20 2014,15:30,Augsburg,4-2,?,Werder Bremen
4,Sat Sep 20 2014,15:30,Hamburger SV,0-0,?,Bayern Munich
4,Sat Sep 20 2014,18:30,Mainz 05,2-0,?,Dortmund
4,Sun Sep 21 2014,15:30,Wolfsburg,4-1,?,Leverkusen
4,Sun Sep 21 2014,17:30,Köln,0-0,?,M'gladbach
5,Tue Sep 23 2014,20:00,Bayern Munich,4-0,?,Paderborn 07
5,Tue Sep 23 2014,20:00,Hoffenheim,3-3,?,Freiburg
5,Tue Sep 23 2014,20:00,Eint Frankfurt,2-2,?,Mainz 05
5,Tue Sep 23 2014,20:00,Werder Bremen,0-3,?,Schalke 04
5,Wed Sep 24 2014,20:00,Hannover 96,1-0,?,Köln
5,Wed Sep 24 2014,20:00,Dortmund,2-2,?,Stuttgart
5,Wed Sep 24 2014,20:00,Leverkusen,1-0,?,Augsburg
5,Wed Sep 24 2014,20:00,M'gladbach,1-0,?,Hamburger SV
5,Wed Sep 24 2014,20:00,Hertha BSC,1-0,?,Wolfsburg
6,Fri Sep 26 2014,20:30,Mainz 05,0-0,?,Hoffenheim
6,Sat Sep 27 2014,15:30,Freiburg,0-0,?,Leverkusen
6,Sat Sep 27 2014,15:30,Stuttgart,1-0,?,Hannover 96
6,Sat Sep 27 2014,15:30,Schalke 04,2-1,?,Dortmund
6,Sat Sep 27 2014,15:30,Köln,0-2,?,Bayern Munich
6,Sat Sep 27 2014,15:30,Paderborn 07,1-2,?,M'gladbach
6,Sat Sep 27 2014,18:30,Wolfsburg,2-1,?,Werder Bremen
6,Sun Sep 28 2014,15:30,Augsburg,1-0,?,Hertha BSC
6,Sun Sep 28 2014,17:30,Hamburger SV,1-2,?,Eint Frankfurt
7,Fri Oct 3 2014,20:30,Hertha BSC,3-2,?,Stuttgart
7,Sat Oct 4 2014,15:30,Bayern Munich,4-0,?,Hannover 96
7,Sat Oct 4 2014,15:30,Werder Bremen,1-1,?,Freiburg
7,Sat Oct 4 2014,15:30,Hoffenheim,2-1,?,Schalke 04
7,Sat Oct 4 2014,15:30,Leverkusen,2-2,?,Paderborn 07
7,Sat Oct 4 2014,15:30,Dortmund,0-1,?,Hamburger SV
7,Sat Oct 4 2014,18:30,Eint Frankfurt,3-2,?,Köln
7,Sun Oct 5 2014,15:30,Wolfsburg,1-0,?,Augsburg
7,Sun Oct 5 2014,17:30,M'gladbach,1-1,?,Mainz 05
8,Sat Oct 18 2014,15:30,Köln,2-1,?,Dortmund
8,Sat Oct 18 2014,15:30,Stuttgart,3-3,?,Leverkusen
8,Sat Oct 18 2014,15:30,Bayern Munich,6-0,?,Werder Bremen
8,Sat Oct 18 2014,15:30,Mainz 05,2-1,?,Augsburg
8,Sat Oct 18 2014,15:30,Freiburg,1-2,?,Wolfsburg
8,Sat Oct 18 2014,15:30,Hannover 96,0-3,?,M'gladbach
8,Sat Oct 18 2014,18:30,Schalke 04,2-0,?,Hertha BSC
8,Sun Oct 19 2014,15:30,Hamburger SV,1-1,?,Hoffenheim
8,Sun Oct 19 2014,17:30,Paderborn 07,3-1,?,Eint Frankfurt
9,Fri Oct 24 2014,20:30,Werder Bremen,0-1,?,Köln
9,Sat Oct 25 2014,15:30,Hertha BSC,3-0,?,Hamburger SV
9,Sat Oct 25 2014,15:30,Augsburg,2-0,?,Freiburg
9,Sat Oct 25 2014,15:30,Dortmund,0-1,?,Hannover 96
9,Sat Oct 25 2014,15:30,Hoffenheim,1-0,?,Paderborn 07
9,Sat Oct 25 2014,15:30,Eint Frankfurt,4-5,?,Stuttgart
9,Sat Oct 25 2014,18:30,Leverkusen,1-0,?,Schalke 04
9,Sun Oct 26 2014,15:30,Wolfsburg,3-0,?,Mainz 05
9,Sun Oct 26 2014,17:30,M'gladbach,0-0,?,Bayern Munich
10,Fri Oct 31 2014,20:30,Schalke 04,1-0,?,Augsburg
10,Sat Nov 1 2014,15:30,Hannover 96,1-0,?,Eint Frankfurt
10,Sat Nov 1 2014,15:30,Mainz 05,1-2,?,Werder Bremen
10,Sat Nov 1 2014,15:30,Stuttgart,0-4,?,Wolfsburg
10,Sat Nov 1 2014,15:30,Hamburger SV,1-0,?,Leverkusen
10,Sat Nov 1 2014,18:30,Bayern Munich,2-1,?,Dortmund
10,Sun Nov 2 2014,15:30,M'gladbach,3-1,?,Hoffenheim
10,Sun Nov 2 2014,17:30,Paderborn 07,3-1,?,Hertha BSC
10,Sun Nov 2 2014,17:30,Köln,0-1,?,Freiburg
11,Fri Nov 7 2014,20:30,Hertha BSC,0-2,?,Hannover 96
11,Sat Nov 8 2014,15:30,Hoffenheim,3-4,?,Köln
11,Sat Nov 8 2014,15:30,Eint Frankfurt,0-4,?,Bayern Munich
11,Sat Nov 8 2014,15:30,Freiburg,2-0,?,Schalke 04
11,Sat Nov 8 2014,15:30,Augsburg,3-0,?,Paderborn 07
11,Sat Nov 8 2014,15:30,Leverkusen,0-0,?,Mainz 05
11,Sat Nov 8 2014,18:30,Werder Bremen,2-0,?,Stuttgart
11,Sun Nov 9 2014,15:30,Wolfsburg,2-0,?,Hamburger SV
11,Sun Nov 9 2014,17:30,Dortmund,1-0,?,M'gladbach
12,Sat Nov 22 2014,15:30,Paderborn 07,2-2,?,Dortmund
12,Sat Nov 22 2014,15:30,Hannover 96,1-3,?,Leverkusen
12,Sat Nov 22 2014,15:30,Mainz 05,2-2,?,Freiburg
12,Sat Nov 22 2014,15:30,Bayern Munich,4-0,?,Hoffenheim
12,Sat Nov 22 2014,15:30,M'gladbach,1-3,?,Eint Frankfurt
12,Sat Nov 22 2014,15:30,Schalke 04,3-2,?,Wolfsburg
