Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Sat Aug 17 2002,?,Leeds United,3-0,?,Manchester City
1,Sat Aug 17 2002,?,Fulham,4-1,?,Bolton
1,Sat Aug 17 2002,?,Southampton,0-0,?,Middlesbrough
1,Sat Aug 17 2002,?,Everton,2-2,?,Tottenham
1,Sat Aug 17 2002,?,Blackburn,0-0,?,Sunderland
1,Sat Aug 17 2002,?,Charlton Ath,2-3,?,Chelsea
1,Sat Aug 17 2002,?,Manchester Utd,1-0,?,West Brom
1,Sun Aug 18 2002,?,Aston Villa,0-1,?,Liverpool
1,Sun Aug 18 2002,?,Arsenal,2-0,?,Birmingham City
1,Mon Aug 19 2002,?,Newcastle Utd,4-0,?,West Ham
2,Fri Aug 23 2002,?,Chelsea,2-2,?,Manchester Utd
2,Sat Aug 24 2002,?,Bolton,1-2,?,Charlton Ath
2,Sat Aug 24 2002,?,Manchester City,1-0,?,Newcastle Utd
2,Sat Aug 24 2002,?,West Ham,2-2,?,Arsenal
2,Sat Aug 24 2002,?,West Brom,1-3,?,Leeds United
2,Sat Aug 24 2002,?,Sunderland,0-1,?,Everton
2,Sat Aug 24 2002,?,Birmingham City,0-1,?,Blackburn
2,Sat Aug 24 2002,?,Middlesbrough,2-2,?,Fulham
2,Sat Aug 24 2002,?,Liverpool,3-0,?,Southampton
2,Sat Aug 24 2002,?,Tottenham,1-0,?,Aston Villa
3,Tue Aug 27 2002,?,Charlton Ath,0-1,?,Tottenham
3,Tue Aug 27 2002,?,Arsenal,5-2,?,West Brom
3,Wed Aug 28 2002,?,Blackburn,2-2,?,Liverpool
3,Wed Aug 28 2002,?,Southampton,1-1,?,Chelsea
3,Wed Aug 28 2002,?,Aston Villa,1-0,?,Manchester City
3,Wed Aug 28 2002,?,Everton,1-1,?,Birmingham City
3,Wed Aug 28 2002,?,Leeds United,0-1,?,Sunderland
4,Sat Aug 31 2002,?,Sunderland,1-1,?,Manchester Utd
4,Sat Aug 31 2002,?,Middlesbrough,1-0,?,Blackburn
4,Sat Aug 31 2002,?,West Brom,1-0,?,Fulham
4,Sat Aug 31 2002,?,Manchester City,3-1,?,Everton
4,Sat Aug 31 2002,?,Tottenham,2-1,?,Southampton
4,Sat Aug 31 2002,?,West Ham,0-2,?,Charlton Ath
4,Sat Aug 31 2002,?,Birmingham City,2-1,?,Leeds United
4,Sun Sep 1 2002,?,Chelsea,1-1,?,Arsenal
4,Sun Sep 1 2002,?,Bolton,1-0,?,Aston Villa
4,Mon Sep 2 2002,?,Liverpool,2-2,?,Newcastle Utd
3,Tue Sep 3 2002,?,Manchester Utd,1-0,?,Middlesbrough
5,Tue Sep 10 2002,?,Middlesbrough,3-0,?,Sunderland
5,Tue Sep 10 2002,?,Arsenal,2-1,?,Manchester City
5,Wed Sep 11 2002,?,West Ham,0-1,?,West Brom
5,Wed Sep 11 2002,?,Newcastle Utd,0-2,?,Leeds United
5,Wed Sep 11 2002,?,Aston Villa,2-0,?,Charlton Ath
5,Wed Sep 11 2002,?,Manchester Utd,0-1,?,Bolton
5,Wed Sep 11 2002,?,Fulham,3-2,?,Tottenham
5,Wed Sep 11 2002,?,Southampton,1-0,?,Everton
5,Wed Sep 11 2002,?,Blackburn,2-3,?,Chelsea
5,Wed Sep 11 2002,?,Liverpool,2-2,?,Birmingham City
6,Sat Sep 14 2002,?,Leeds United,1-0,?,Manchester Utd
6,Sat Sep 14 2002,?,West Brom,1-0,?,Southampton
6,Sat Sep 14 2002,?,Bolton,2-3,?,Liverpool
6,Sat Sep 14 2002,?,Chelsea,3-0,?,Newcastle Utd
6,Sat Sep 14 2002,?,Charlton Ath,0-3,?,Arsenal
6,Sat Sep 14 2002,?,Sunderland,0-3,?,Fulham
6,Sat Sep 14 2002,?,Everton,2-1,?,Middlesbrough
6,Sun Sep 15 2002,?,Manchester City,2-2,?,Blackburn
6,Sun Sep 15 2002,?,Tottenham,3-2,?,West Ham
6,Mon Sep 16 2002,?,Birmingham City,3-0,?,Aston Villa
7,Sat Sep 21 2002,?,Southampton,0-0,?,Charlton Ath
7,Sat Sep 21 2002,?,Liverpool,2-0,?,West Brom
7,Sat Sep 21 2002,?,West Ham,0-0,?,Manchester City
7,Sat Sep 21 2002,?,Middlesbrough,1-0,?,Birmingham City
7,Sat Sep 21 2002,?,Newcastle Utd,2-0,?,Sunderland
7,Sat Sep 21 2002,?,Manchester Utd,1-0,?,Tottenham
7,Sat Sep 21 2002,?,Arsenal,2-1,?,Bolton
7,Sun Sep 22 2002,?,Blackburn,1-0,?,Leeds United
7,Sun Sep 22 2002,?,Aston Villa,3-2,?,Everton
7,Mon Sep 23 2002,?,Fulham,0-0,?,Chelsea
8,Sat Sep 28 2002,?,Manchester City,0-3,?,Liverpool
8,Sat Sep 28 2002,?,Chelsea,2-3,?,West Ham
8,Sat Sep 28 2002,?,Everton,2-0,?,Fulham
8,Sat Sep 28 2002,?,Bolton,1-1,?,Southampton
8,Sat Sep 28 2002,?,Birmingham City,0-2,?,Newcastle Utd
8,Sat Sep 28 2002,?,Sunderland,1-0,?,Aston Villa
8,Sat Sep 28 2002,?,Tottenham,0-3,?,Middlesbrough
8,Sat Sep 28 2002,?,Leeds United,1-4,?,Arsenal
8,Sat Sep 28 2002,?,Charlton Ath,1-3,?,Manchester Utd
8,Mon Sep 30 2002,?,West Brom,0-2,?,Blackburn
9,Sat Oct 5 2002,?,Middlesbrough,2-0,?,Bolton
9,Sat Oct 5 2002,?,Newcastle Utd,2-1,?,West Brom
9,Sat Oct 5 2002,?,Southampton,2-0,?,Manchester City
9,Sat Oct 5 2002,?,West Ham,1-2,?,Birmingham City
9,Sun Oct 6 2002,?,Aston Villa,0-0,?,Leeds United
9,Sun Oct 6 2002,?,Liverpool,1-0,?,Chelsea
9,Sun Oct 6 2002,?,Blackburn,1-2,?,Tottenham
9,Sun Oct 6 2002,?,Fulham,1-0,?,Charlton Ath
