Matchday,Date,Team 1,FT,HT,Team 2
1,Sat Aug 14 1976,Bor. Mönchengladbach,1-1,1-1,MSV Duisburg
1,Sat Aug 14 1976,Karlsruher SC,0-3,0-2,Hertha BSC
1,Sat Aug 14 1976,1. FC Saarbrücken,0-1,0-0,VfL Bochum
1,Sat Aug 14 1976,Hamburger SV,3-4,0-3,Borussia Dortmund
1,Sat Aug 14 1976,FC Schalke 04,3-2,2-1,Werder Bremen
1,Sat Aug 14 1976,1. FC Köln,3-1,2-0,1. FC Kaiserslautern
1,Sat Aug 14 1976,Tennis Borussia Berlin,2-2,1-1,Rot-Weiss Essen
1,Sat Aug 14 1976,Eintracht Braunschweig,3-1,1-1,Eintracht Frankfurt
1,Sat Aug 14 1976,Bayern München,2-1,0-1,Fortuna Düsseldorf
2,Fri Aug 20 1976,1. FC Kaiserslautern,2-0,0-0,FC Schalke 04
2,Sat Aug 21 1976,Eintracht Frankfurt,7-1,3-0,Tennis Borussia Berlin
2,Sat Aug 21 1976,Rot-Weiss Essen,0-3,0-1,1. FC Köln
2,Sat Aug 21 1976,Fortuna Düsseldorf,1-3,1-2,Eintracht Braunschweig
2,Sat Aug 21 1976,Borussia Dortmund,2-1,2-0,1. FC Saarbrücken
2,Sat Aug 21 1976,MSV Duisburg,5-2,3-1,Bayern München
2,Sat Aug 21 1976,Hertha BSC,0-1,0-1,Bor. Mönchengladbach
2,Sat Aug 21 1976,Werder Bremen,2-2,1-1,Hamburger SV
3,Fri Aug 27 1976,Bayern München,2-2,0-0,Eintracht Braunschweig
3,Fri Aug 27 1976,Hamburger SV,1-0,0-0,1. FC Kaiserslautern
3,Sat Aug 28 1976,Tennis Borussia Berlin,4-2,2-1,Fortuna Düsseldorf
3,Sat Aug 28 1976,Karlsruher SC,2-1,0-0,Borussia Dortmund
3,Sat Aug 28 1976,1. FC Saarbrücken,2-0,1-0,Werder Bremen
3,Sat Aug 28 1976,FC Schalke 04,3-0,3-0,Rot-Weiss Essen
3,Sat Aug 28 1976,1. FC Köln,2-0,1-0,Eintracht Frankfurt
3,Sat Aug 28 1976,MSV Duisburg,1-1,1-0,Hertha BSC
3,Sat Aug 28 1976,Bor. Mönchengladbach,4-2,1-1,VfL Bochum
4,Fri Sep 3 1976,Eintracht Frankfurt,6-3,0-2,FC Schalke 04
4,Fri Sep 3 1976,Eintracht Braunschweig,3-1,2-0,Tennis Borussia Berlin
4,Fri Sep 3 1976,VfL Bochum,2-1,2-1,MSV Duisburg
4,Sat Sep 4 1976,Fortuna Düsseldorf,1-3,0-1,1. FC Köln
4,Sat Sep 4 1976,Hertha BSC,1-1,0-1,Bayern München
4,Sat Sep 4 1976,Werder Bremen,1-1,1-1,Karlsruher SC
4,Sat Sep 4 1976,1. FC Kaiserslautern,1-0,1-0,1. FC Saarbrücken
