Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 20 Aug 1994 (33),Farense (1),0-2,?,Sp Lisbon (1)
?,(Sun) 21 Aug 1994 (33),Belenenses (1),0-0,?,Est Amadora (1)
?,(Sun) 21 Aug 1994 (33),Benfica (1),2-0,?,Beira Mar (1)
?,(Sun) 21 Aug 1994 (33),Desp. Chaves (1),0-1,?,Salgueiros (1)
?,(Sun) 21 Aug 1994 (33),Gil Vicente (1),0-1,?,Tirsense (1)
?,(Sun) 21 Aug 1994 (33),Guimaraes (1),2-0,?,Boavista (1)
?,(Sun) 21 Aug 1994 (33),Leiria (1),1-2,?,Madeira (1)
?,(Sun) 21 Aug 1994 (33),Maritimo (1),3-2,?,Setubal (1)
?,(Sun) 21 Aug 1994 (33),Porto (1),2-0,?,Sp Braga (1)
?,(Sat) 27 Aug 1994 (34),Sp Lisbon (2),2-1,?,Belenenses (2)
?,(Sun) 28 Aug 1994 (34),Beira Mar (2),0-2,?,Porto (2)
?,(Sun) 28 Aug 1994 (34),Boavista (2),2-1,?,Farense (2)
?,(Sun) 28 Aug 1994 (34),Est Amadora (2),1-1,?,Maritimo (2)
?,(Sun) 28 Aug 1994 (34),Madeira (2),0-2,?,Benfica (2)
?,(Sun) 28 Aug 1994 (34),Salgueiros (2),0-0,?,Guimaraes (2)
?,(Sun) 28 Aug 1994 (34),Setubal (2),2-2,?,Leiria (2)
?,(Sun) 28 Aug 1994 (34),Sp Braga (2),1-1,?,Gil Vicente (2)
?,(Sun) 28 Aug 1994 (34),Tirsense (2),0-1,?,Desp. Chaves (2)
?,(Fri) 9 Sep 1994 (36),Maritimo (3),2-0,?,Leiria (3)
?,(Sat) 10 Sep 1994 (36),Belenenses (3),3-1,?,Boavista (3)
?,(Sat) 10 Sep 1994 (36),Benfica (3),1-0,?,Setubal (3)
?,(Sat) 10 Sep 1994 (36),Est Amadora (3),0-2,?,Sp Lisbon (3)
?,(Sun) 11 Sep 1994 (36),Desp. Chaves (3),1-0,?,Sp Braga (3)
?,(Sun) 11 Sep 1994 (36),Farense (3),1-0,?,Salgueiros (3)
?,(Sun) 11 Sep 1994 (36),Gil Vicente (3),0-1,?,Beira Mar (3)
?,(Sun) 11 Sep 1994 (36),Guimaraes (3),1-0,?,Tirsense (3)
?,(Sun) 11 Sep 1994 (36),Porto (3),3-0,?,Madeira (3)
?,(Sat) 17 Sep 1994 (37),Beira Mar (4),4-2,?,Desp. Chaves (4)
?,(Sat) 17 Sep 1994 (37),Boavista (4),2-1,?,Est Amadora (4)
?,(Sat) 17 Sep 1994 (37),Leiria (4),1-0,?,Benfica (4)
?,(Sat) 17 Sep 1994 (37),Madeira (4),2-0,?,Gil Vicente (4)
?,(Sat) 17 Sep 1994 (37),Salgueiros (4),1-0,?,Belenenses (4)
?,(Sat) 17 Sep 1994 (37),Setubal (4),2-3,?,Porto (4)
?,(Sat) 17 Sep 1994 (37),Sp Braga (4),3-1,?,Guimaraes (4)
?,(Sat) 17 Sep 1994 (37),Sp Lisbon (4),2-0,?,Maritimo (4)
?,(Sat) 17 Sep 1994 (37),Tirsense (4),3-0,?,Farense (4)
?,(Sat) 24 Sep 1994 (38),Belenenses (5),0-1,?,Tirsense (5)
?,(Sat) 24 Sep 1994 (38),Desp. Chaves (5),5-1,?,Madeira (5)
?,(Sat) 24 Sep 1994 (38),Est Amadora (5),4-0,?,Salgueiros (5)
?,(Sat) 24 Sep 1994 (38),Farense (5),0-1,?,Sp Braga (5)
?,(Sat) 24 Sep 1994 (38),Gil Vicente (5),3-0,?,Setubal (5)
?,(Sat) 24 Sep 1994 (38),Guimaraes (5),1-0,?,Beira Mar (5)
?,(Sat) 24 Sep 1994 (38),Porto (5),2-0,?,Leiria (5)
?,(Sat) 24 Sep 1994 (38),Sp Lisbon (5),2-2,?,Boavista (5)
?,(Sat) 1 Oct 1994 (39),Beira Mar (6),1-3,?,Farense (6)
