Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Sat Aug 13 2011,?,Wigan Athletic,1–1,?,Norwich City
1,Sat Aug 13 2011,?,QPR,0–4,?,Bolton
1,Sat Aug 13 2011,?,Fulham,0–0,?,Aston Villa
1,Sat Aug 13 2011,?,Blackburn,1–2,?,Wolves
1,Sat Aug 13 2011,?,Newcastle Utd,0–0,?,Arsenal
1,Sat Aug 13 2011,?,Liverpool,1–1,?,Sunderland
1,Sun Aug 14 2011,?,Stoke City,0–0,?,Chelsea
1,Sun Aug 14 2011,?,West Brom,1–2,?,Manchester Utd
1,Mon Aug 15 2011,?,Manchester City,4–0,?,Swansea City
2,Sat Aug 20 2011,?,Arsenal,0–2,?,Liverpool
2,Sat Aug 20 2011,?,Swansea City,0–0,?,Wigan Athletic
2,Sat Aug 20 2011,?,Sunderland,0–1,?,Newcastle Utd
2,Sat Aug 20 2011,?,Chelsea,2–1,?,West Brom
2,Sat Aug 20 2011,?,Aston Villa,3–1,?,Blackburn
2,Sat Aug 20 2011,?,Everton,0–1,?,QPR
2,Sun Aug 21 2011,?,Wolves,2–0,?,Fulham
2,Sun Aug 21 2011,?,Bolton,2–3,?,Manchester City
2,Sun Aug 21 2011,?,Norwich City,1–1,?,Stoke City
2,Mon Aug 22 2011,?,Manchester Utd,3–0,?,Tottenham
3,Sat Aug 27 2011,?,Chelsea,3–1,?,Norwich City
3,Sat Aug 27 2011,?,Blackburn,0–1,?,Everton
3,Sat Aug 27 2011,?,Wigan Athletic,2–0,?,QPR
3,Sat Aug 27 2011,?,Liverpool,3–1,?,Bolton
3,Sat Aug 27 2011,?,Swansea City,0–0,?,Sunderland
3,Sat Aug 27 2011,?,Aston Villa,0–0,?,Wolves
3,Sun Aug 28 2011,?,Manchester Utd,8–2,?,Arsenal
3,Sun Aug 28 2011,?,Newcastle Utd,2–1,?,Fulham
3,Sun Aug 28 2011,?,West Brom,0–1,?,Stoke City
3,Sun Aug 28 2011,?,Tottenham,1–5,?,Manchester City
4,Sat Sep 10 2011,?,Wolves,0–2,?,Tottenham
4,Sat Sep 10 2011,?,Manchester City,3–0,?,Wigan Athletic
4,Sat Sep 10 2011,?,Arsenal,1–0,?,Swansea City
4,Sat Sep 10 2011,?,Everton,2–2,?,Aston Villa
4,Sat Sep 10 2011,?,Sunderland,1–2,?,Chelsea
4,Sat Sep 10 2011,?,Bolton,0–5,?,Manchester Utd
4,Sat Sep 10 2011,?,Stoke City,1–0,?,Liverpool
4,Sun Sep 11 2011,?,Fulham,1–1,?,Blackburn
4,Sun Sep 11 2011,?,Norwich City,0–1,?,West Brom
4,Mon Sep 12 2011,?,QPR,0–0,?,Newcastle Utd
5,Sat Sep 17 2011,?,Swansea City,3–0,?,West Brom
5,Sat Sep 17 2011,?,Blackburn,4–3,?,Arsenal
5,Sat Sep 17 2011,?,Bolton,1–2,?,Norwich City
5,Sat Sep 17 2011,?,Everton,3–1,?,Wigan Athletic
5,Sat Sep 17 2011,?,Aston Villa,1–1,?,Newcastle Utd
5,Sat Sep 17 2011,?,Wolves,0–3,?,QPR
5,Sun Sep 18 2011,?,Manchester Utd,3–1,?,Chelsea
5,Sun Sep 18 2011,?,Sunderland,4–0,?,Stoke City
5,Sun Sep 18 2011,?,Tottenham,4–0,?,Liverpool
5,Sun Sep 18 2011,?,Fulham,2–2,?,Manchester City
6,Sat Sep 24 2011,?,Chelsea,4–1,?,Swansea City
6,Sat Sep 24 2011,?,Liverpool,2–1,?,Wolves
