Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 12 Aug 2011 (32),Gil Vicente (1),2-2,1-2,SL Benfica (1)
?,(Sat) 13 Aug 2011 (32),Rio Ave FC (1),0-0,0-0,SC Braga (1)
?,(Sat) 13 Aug 2011 (32),Sporting Clube de Portugal (1),1-1,0-1,Olhanense (1)
?,(Sun) 14 Aug 2011 (32),CD Feirense (1),0-0,0-0,Nacional (1)
?,(Sun) 14 Aug 2011 (32),Vitória de Guimarães (1),0-1,0-1,FC Porto (1)
?,(Sun) 14 Aug 2011 (32),CS Marítimo (1),0-0,0-0,Beira Mar (1)
?,(Sun) 14 Aug 2011 (32),Vitória de Setúbal (1),2-1,0-1,FC Paços de Ferreira (1)
?,(Mon) 15 Aug 2011 (33),Leiria (1),1-2,1-0,Academica (1)
?,(Fri) 19 Aug 2011 (33),FC Porto (2),3-1,2-1,Gil Vicente (2)
?,(Sat) 20 Aug 2011 (33),SL Benfica (2),3-1,1-0,CD Feirense (2)
?,(Sun) 21 Aug 2011 (33),Academica (2),1-0,1-0,Rio Ave FC (2)
?,(Sun) 21 Aug 2011 (33),Beira Mar (2),0-0,0-0,Sporting Clube de Portugal (2)
?,(Sun) 21 Aug 2011 (33),FC Paços de Ferreira (2),2-1,0-0,Leiria (2)
?,(Sun) 21 Aug 2011 (33),SC Braga (2),2-0,0-0,CS Marítimo (2)
?,(Mon) 22 Aug 2011 (34),Olhanense (2),2-2,0-2,Vitória de Setúbal (2)
?,(Sat) 27 Aug 2011 (34),Gil Vicente (3),2-0,0-0,Academica (3)
?,(Sun) 28 Aug 2011 (34),CD Feirense (3),0-0,0-0,FC Paços de Ferreira (3)
?,(Sun) 28 Aug 2011 (34),Vitória de Guimarães (2),0-3,0-1,Beira Mar (3)
?,(Sun) 28 Aug 2011 (34),Rio Ave FC (3),0-1,0-1,Olhanense (3)
?,(Sun) 28 Aug 2011 (34),Sporting Clube de Portugal (3),2-3,1-0,CS Marítimo (3)
?,(Mon) 29 Aug 2011 (35),Nacional (2),0-2,0-1,SL Benfica (3)
?,(Mon) 29 Aug 2011 (35),Vitória de Setúbal (3),0-1,0-0,SC Braga (3)
?,(Sun) 4 Sep 2011 (35),Nacional (3),1-4,0-2,Vitória de Guimarães (3)
?,(Tue) 6 Sep 2011 (36),Leiria (3),2-5,0-2,FC Porto (3)
?,(Fri) 9 Sep 2011 (36),FC Porto (4),3-0,0-0,Vitória de Setúbal (4)
?,(Sat) 10 Sep 2011 (36),SL Benfica (4),2-1,2-0,Vitória de Guimarães (4)
?,(Sat) 10 Sep 2011 (36),FC Paços de Ferreira (4),2-3,1-0,Sporting Clube de Portugal (4)
?,(Sun) 11 Sep 2011 (36),Beira Mar (4),0-1,0-0,Leiria (4)
?,(Sun) 11 Sep 2011 (36),CS Marítimo (4),2-1,1-1,Rio Ave FC (4)
?,(Sun) 11 Sep 2011 (36),Olhanense (4),1-2,0-1,CD Feirense (4)
?,(Sun) 11 Sep 2011 (36),SC Braga (4),3-1,0-0,Gil Vicente (4)
?,(Mon) 12 Sep 2011 (37),Academica (4),4-0,0-0,Nacional (4)
?,(Fri) 16 Sep 2011 (37),Gil Vicente (5),1-1,0-1,Olhanense (5)
?,(Sat) 17 Sep 2011 (37),Nacional (5),1-0,1-0,FC Paços de Ferreira (5)
?,(Sun) 18 Sep 2011 (37),SL Benfica (5),4-1,2-1,Academica (5)
?,(Sun) 18 Sep 2011 (37),CD Feirense (5),0-0,0-0,FC Porto (5)
?,(Sun) 18 Sep 2011 (37),Leiria (5),1-3,0-2,CS Marítimo (5)
?,(Sun) 18 Sep 2011 (37),Vitória de Setúbal (5),1-0,0-0,Beira Mar (5)
?,(Mon) 19 Sep 2011 (38),Vitória de Guimarães (5),1-1,1-0,SC Braga (5)
?,(Mon) 19 Sep 2011 (38),Rio Ave FC (5),2-3,0-2,Sporting Clube de Portugal (5)
?,(Fri) 23 Sep 2011 (38),FC Porto (6),2-2,1-0,SL Benfica (6)
?,(Sat) 24 Sep 2011 (38),SC Braga (6),2-0,1-0,Nacional (6)
?,(Sat) 24 Sep 2011 (38),Sporting Clube de Portugal (6),3-0,3-0,Vitória de Setúbal (6)
?,(Sun) 25 Sep 2011 (38),Beira Mar (6),0-0,0-0,Rio Ave FC (6)
?,(Sun) 25 Sep 2011 (38),CS Marítimo (6),2-1,1-0,Vitória de Guimarães (6)
?,(Sun) 25 Sep 2011 (38),Olhanense (6),2-1,1-0,Leiria (6)
?,(Sun) 25 Sep 2011 (38),FC Paços de Ferreira (6),1-2,1-1,Gil Vicente (6)
?,(Mon) 26 Sep 2011 (39),Academica (6),4-0,4-0,CD Feirense (6)
?,(Fri) 30 Sep 2011 (39),Vitória de Setúbal (7),2-1,1-1,Rio Ave FC (7)
?,(Sat) 1 Oct 2011 (39),SL Benfica (7),4-1,2-0,FC Paços de Ferreira (7)
?,(Sun) 2 Oct 2011 (39),Academica (7),0-3,0-2,FC Porto (7)
?,(Sun) 2 Oct 2011 (39),CD Feirense (7),2-2,1-1,CS Marítimo (7)
?,(Sun) 2 Oct 2011 (39),Vitória de Guimarães (7),0-1,0-1,Sporting Clube de Portugal (7)
?,(Sun) 2 Oct 2011 (39),Leiria (7),1-0,1-0,SC Braga (7)
?,(Sun) 2 Oct 2011 (39),Nacional (7),1-0,1-0,Olhanense (7)
?,(Mon) 3 Oct 2011 (40),Gil Vicente (7),0-0,0-0,Beira Mar (7)
?,(Fri) 21 Oct 2011 (42),FC Paços de Ferreira (8),2-0,2-0,Academica (8)
?,(Sat) 22 Oct 2011 (42),Beira Mar (8),0-1,0-1,SL Benfica (8)
?,(Sat) 22 Oct 2011 (42),Olhanense (8),1-0,0-0,Vitória de Guimarães (8)
?,(Sun) 23 Oct 2011 (42),CS Marítimo (8),1-0,1-0,Vitória de Setúbal (8)
?,(Sun) 23 Oct 2011 (42),FC Porto (8),5-0,2-0,Nacional (8)
?,(Sun) 23 Oct 2011 (42),Rio Ave FC (8),2-0,1-0,Leiria (8)
?,(Sun) 23 Oct 2011 (42),SC Braga (8),3-0,1-0,CD Feirense (8)
?,(Mon) 24 Oct 2011 (43),Sporting Clube de Portugal (8),6-1,1-0,Gil Vicente (8)
?,(Fri) 28 Oct 2011 (43),FC Porto (9),3-0,1-0,FC Paços de Ferreira (9)
?,(Sat) 29 Oct 2011 (43),Academica (9),0-0,0-0,SC Braga (9)
?,(Sat) 29 Oct 2011 (43),SL Benfica (9),2-1,2-0,Olhanense (9)
?,(Sun) 30 Oct 2011 (43),CD Feirense (9),0-2,0-0,Sporting Clube de Portugal (9)
?,(Sun) 30 Oct 2011 (43),Vitória de Guimarães (9),2-1,1-1,Rio Ave FC (9)
?,(Sun) 30 Oct 2011 (43),Leiria (9),2-0,2-0,Vitória de Setúbal (9)
?,(Sun) 30 Oct 2011 (43),Nacional (9),2-1,2-1,Beira Mar (9)
?,(Tue) 1 Nov 2011 (44),Gil Vicente (9),0-0,0-0,CS Marítimo (9)
?,(Fri) 4 Nov 2011 (44),FC Paços de Ferreira (10),1-5,1-1,Vitória de Guimarães (10)
?,(Sat) 5 Nov 2011 (44),CS Marítimo (10),3-2,2-1,Academica (10)
?,(Sat) 5 Nov 2011 (44),Olhanense (10),0-0,0-0,FC Porto (10)
?,(Sun) 6 Nov 2011 (44),Beira Mar (10),2-1,2-0,CD Feirense (10)
?,(Sun) 6 Nov 2011 (44),Rio Ave FC (10),2-1,0-1,Nacional (10)
?,(Sun) 6 Nov 2011 (44),Vitória de Setúbal (10),0-0,0-0,Gil Vicente (10)
?,(Sun) 6 Nov 2011 (44),SC Braga (10),1-1,1-0,SL Benfica (10)
?,(Sun) 6 Nov 2011 (44),Sporting Clube de Portugal (10),3-1,1-1,Leiria (10)
?,(Fri) 25 Nov 2011 (47),Academica (11),0-1,0-1,Beira Mar (11)
?,(Sat) 26 Nov 2011 (47),SL Benfica (11),1-0,1-0,Sporting Clube de Portugal (11)
?,(Sat) 26 Nov 2011 (47),Nacional (11),2-2,0-1,CS Marítimo (11)
?,(Sun) 27 Nov 2011 (47),CD Feirense (11),2-0,2-0,Rio Ave FC (11)
?,(Sun) 27 Nov 2011 (47),Gil Vicente (11),2-1,1-0,Leiria (11)
?,(Sun) 27 Nov 2011 (47),FC Paços de Ferreira (11),1-1,0-0,Olhanense (11)
?,(Sun) 27 Nov 2011 (47),FC Porto (11),3-2,1-0,SC Braga (11)
?,(Mon) 28 Nov 2011 (48),Vitória de Guimarães (11),3-0,0-0,Vitória de Setúbal (11)
?,(Fri) 9 Dec 2011 (49),SC Braga (12),5-2,2-1,FC Paços de Ferreira (12)
?,(Sat) 10 Dec 2011 (49),Beira Mar (12),1-2,1-1,FC Porto (12)
?,(Sat) 10 Dec 2011 (49),Sporting Clube de Portugal (12),1-0,1-0,Nacional (12)
?,(Sun) 11 Dec 2011 (49),Leiria (12),1-0,1-0,Vitória de Guimarães (12)
?,(Sun) 11 Dec 2011 (49),CS Marítimo (12),0-1,0-0,SL Benfica (12)
?,(Sun) 11 Dec 2011 (49),Rio Ave FC (12),2-0,1-0,Gil Vicente (12)
?,(Sun) 11 Dec 2011 (49),Vitória de Setúbal (12),1-1,1-1,CD Feirense (12)
?,(Mon) 12 Dec 2011 (50),Olhanense (12),0-2,0-1,Academica (12)
?,(Fri) 16 Dec 2011 (50),SL Benfica (13),5-1,3-1,Rio Ave FC (13)
?,(Sat) 17 Dec 2011 (50),Vitória de Guimarães (13),1-1,1-1,Gil Vicente (13)
?,(Sat) 17 Dec 2011 (50),FC Porto (13),2-0,0-0,CS Marítimo (13)
?,(Sun) 18 Dec 2011 (50),Academica (13),1-1,1-0,Sporting Clube de Portugal (13)
?,(Sun) 18 Dec 2011 (50),CD Feirense (13),2-1,1-0,Leiria (13)
?,(Sun) 18 Dec 2011 (50),Nacional (13),1-1,0-1,Vitória de Setúbal (13)
?,(Sun) 18 Dec 2011 (50),FC Paços de Ferreira (13),0-3,0-2,Beira Mar (13)
?,(Mon) 19 Dec 2011 (51),Olhanense (13),3-4,2-0,SC Braga (13)
?,(Fri) 6 Jan 2012 (1),Vitória de Setúbal (14),1-1,0-0,Academica (14)
?,(Sat) 7 Jan 2012 (1),Sporting Clube de Portugal (14),0-0,0-0,FC Porto (14)
?,(Sun) 8 Jan 2012 (1),Gil Vicente (14),0-3,0-2,Nacional (14)
