Date,Team 1,Team 2,FT,HT
2007-08-17,Sp Lisbon,Academica,4-1,2-0
2007-08-18,Leixoes,Benfica,1-1,0-0
2007-08-18,Maritimo,Pacos Ferreira,3-1,3-0
2007-08-18,Nacional,Est Amadora,0-0,0-0
2007-08-18,Sp Braga,Porto,1-2,0-1
2007-08-19,Guimaraes,Setubal,1-1,1-1
2007-08-19,Leiria,Boavista,0-0,0-0
2007-08-20,Naval,Belenenses,1-1,0-0
2007-08-25,Belenenses,Sp Braga,0-2,0-1
2007-08-25,Benfica,Guimaraes,0-0,0-0
2007-08-26,Academica,Leiria,1-1,0-0
2007-08-26,Boavista,Maritimo,0-2,0-2
2007-08-26,Est Amadora,Naval,3-1,1-1
2007-08-26,Pacos Ferreira,Leixoes,1-1,0-0
2007-08-26,Porto,Sp Lisbon,1-0,0-0
2007-08-27,Setubal,Nacional,1-1,1-1
2007-08-31,Leixoes,Guimaraes,2-2,2-1
2007-09-01,Pacos Ferreira,Boavista,1-1,1-0
2007-09-01,Sp Braga,Est Amadora,2-1,0-1
2007-09-02,Leiria,Porto,0-3,0-1
2007-09-02,Maritimo,Academica,2-0,1-0
2007-09-02,Nacional,Benfica,0-3,0-1
2007-09-02,Naval,Setubal,0-0,0-0
2007-09-02,Sp Lisbon,Belenenses,1-0,0-0
2007-09-14,Setubal,Sp Braga,3-1,1-0
2007-09-15,Benfica,Naval,3-0,2-0
2007-09-15,Boavista,Leixoes,0-0,0-0
2007-09-15,Porto,Maritimo,1-0,0-0
2007-09-16,Academica,Pacos Ferreira,1-0,0-0
2007-09-16,Belenenses,Leiria,2-1,0-1
2007-09-16,Est Amadora,Sp Lisbon,0-2,0-2
2007-09-17,Guimaraes,Nacional,1-0,0-0
2007-09-21,Naval,Guimaraes,1-4,1-2
2007-09-23,Leiria,Est Amadora,0-0,0-0
2007-09-23,Leixoes,Nacional,1-1,0-1
2007-09-23,Maritimo,Belenenses,2-0,1-0
2007-09-23,Pacos Ferreira,Porto,0-2,0-1
2007-09-23,Sp Braga,Benfica,0-0,0-0
2007-09-23,Sp Lisbon,Setubal,2-2,0-1
2007-09-24,Boavista,Academica,0-0,0-0
2007-09-29,Benfica,Sp Lisbon,0-0,0-0
2007-09-29,Porto,Boavista,2-0,1-0
2007-09-30,Belenenses,Pacos Ferreira,1-0,1-0
2007-09-30,Est Amadora,Maritimo,1-1,0-0
2007-09-30,Guimaraes,Sp Braga,1-0,0-0
2007-09-30,Nacional,Naval,2-0,0-0
2007-09-30,Setubal,Leiria,2-0,0-0
2007-10-01,Academica,Leixoes,1-1,0-0
2007-10-06,Sp Lisbon,Guimaraes,3-0,0-0
2007-10-07,Academica,Porto,0-1,0-1
2007-10-07,Leiria,Benfica,1-2,1-1
2007-10-07,Leixoes,Naval,0-1,0-1
2007-10-07,Maritimo,Setubal,0-0,0-0
2007-10-08,Boavista,Belenenses,2-4,1-1
2007-10-08,Pacos Ferreira,Est Amadora,2-1,0-0
2007-10-08,Sp Braga,Nacional,1-0,0-0
2007-10-26,Guimaraes,Leiria,2-1,0-1
2007-10-27,Belenenses,Academica,0-0,0-0
2007-10-27,Nacional,Sp Lisbon,0-0,0-0
2007-10-27,Setubal,Pacos Ferreira,3-1,1-0
2007-10-28,Benfica,Maritimo,2-1,1-1
2007-10-28,Est Amadora,Boavista,0-0,0-0
2007-10-29,Naval,Sp Braga,1-1,1-0
2007-10-29,Porto,Leixoes,3-0,2-0
2007-11-02,Porto,Belenenses,1-1,1-0
2007-11-03,Leixoes,Sp Braga,3-0,2-0
2007-11-03,Pacos Ferreira,Benfica,1-2,1-1
2007-11-04,Academica,Est Amadora,3-3,1-1
2007-11-04,Boavista,Setubal,3-3,2-1
2007-11-04,Leiria,Nacional,1-3,0-1
2007-11-04,Sp Lisbon,Naval,4-1,1-1
2007-11-05,Maritimo,Guimaraes,0-1,0-0
2007-11-09,Belenenses,Leixoes,1-1,1-0
2007-11-10,Guimaraes,Pacos Ferreira,0-0,0-0
2007-11-11,Benfica,Boavista,6-1,1-0
