Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Fri Aug 20 2010,?,Bayern Munich,2-1,?,Wolfsburg
1,Sat Aug 21 2010,?,Köln,1-3,?,Kaiserslautern
1,Sat Aug 21 2010,?,Freiburg,1-3,?,St. Pauli
1,Sat Aug 21 2010,?,M'gladbach,1-1,?,Nürnberg
1,Sat Aug 21 2010,?,Hannover 96,2-1,?,Eint Frankfurt
1,Sat Aug 21 2010,?,Hamburger SV,2-1,?,Schalke 04
1,Sat Aug 21 2010,?,Hoffenheim,4-1,?,Werder Bremen
1,Sun Aug 22 2010,?,Dortmund,0-2,?,Leverkusen
1,Sun Aug 22 2010,?,Mainz 05,2-0,?,Stuttgart
2,Fri Aug 27 2010,?,Kaiserslautern,2-0,?,Bayern Munich
2,Sat Aug 28 2010,?,Nürnberg,1-2,?,Freiburg
2,Sat Aug 28 2010,?,Wolfsburg,3-4,?,Mainz 05
2,Sat Aug 28 2010,?,Eint Frankfurt,1-3,?,Hamburger SV
2,Sat Aug 28 2010,?,Werder Bremen,4-2,?,Köln
2,Sat Aug 28 2010,?,St. Pauli,0-1,?,Hoffenheim
2,Sat Aug 28 2010,?,Schalke 04,1-2,?,Hannover 96
2,Sun Aug 29 2010,?,Leverkusen,3-6,?,M'gladbach
2,Sun Aug 29 2010,?,Stuttgart,1-3,?,Dortmund
3,Fri Sep 10 2010,?,Hoffenheim,2-0,?,Schalke 04
3,Sat Sep 11 2010,?,Bayern Munich,0-0,?,Werder Bremen
3,Sat Sep 11 2010,?,Hamburger SV,1-1,?,Nürnberg
3,Sat Sep 11 2010,?,M'gladbach,0-4,?,Eint Frankfurt
3,Sat Sep 11 2010,?,Dortmund,2-0,?,Wolfsburg
3,Sat Sep 11 2010,?,Freiburg,2-1,?,Stuttgart
3,Sat Sep 11 2010,?,Hannover 96,2-2,?,Leverkusen
3,Sun Sep 12 2010,?,Mainz 05,2-1,?,Kaiserslautern
3,Sun Sep 12 2010,?,Köln,1-0,?,St. Pauli
4,Fri Sep 17 2010,?,Eint Frankfurt,0-1,?,Freiburg
4,Sat Sep 18 2010,?,Kaiserslautern,2-2,?,Hoffenheim
4,Sat Sep 18 2010,?,Werder Bremen,0-2,?,Mainz 05
4,Sat Sep 18 2010,?,Wolfsburg,2-0,?,Hannover 96
4,Sat Sep 18 2010,?,Bayern Munich,0-0,?,Köln
4,Sat Sep 18 2010,?,Stuttgart,7-0,?,M'gladbach
4,Sun Sep 19 2010,?,Leverkusen,0-0,?,Nürnberg
4,Sun Sep 19 2010,?,St. Pauli,1-1,?,Hamburger SV
4,Sun Sep 19 2010,?,Schalke 04,1-3,?,Dortmund
5,Tue Sep 21 2010,?,Mainz 05,2-0,?,Köln
5,Tue Sep 21 2010,?,Hoffenheim,1-2,?,Bayern Munich
5,Tue Sep 21 2010,?,Hannover 96,4-1,?,Werder Bremen
5,Wed Sep 22 2010,?,M'gladbach,1-2,?,St. Pauli
5,Wed Sep 22 2010,?,Leverkusen,2-1,?,Eint Frankfurt
