Date,Team 1,Team 2,FT,HT
2000-08-18,Beira Mar,Boavista,2-4,0-1
2000-08-19,Porto,Benfica,2-0,2-0
2000-08-19,Sp Braga,Guimaraes,1-0,0-0
2000-08-20,Alverca,Maritimo,0-0,0-0
2000-08-20,Aves,Belenenses,0-1,0-1
2000-08-20,Gil Vicente,Campomaiorense,1-1,0-1
2000-08-20,Salgueiros,Pacos Ferreira,1-0,1-0
2000-08-20,Sp Lisbon,Farense,1-0,0-0
2000-08-20,Leiria,Est Amadora,2-0,1-0
2000-08-25,Est Amadora,Sp Braga,0-1,0-0
2000-08-26,Campomaiorense,Salgueiros,2-3,0-3
2000-08-26,Guimaraes,Sp Lisbon,1-4,0-3
2000-08-27,Belenenses,Porto,2-0,1-0
2000-08-27,Pacos Ferreira,Aves,2-0,1-0
2000-08-27,Benfica,Beira Mar,4-1,2-0
2000-08-27,Farense,Alverca,2-0,0-0
2000-08-28,Boavista,Leiria,4-0,0-0
2000-09-02,Maritimo,Gil Vicente,1-0,0-0
2000-09-08,Sp Braga,Sp Lisbon,3-2,0-1
2000-09-09,Porto,Pacos Ferreira,2-1,2-0
2000-09-09,Leiria,Benfica,1-1,0-0
2000-09-10,Aves,Campomaiorense,2-2,0-1
2000-09-10,Beira Mar,Belenenses,2-2,0-1
2000-09-10,Est Amadora,Boavista,0-0,0-0
2000-09-10,Gil Vicente,Farense,0-0,0-0
2000-09-10,Salgueiros,Maritimo,1-0,1-0
2000-09-11,Alverca,Guimaraes,1-3,0-1
2000-09-15,Guimaraes,Gil Vicente,3-1,0-1
2000-09-16,Sp Lisbon,Alverca,1-1,1-0
2000-09-17,Belenenses,Leiria,1-1,1-1
2000-09-17,Maritimo,Aves,2-1,2-1
2000-09-17,Pacos Ferreira,Beira Mar,3-2,1-1
2000-09-17,Farense,Salgueiros,2-1,1-0
2000-09-18,Boavista,Sp Braga,1-2,1-1
2000-09-18,Campomaiorense,Porto,0-5,0-2
2000-09-18,Benfica,Est Amadora,2-1,0-0
2000-09-22,Salgueiros,Guimaraes,2-1,1-0
2000-09-23,Boavista,Benfica,1-0,1-0
2000-09-23,Gil Vicente,Sp Lisbon,0-2,0-0
2000-09-24,Aves,Farense,3-1,2-0
2000-09-24,Beira Mar,Campomaiorense,0-0,0-0
2000-09-24,Est Amadora,Belenenses,0-2,0-1
2000-09-24,Porto,Maritimo,1-0,1-0
2000-09-24,Sp Braga,Alverca,1-1,1-0
