Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 22 Aug 2008 (33),Vitória de Guimarães (1),1-1,1-0,Vitória de Setúbal (1)
?,(Sat) 23 Aug 2008 (33),FC Paços de Ferreira (1),0-2,0-0,SC Braga (1)
?,(Sat) 23 Aug 2008 (33),Sporting Clube de Portugal (1),3-1,3-0,Trofense (1)
?,(Sun) 24 Aug 2008 (33),Est Amadora (1),1-0,0-0,Academica (1)
?,(Sun) 24 Aug 2008 (33),Leixoes (1),1-3,1-1,Nacional (1)
?,(Sun) 24 Aug 2008 (33),Naval (1),1-0,1-0,CS Marítimo (1)
?,(Sun) 24 Aug 2008 (33),FC Porto (1),2-0,1-0,Os Belenenses (1)
?,(Sun) 24 Aug 2008 (33),Rio Ave FC (1),1-1,0-0,SL Benfica (1)
?,(Fri) 29 Aug 2008 (34),Os Belenenses (2),2-2,1-0,FC Paços de Ferreira (2)
?,(Sat) 30 Aug 2008 (34),SL Benfica (2),1-1,0-1,FC Porto (2)
?,(Sun) 31 Aug 2008 (34),Academica (2),1-0,1-0,Rio Ave FC (2)
?,(Sun) 31 Aug 2008 (34),Nacional (2),2-1,0-0,Naval (2)
?,(Sun) 31 Aug 2008 (34),Vitória de Setúbal (2),1-0,1-0,Est Amadora (2)
?,(Sun) 31 Aug 2008 (34),Trofense (2),1-2,0-1,Leixoes (2)
?,(Mon) 1 Sep 2008 (35),CS Marítimo (2),0-1,0-1,Vitória de Guimarães (2)
?,(Mon) 1 Sep 2008 (35),SC Braga (2),0-1,0-1,Sporting Clube de Portugal (2)
?,(Sat) 20 Sep 2008 (37),Sporting Clube de Portugal (3),2-0,1-0,Os Belenenses (3)
?,(Sun) 21 Sep 2008 (37),Academica (3),1-0,0-0,Vitória de Setúbal (3)
?,(Sun) 21 Sep 2008 (37),Est Amadora (3),0-0,0-0,CS Marítimo (3)
?,(Sun) 21 Sep 2008 (37),Leixoes (3),2-0,1-0,SC Braga (3)
?,(Sun) 21 Sep 2008 (37),Naval (3),3-1,2-1,Trofense (3)
?,(Sun) 21 Sep 2008 (37),Rio Ave FC (3),0-0,0-0,FC Porto (3)
?,(Mon) 22 Sep 2008 (38),Vitória de Guimarães (3),0-2,0-1,Nacional (3)
?,(Mon) 22 Sep 2008 (38),FC Paços de Ferreira (3),3-4,1-3,SL Benfica (3)
?,(Fri) 26 Sep 2008 (38),FC Porto (4),2-0,1-0,FC Paços de Ferreira (4)
?,(Sat) 27 Sep 2008 (38),SL Benfica (4),2-0,0-0,Sporting Clube de Portugal (4)
?,(Sat) 27 Sep 2008 (38),Vitória de Setúbal (4),1-0,0-0,Rio Ave FC (4)
?,(Sat) 27 Sep 2008 (38),SC Braga (4),1-1,1-0,Naval (4)
?,(Sun) 28 Sep 2008 (38),CS Marítimo (4),2-0,1-0,Academica (4)
?,(Sun) 28 Sep 2008 (38),Nacional (4),1-2,0-1,Est Amadora (4)
?,(Sun) 28 Sep 2008 (38),Trofense (4),1-3,0-2,Vitória de Guimarães (4)
?,(Mon) 29 Sep 2008 (39),Os Belenenses (4),0-1,0-0,Leixoes (4)
?,(Sat) 4 Oct 2008 (39),Naval (5),1-1,0-0,Os Belenenses (5)
?,(Sun) 5 Oct 2008 (39),Academica (5),1-1,0-1,Nacional (5)
?,(Sun) 5 Oct 2008 (39),Est Amadora (5),1-0,0-0,Trofense (5)
?,(Sun) 5 Oct 2008 (39),Rio Ave FC (5),3-2,1-0,FC Paços de Ferreira (5)
?,(Sun) 5 Oct 2008 (39),Sporting Clube de Portugal (5),1-2,1-2,FC Porto (5)
?,(Mon) 6 Oct 2008 (40),Vitória de Guimarães (5),0-0,0-0,SC Braga (5)
?,(Mon) 6 Oct 2008 (40),Leixoes (5),1-1,0-1,SL Benfica (5)
?,(Tue) 7 Oct 2008 (40),Vitória de Setúbal (5),0-2,0-0,CS Marítimo (5)
?,(Fri) 24 Oct 2008 (42),Trofense (6),0-0,0-0,Academica (6)
?,(Sat) 25 Oct 2008 (42),Os Belenenses (6),1-1,0-1,Vitória de Guimarães (6)
?,(Sat) 25 Oct 2008 (42),FC Porto (6),2-3,1-2,Leixoes (6)
?,(Sun) 26 Oct 2008 (42),SL Benfica (6),2-1,0-0,Naval (6)
?,(Sun) 26 Oct 2008 (42),CS Marítimo (6),1-1,0-0,Rio Ave FC (6)
?,(Sun) 26 Oct 2008 (42),Nacional (6),1-0,0-0,Vitória de Setúbal (6)
