Date,Team 1,Team 2,FT,HT
2008-08-22,Guimaraes,Setubal,1-1,1-0
2008-08-23,Pacos Ferreira,Sp Braga,0-2,0-0
2008-08-23,Sp Lisbon,Trofense,3-1,3-0
2008-08-24,Est Amadora,Academica,1-0,0-0
2008-08-24,Leixoes,Nacional,1-3,1-1
2008-08-24,Naval,Maritimo,1-0,1-0
2008-08-24,Porto,Belenenses,2-0,1-0
2008-08-24,Rio Ave,Benfica,1-1,0-0
2008-08-29,Belenenses,Pacos Ferreira,2-2,1-0
2008-08-30,Benfica,Porto,1-1,0-1
2008-08-31,Academica,Rio Ave,1-0,1-0
2008-08-31,Nacional,Naval,2-1,0-0
2008-08-31,Setubal,Est Amadora,1-0,1-0
2008-08-31,Trofense,Leixoes,1-2,0-1
2008-09-01,Maritimo,Guimaraes,0-1,0-1
2008-09-01,Sp Braga,Sp Lisbon,0-1,0-1
2008-09-20,Sp Lisbon,Belenenses,2-0,1-0
2008-09-21,Academica,Setubal,1-0,0-0
2008-09-21,Est Amadora,Maritimo,0-0,0-0
2008-09-21,Leixoes,Sp Braga,2-0,1-0
2008-09-21,Naval,Trofense,3-1,2-1
2008-09-21,Rio Ave,Porto,0-0,0-0
2008-09-22,Guimaraes,Nacional,0-2,0-1
2008-09-22,Pacos Ferreira,Benfica,3-4,1-3
2008-09-26,Porto,Pacos Ferreira,2-0,1-0
2008-09-27,Benfica,Sp Lisbon,2-0,0-0
2008-09-27,Setubal,Rio Ave,1-0,0-0
2008-09-27,Sp Braga,Naval,1-1,1-0
2008-09-28,Maritimo,Academica,2-0,1-0
2008-09-28,Nacional,Est Amadora,1-2,0-1
2008-09-28,Trofense,Guimaraes,1-3,0-2
2008-09-29,Belenenses,Leixoes,0-1,0-0
2008-10-04,Naval,Belenenses,1-1,0-0
2008-10-05,Academica,Nacional,1-1,0-1
2008-10-05,Est Amadora,Trofense,1-0,0-0
2008-10-05,Rio Ave,Pacos Ferreira,3-2,1-0
2008-10-05,Sp Lisbon,Porto,1-2,1-2
2008-10-06,Guimaraes,Sp Braga,0-0,0-0
2008-10-06,Leixoes,Benfica,1-1,0-1
2008-10-07,Setubal,Maritimo,0-2,0-0
2008-10-24,Trofense,Academica,0-0,0-0
2008-10-25,Belenenses,Guimaraes,1-1,0-1
2008-10-25,Porto,Leixoes,2-3,1-2
2008-10-26,Benfica,Naval,2-1,0-0
2008-10-26,Maritimo,Rio Ave,1-1,0-0
2008-10-26,Nacional,Setubal,1-0,0-0
2008-10-26,Pacos Ferreira,Sp Lisbon,0-0,0-0
2008-10-27,Sp Braga,Est Amadora,5-0,2-0
2008-10-31,Setubal,Trofense,0-2,0-1
2008-11-01,Naval,Porto,1-0,0-0
2008-11-01,Rio Ave,Sp Lisbon,0-1,0-1
2008-11-02,Academica,Sp Braga,1-1,0-0
2008-11-02,Est Amadora,Belenenses,1-1,1-1
2008-11-02,Guimaraes,Benfica,1-2,1-2
2008-11-02,Leixoes,Pacos Ferreira,2-1,2-0
2008-11-03,Maritimo,Nacional,4-2,1-1
2008-11-14,Trofense,Maritimo,0-2,0-0
2008-11-15,Porto,Guimaraes,2-0,0-0
2008-11-15,Sp Lisbon,Leixoes,0-1,0-0
2008-11-16,Benfica,Est Amadora,1-0,0-0
2008-11-16,Nacional,Rio Ave,0-0,0-0
2008-11-16,Pacos Ferreira,Naval,2-1,2-1
2008-11-16,Sp Braga,Setubal,1-0,1-0
2008-11-17,Belenenses,Academica,1-0,1-0
2008-11-21,Rio Ave,Leixoes,1-2,1-1
2008-11-22,Maritimo,Sp Braga,0-0,0-0
2008-11-22,Naval,Sp Lisbon,0-1,0-1
