Matchday,Date,Team 1,FT,HT,Team 2
13,Sat Nov 19 2005,Borussia Dortmund,2-0,2-0,Hertha BSC
13,Sat Nov 19 2005,1. FC Köln,2-2,0-1,FC Schalke 04
13,Sat Nov 19 2005,1. FC Kaiserslautern,1-3,1-1,1. FC Nürnberg
13,Sat Nov 19 2005,Werder Bremen,6-1,2-0,VfL Wolfsburg
13,Sat Nov 19 2005,Bor. Mönchengladbach,1-1,1-1,Bayer 04 Leverkusen
13,Sat Nov 19 2005,1. FSV Mainz 05,2-2,0-2,Eintracht Frankfurt
13,Sun Nov 20 2005,Hamburger SV,2-0,2-0,MSV Duisburg
13,Sun Nov 20 2005,VfB Stuttgart,2-2,1-0,Hannover 96
14,Sat Nov 26 2005,Bayern München,2-1,1-1,1. FSV Mainz 05
14,Sat Nov 26 2005,Hannover 96,5-1,2-0,1. FC Kaiserslautern
14,Sat Nov 26 2005,Bayer 04 Leverkusen,0-1,0-0,Hamburger SV
14,Sat Nov 26 2005,VfL Wolfsburg,0-0,0-0,Arminia Bielefeld
14,Sat Nov 26 2005,FC Schalke 04,2-1,1-0,Werder Bremen
14,Sat Nov 26 2005,1. FC Nürnberg,1-2,0-2,Borussia Dortmund
14,Sun Nov 27 2005,Hertha BSC,2-2,0-2,Bor. Mönchengladbach
14,Sun Nov 27 2005,Eintracht Frankfurt,1-1,1-0,VfB Stuttgart
15,Sat Dec 3 2005,Arminia Bielefeld,0-1,0-0,FC Schalke 04
15,Sat Dec 3 2005,Borussia Dortmund,0-2,0-1,Hannover 96
15,Sat Dec 3 2005,Hamburger SV,3-1,1-0,1. FC Köln
15,Sat Dec 3 2005,Werder Bremen,2-0,0-0,MSV Duisburg
15,Sat Dec 3 2005,VfB Stuttgart,0-0,0-0,Bayern München
15,Sat Dec 3 2005,Bor. Mönchengladbach,0-1,0-0,1. FC Nürnberg
15,Sun Dec 4 2005,Bayer 04 Leverkusen,1-2,1-0,Hertha BSC
15,Sun Dec 4 2005,1. FSV Mainz 05,5-1,3-1,VfL Wolfsburg
14,Tue Dec 6 2005,MSV Duisburg,1-1,1-1,1. FC Köln
16,Sat Dec 10 2005,VfL Wolfsburg,0-1,0-0,VfB Stuttgart
16,Sat Dec 10 2005,MSV Duisburg,1-1,1-0,Arminia Bielefeld
16,Sat Dec 10 2005,Hamburger SV,2-1,2-0,Hertha BSC
16,Sat Dec 10 2005,Hannover 96,1-1,0-0,Bor. Mönchengladbach
16,Sat Dec 10 2005,1. FC Nürnberg,1-1,1-1,Bayer 04 Leverkusen
16,Sat Dec 10 2005,FC Schalke 04,1-0,0-0,1. FSV Mainz 05
16,Sat Dec 10 2005,Eintracht Frankfurt,2-0,1-0,Borussia Dortmund
16,Sun Dec 11 2005,Bayern München,2-1,1-1,1. FC Kaiserslautern
16,Sun Dec 11 2005,1. FC Köln,1-4,1-1,Werder Bremen
15,Wed Dec 14 2005,1. FC Kaiserslautern,1-2,0-0,Eintracht Frankfurt
17,Sat Dec 17 2005,Borussia Dortmund,1-2,0-0,Bayern München
17,Sat Dec 17 2005,Arminia Bielefeld,3-2,0-1,1. FC Köln
17,Sat Dec 17 2005,1. FC Kaiserslautern,3-2,1-0,VfL Wolfsburg
17,Sat Dec 17 2005,VfB Stuttgart,2-0,0-0,FC Schalke 04
17,Sat Dec 17 2005,1. FSV Mainz 05,1-1,1-0,MSV Duisburg
17,Sat Dec 17 2005,Bor. Mönchengladbach,4-3,1-2,Eintracht Frankfurt
17,Sat Dec 17 2005,Bayer 04 Leverkusen,0-0,0-0,Hannover 96
17,Sun Dec 18 2005,Hertha BSC,1-1,0-0,1. FC Nürnberg
17,Sun Dec 18 2005,Werder Bremen,1-1,1-0,Hamburger SV
18,Fri Jan 27 2006,Bor. Mönchengladbach,1-3,0-1,Bayern München
18,Sat Jan 28 2006,Borussia Dortmund,3-2,2-1,VfL Wolfsburg
18,Sat Jan 28 2006,Hertha BSC,1-1,0-1,Hannover 96
18,Sat Jan 28 2006,Bayer 04 Leverkusen,2-1,0-1,Eintracht Frankfurt
18,Sat Jan 28 2006,VfB Stuttgart,0-1,0-1,MSV Duisburg
18,Sat Jan 28 2006,1. FC Nürnberg,2-1,0-0,Hamburger SV
18,Sat Jan 28 2006,1. FSV Mainz 05,4-2,1-1,1. FC Köln
18,Sun Jan 29 2006,Arminia Bielefeld,0-1,0-0,Werder Bremen
18,Sun Jan 29 2006,1. FC Kaiserslautern,0-2,0-1,FC Schalke 04
19,Sat Feb 4 2006,Bayern München,1-0,1-0,Bayer 04 Leverkusen
19,Sat Feb 4 2006,MSV Duisburg,2-2,1-0,1. FC Kaiserslautern
19,Sat Feb 4 2006,Werder Bremen,4-2,3-2,1. FSV Mainz 05
19,Sat Feb 4 2006,1. FC Köln,0-0,0-0,VfB Stuttgart
19,Sat Feb 4 2006,Hamburger SV,2-1,0-1,Arminia Bielefeld
19,Sat Feb 4 2006,FC Schalke 04,0-0,0-0,Borussia Dortmund
19,Sat Feb 4 2006,Eintracht Frankfurt,1-1,0-1,Hertha BSC
19,Sun Feb 5 2006,Hannover 96,1-1,0-0,1. FC Nürnberg
19,Sun Feb 5 2006,VfL Wolfsburg,2-0,1-0,Bor. Mönchengladbach
20,Tue Feb 7 2006,Borussia Dortmund,2-0,0-0,MSV Duisburg
20,Tue Feb 7 2006,Hertha BSC,0-0,0-0,Bayern München
20,Tue Feb 7 2006,1. FC Kaiserslautern,2-2,1-1,1. FC Köln
20,Tue Feb 7 2006,1. FSV Mainz 05,1-1,0-0,Arminia Bielefeld
20,Wed Feb 8 2006,Hannover 96,2-1,0-0,Hamburger SV
20,Wed Feb 8 2006,Bayer 04 Leverkusen,4-0,1-0,VfL Wolfsburg
20,Wed Feb 8 2006,Bor. Mönchengladbach,0-0,0-0,FC Schalke 04
20,Wed Feb 8 2006,1. FC Nürnberg,0-1,0-1,Eintracht Frankfurt
20,Wed Feb 8 2006,VfB Stuttgart,0-0,0-0,Werder Bremen
21,Sat Feb 11 2006,Arminia Bielefeld,2-1,1-1,VfB Stuttgart
21,Sat Feb 11 2006,MSV Duisburg,1-1,1-1,Bor. Mönchengladbach
21,Sat Feb 11 2006,Eintracht Frankfurt,0-1,0-0,Hannover 96
21,Sat Feb 11 2006,Hamburger SV,1-0,1-0,1. FSV Mainz 05
21,Sat Feb 11 2006,FC Schalke 04,7-4,3-1,Bayer 04 Leverkusen
21,Sat Feb 11 2006,VfL Wolfsburg,1-1,0-1,Hertha BSC
21,Sat Feb 11 2006,Werder Bremen,0-2,0-0,1. FC Kaiserslautern
21,Sun Feb 12 2006,Bayern München,2-1,1-1,1. FC Nürnberg
21,Sun Feb 12 2006,1. FC Köln,0-0,0-0,Borussia Dortmund
22,Sat Feb 18 2006,Hertha BSC,1-2,1-2,FC Schalke 04
22,Sat Feb 18 2006,Hannover 96,1-1,0-0,Bayern München
22,Sat Feb 18 2006,Borussia Dortmund,0-1,0-1,Werder Bremen
22,Sat Feb 18 2006,1. FC Nürnberg,1-0,1-0,VfL Wolfsburg
22,Sat Feb 18 2006,Bayer 04 Leverkusen,3-2,2-1,MSV Duisburg
22,Sat Feb 18 2006,Bor. Mönchengladbach,2-0,0-0,1. FC Köln
22,Sat Feb 18 2006,1. FC Kaiserslautern,2-0,1-0,Arminia Bielefeld
22,Sun Feb 19 2006,Eintracht Frankfurt,1-2,1-1,Hamburger SV
22,Sun Feb 19 2006,VfB Stuttgart,2-1,1-1,1. FSV Mainz 05
23,Sat Feb 25 2006,1. FC Köln,0-3,0-0,Bayer 04 Leverkusen
23,Sat Feb 25 2006,Arminia Bielefeld,1-0,1-0,Borussia Dortmund
23,Sat Feb 25 2006,Bayern München,5-2,3-1,Eintracht Frankfurt
23,Sat Feb 25 2006,VfL Wolfsburg,2-1,1-1,Hannover 96
23,Sat Feb 25 2006,FC Schalke 04,2-0,0-0,1. FC Nürnberg
23,Sat Feb 25 2006,Werder Bremen,2-0,2-0,Bor. Mönchengladbach
23,Sat Feb 25 2006,1. FSV Mainz 05,0-2,0-2,1. FC Kaiserslautern
23,Sun Feb 26 2006,Hamburger SV,0-2,0-1,VfB Stuttgart
23,Sun Feb 26 2006,MSV Duisburg,2-1,1-0,Hertha BSC
24,Sat Mar 4 2006,Bayern München,1-2,0-1,Hamburger SV
24,Sat Mar 4 2006,Borussia Dortmund,1-1,1-0,1. FSV Mainz 05
24,Sat Mar 4 2006,Hannover 96,1-2,0-2,FC Schalke 04
24,Sat Mar 4 2006,1. FC Nürnberg,3-0,2-0,MSV Duisburg
24,Sat Mar 4 2006,Bayer 04 Leverkusen,1-1,1-1,Werder Bremen
24,Sat Mar 4 2006,Hertha BSC,2-4,0-0,1. FC Köln
24,Sun Mar 5 2006,Bor. Mönchengladbach,2-0,1-0,Arminia Bielefeld
24,Sun Mar 5 2006,Eintracht Frankfurt,1-1,0-0,VfL Wolfsburg
24,Tue Mar 7 2006,1. FC Kaiserslautern,1-1,1-0,VfB Stuttgart
25,Sat Mar 11 2006,Arminia Bielefeld,1-0,1-0,Bayer 04 Leverkusen
25,Sat Mar 11 2006,MSV Duisburg,0-0,0-0,Hannover 96
25,Sat Mar 11 2006,1. FC Köln,3-4,1-3,1. FC Nürnberg
25,Sat Mar 11 2006,VfL Wolfsburg,0-0,0-0,Bayern München
25,Sat Mar 11 2006,VfB Stuttgart,0-0,0-0,Borussia Dortmund
25,Sat Mar 11 2006,Werder Bremen,0-3,0-0,Hertha BSC
25,Sat Mar 11 2006,1. FSV Mainz 05,3-0,0-0,Bor. Mönchengladbach
25,Sun Mar 12 2006,FC Schalke 04,2-0,0-0,Eintracht Frankfurt
25,Sun Mar 12 2006,Hamburger SV,3-0,0-0,1. FC Kaiserslautern
26,Sat Mar 18 2006,Borussia Dortmund,2-1,1-1,1. FC Kaiserslautern
26,Sat Mar 18 2006,Eintracht Frankfurt,5-2,3-2,MSV Duisburg
26,Sat Mar 18 2006,Hannover 96,1-0,1-0,1. FC Köln
26,Sat Mar 18 2006,Bayer 04 Leverkusen,1-2,0-1,1. FSV Mainz 05
26,Sat Mar 18 2006,Bor. Mönchengladbach,1-1,0-0,VfB Stuttgart
26,Sat Mar 18 2006,VfL Wolfsburg,0-1,0-1,Hamburger SV
26,Sat Mar 18 2006,1. FC Nürnberg,3-1,2-0,Werder Bremen
26,Sun Mar 19 2006,Bayern München,3-0,0-0,FC Schalke 04
26,Sun Mar 19 2006,Hertha BSC,1-0,0-0,Arminia Bielefeld
27,Sat Mar 25 2006,Hamburger SV,2-4,1-1,Borussia Dortmund
27,Sat Mar 25 2006,1. FC Köln,1-1,1-1,Eintracht Frankfurt
27,Sat Mar 25 2006,MSV Duisburg,1-3,1-0,Bayern München
27,Sat Mar 25 2006,Werder Bremen,5-0,2-0,Hannover 96
27,Sat Mar 25 2006,FC Schalke 04,2-2,1-1,VfL Wolfsburg
27,Sat Mar 25 2006,VfB Stuttgart,0-2,0-1,Bayer 04 Leverkusen
27,Sat Mar 25 2006,1. FSV Mainz 05,2-2,0-1,Hertha BSC
27,Sun Mar 26 2006,1. FC Kaiserslautern,3-0,2-0,Bor. Mönchengladbach
27,Sun Mar 26 2006,Arminia Bielefeld,0-0,0-0,1. FC Nürnberg
28,Sat Apr 1 2006,Bayern München,2-2,2-2,1. FC Köln
28,Sat Apr 1 2006,Eintracht Frankfurt,0-1,0-0,Werder Bremen
28,Sat Apr 1 2006,Hertha BSC,2-0,0-0,VfB Stuttgart
28,Sat Apr 1 2006,Bayer 04 Leverkusen,5-1,2-0,1. FC Kaiserslautern
28,Sat Apr 1 2006,VfL Wolfsburg,1-1,0-0,MSV Duisburg
28,Sat Apr 1 2006,1. FC Nürnberg,3-0,1-0,1. FSV Mainz 05
28,Sat Apr 1 2006,Bor. Mönchengladbach,2-1,2-1,Borussia Dortmund
28,Sun Apr 2 2006,FC Schalke 04,0-2,0-0,Hamburger SV
28,Sun Apr 2 2006,Hannover 96,0-1,0-1,Arminia Bielefeld
29,Sat Apr 8 2006,Arminia Bielefeld,1-0,0-0,Eintracht Frankfurt
29,Sat Apr 8 2006,Borussia Dortmund,1-2,1-1,Bayer 04 Leverkusen
29,Sat Apr 8 2006,1. FC Köln,3-0,0-0,VfL Wolfsburg
29,Sat Apr 8 2006,1. FC Kaiserslautern,0-2,0-2,Hertha BSC
29,Sat Apr 8 2006,Werder Bremen,3-0,1-0,Bayern München
29,Sat Apr 8 2006,VfB Stuttgart,1-0,0-0,1. FC Nürnberg
29,Sat Apr 8 2006,1. FSV Mainz 05,0-0,0-0,Hannover 96
29,Sun Apr 9 2006,MSV Duisburg,1-1,1-0,FC Schalke 04
29,Sun Apr 9 2006,Hamburger SV,2-0,1-0,Bor. Mönchengladbach
30,Sat Apr 15 2006,Bayern München,2-0,0-0,Arminia Bielefeld
30,Sat Apr 15 2006,MSV Duisburg,0-2,0-2,Hamburger SV
30,Sat Apr 15 2006,Eintracht Frankfurt,0-0,0-0,1. FSV Mainz 05
30,Sat Apr 15 2006,Hertha BSC,0-0,0-0,Borussia Dortmund
30,Sat Apr 15 2006,VfL Wolfsburg,1-1,1-1,Werder Bremen
30,Sat Apr 15 2006,FC Schalke 04,1-1,0-1,1. FC Köln
30,Sat Apr 15 2006,Bayer 04 Leverkusen,2-1,1-0,Bor. Mönchengladbach
30,Sun Apr 16 2006,Hannover 96,3-3,2-0,VfB Stuttgart
30,Sun Apr 16 2006,1. FC Nürnberg,3-2,1-1,1. FC Kaiserslautern
31,Sat Apr 22 2006,Arminia Bielefeld,0-1,0-1,VfL Wolfsburg
31,Sat Apr 22 2006,Borussia Dortmund,2-1,1-1,1. FC Nürnberg
31,Sat Apr 22 2006,1. FC Köln,3-1,1-0,MSV Duisburg
31,Sat Apr 22 2006,Hamburger SV,0-2,0-1,Bayer 04 Leverkusen
31,Sat Apr 22 2006,VfB Stuttgart,0-2,0-0,Eintracht Frankfurt
31,Sat Apr 22 2006,Bor. Mönchengladbach,2-2,1-1,Hertha BSC
31,Sat Apr 22 2006,1. FC Kaiserslautern,1-0,1-0,Hannover 96
31,Sun Apr 23 2006,1. FSV Mainz 05,2-2,2-2,Bayern München
31,Sun Apr 23 2006,Werder Bremen,0-0,0-0,FC Schalke 04
32,Tue May 2 2006,1. FC Köln,0-1,0-1,Hamburger SV
32,Tue May 2 2006,Hannover 96,1-2,1-0,Borussia Dortmund
32,Tue May 2 2006,Hertha BSC,1-5,1-3,Bayer 04 Leverkusen
32,Tue May 2 2006,1. FC Nürnberg,5-2,1-2,Bor. Mönchengladbach
32,Wed May 3 2006,VfL Wolfsburg,0-3,0-1,1. FSV Mainz 05
32,Wed May 3 2006,MSV Duisburg,3-5,2-3,Werder Bremen
32,Wed May 3 2006,Eintracht Frankfurt,2-2,0-1,1. FC Kaiserslautern
32,Wed May 3 2006,FC Schalke 04,3-1,1-0,Arminia Bielefeld
32,Wed May 3 2006,Bayern München,3-1,2-1,VfB Stuttgart
33,Sat May 6 2006,Werder Bremen,6-0,3-0,1. FC Köln
33,Sat May 6 2006,Borussia Dortmund,1-1,0-0,Eintracht Frankfurt
33,Sat May 6 2006,Hertha BSC,4-2,1-2,Hamburger SV
33,Sat May 6 2006,1. FC Kaiserslautern,1-1,1-0,Bayern München
33,Sat May 6 2006,Bayer 04 Leverkusen,2-2,0-1,1. FC Nürnberg
33,Sat May 6 2006,1. FSV Mainz 05,1-0,1-0,FC Schalke 04
33,Sat May 6 2006,Bor. Mönchengladbach,2-2,0-1,Hannover 96
33,Sat May 6 2006,VfB Stuttgart,2-1,1-1,VfL Wolfsburg
33,Sat May 6 2006,Arminia Bielefeld,0-2,0-0,MSV Duisburg
34,Sat May 13 2006,Bayern München,3-3,1-1,Borussia Dortmund
34,Sat May 13 2006,MSV Duisburg,0-0,0-0,1. FSV Mainz 05
34,Sat May 13 2006,Eintracht Frankfurt,0-2,0-0,Bor. Mönchengladbach
34,Sat May 13 2006,1. FC Köln,4-2,1-0,Arminia Bielefeld
34,Sat May 13 2006,Hamburger SV,1-2,0-1,Werder Bremen
34,Sat May 13 2006,Hannover 96,2-2,1-2,Bayer 04 Leverkusen
34,Sat May 13 2006,1. FC Nürnberg,2-1,1-1,Hertha BSC
34,Sat May 13 2006,FC Schalke 04,3-2,0-1,VfB Stuttgart
34,Sat May 13 2006,VfL Wolfsburg,2-2,0-1,1. FC Kaiserslautern
