Date,Team 1,Team 2,FT,HT
2005-08-19,Sp Lisbon,Belenenses,2-1,1-0
2005-08-20,Academica,Benfica,0-0,0-0
2005-08-20,Boavista,Setubal,0-0,0-0
2005-08-21,Gil Vicente,Maritimo,1-0,0-0
2005-08-21,Guimaraes,Naval,0-2,0-0
2005-08-21,Pacos Ferreira,Nacional,0-1,0-0
2005-08-21,Penafiel,Rio Ave,0-2,0-0
2005-08-21,Porto,Est Amadora,1-0,0-0
2005-08-22,Leiria,Sp Braga,0-1,0-1
2005-08-26,Naval,Porto,2-3,0-1
2005-08-27,Belenenses,Leiria,3-1,3-1
2005-08-27,Benfica,Gil Vicente,0-2,0-0
2005-08-28,Maritimo,Sp Lisbon,1-2,0-0
2005-08-28,Nacional,Academica,2-2,2-1
2005-08-28,Rio Ave,Guimaraes,3-1,2-1
2005-08-28,Setubal,Pacos Ferreira,0-1,0-1
2005-08-28,Sp Braga,Penafiel,1-0,0-0
2005-08-29,Est Amadora,Boavista,1-1,0-1
2005-09-09,Guimaraes,Sp Braga,0-2,0-0
2005-09-10,Porto,Rio Ave,3-0,0-0
2005-09-10,Sp Lisbon,Benfica,2-1,1-0
2005-09-11,Academica,Setubal,0-1,0-0
2005-09-11,Boavista,Pacos Ferreira,4-1,1-0
2005-09-11,Est Amadora,Naval,2-1,1-0
2005-09-11,Gil Vicente,Nacional,0-1,0-0
2005-09-11,Leiria,Maritimo,0-0,0-0
2005-09-12,Penafiel,Belenenses,0-3,0-1
2005-09-16,Naval,Boavista,2-2,1-2
2005-09-18,Benfica,Leiria,4-0,2-0
2005-09-18,Maritimo,Penafiel,2-2,1-0
2005-09-18,Pacos Ferreira,Academica,2-1,1-1
2005-09-18,Rio Ave,Est Amadora,2-1,1-1
2005-09-18,Setubal,Gil Vicente,1-0,1-0
2005-09-18,Sp Braga,Porto,0-0,0-0
2005-09-19,Belenenses,Guimaraes,3-1,1-1
2005-09-19,Nacional,Sp Lisbon,2-1,0-0
2005-09-23,Penafiel,Benfica,1-3,0-2
2005-09-24,Guimaraes,Maritimo,1-0,1-0
2005-09-24,Porto,Belenenses,2-0,1-0
2005-09-25,Est Amadora,Sp Braga,0-0,0-0
2005-09-25,Gil Vicente,Pacos Ferreira,2-0,2-0
2005-09-25,Leiria,Nacional,0-0,0-0
2005-09-25,Naval,Rio Ave,1-0,1-0
2005-09-25,Sp Lisbon,Setubal,1-0,1-0
2005-09-26,Boavista,Academica,2-1,1-1
2005-09-30,Belenenses,Est Amadora,0-2,0-2
2005-10-01,Rio Ave,Boavista,1-1,0-0
2005-10-02,Academica,Gil Vicente,2-0,1-0
2005-10-02,Maritimo,Porto,2-2,1-0
